book,book_order,mosiah_priority,n_chapters,n_verses,total_chars,total_words,mean_words_per_chapter
1 Nephi,1,MP-3,22,618,131829,25276,1148.909090909091
2 Nephi,2,MP-3,33,779,155489,29518,894.4848484848485
Jacob,3,MP-3,7,203,49067,9175,1310.7142857142858
Enos,4,MP-3,1,27,6132,1171,1171
Jarom,5,MP-3,1,15,4003,735,735
Omni,6,MP-3,1,30,7551,1402,1402
Words of Mormon,7,MP-3,1,18,4701,859,859
Mosiah,8,MP-1,29,785,166547,31285,1078.7931034482758
Alma,9,MP-1,63,1975,456080,85486,1356.920634920635
Helaman,10,MP-1,16,497,109746,20495,1280.9375
3 Nephi,11,MP-2,30,785,151799,28731,957.7
4 Nephi,12,MP-2,1,49,10527,1951,1951
Mormon,13,MP-2,9,227,49994,9475,1052.7777777777778
Ether,14,MP-2,15,433,87139,16723,1114.8666666666666
Moroni,15,MP-2,10,163,32563,6134,613.4
