author,work,short_work,year,source_type,gutenberg_id,doc_unit,expected_genre,author_slug,raw_file,manual_file,downloaded_path,manual_path,copied,needs_manual_file
Jane Austen,Pride and Prejudice,Pride_and_Prejudice,1813,gutenberg,1342,chapter,Fiction,Jane_Austen,Jane_Austen__Pride_and_Prejudice__raw.txt,Jane_Austen__Pride_and_Prejudice__manual.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/downloaded/Jane_Austen__Pride_and_Prejudice__raw.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/manual/Jane_Austen__Pride_and_Prejudice__manual.txt,TRUE,FALSE
Jane Austen,Emma,Emma,1815,gutenberg,158,chapter,Fiction,Jane_Austen,Jane_Austen__Emma__raw.txt,Jane_Austen__Emma__manual.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/downloaded/Jane_Austen__Emma__raw.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/manual/Jane_Austen__Emma__manual.txt,TRUE,FALSE
Jane Austen,Persuasion,Persuasion,1817,gutenberg,105,chapter,Fiction,Jane_Austen,Jane_Austen__Persuasion__raw.txt,Jane_Austen__Persuasion__manual.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/downloaded/Jane_Austen__Persuasion__raw.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/manual/Jane_Austen__Persuasion__manual.txt,TRUE,FALSE
James Fenimore Cooper,The Pioneers,The_Pioneers,1823,gutenberg,2275,chapter,Frontier_Fiction,James_Fenimore_Cooper,James_Fenimore_Cooper__The_Pioneers__raw.txt,James_Fenimore_Cooper__The_Pioneers__manual.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/downloaded/James_Fenimore_Cooper__The_Pioneers__raw.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/manual/James_Fenimore_Cooper__The_Pioneers__manual.txt,TRUE,FALSE
James Fenimore Cooper,The Last of the Mohicans,Last_of_the_Mohicans,1826,gutenberg,940,chapter,Frontier_Fiction,James_Fenimore_Cooper,James_Fenimore_Cooper__Last_of_the_Mohicans__raw.txt,James_Fenimore_Cooper__Last_of_the_Mohicans__manual.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/downloaded/James_Fenimore_Cooper__Last_of_the_Mohicans__raw.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/manual/James_Fenimore_Cooper__Last_of_the_Mohicans__manual.txt,TRUE,FALSE
James Fenimore Cooper,The Prairie,The_Prairie,1827,gutenberg,6450,chapter,Frontier_Fiction,James_Fenimore_Cooper,James_Fenimore_Cooper__The_Prairie__raw.txt,James_Fenimore_Cooper__The_Prairie__manual.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/downloaded/James_Fenimore_Cooper__The_Prairie__raw.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/manual/James_Fenimore_Cooper__The_Prairie__manual.txt,TRUE,FALSE
Walter Scott,Ivanhoe,Ivanhoe,1819,gutenberg,82,chapter,Historical_Romance,Walter_Scott,Walter_Scott__Ivanhoe__raw.txt,Walter_Scott__Ivanhoe__manual.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/downloaded/Walter_Scott__Ivanhoe__raw.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/manual/Walter_Scott__Ivanhoe__manual.txt,TRUE,FALSE
Walter Scott,Rob Roy,Rob_Roy,1817,gutenberg,7025,chapter,Historical_Romance,Walter_Scott,Walter_Scott__Rob_Roy__raw.txt,Walter_Scott__Rob_Roy__manual.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/downloaded/Walter_Scott__Rob_Roy__raw.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/manual/Walter_Scott__Rob_Roy__manual.txt,TRUE,FALSE
Walter Scott,The Talisman,The_Talisman,1825,gutenberg,1377,chapter,Historical_Romance,Walter_Scott,Walter_Scott__The_Talisman__raw.txt,Walter_Scott__The_Talisman__manual.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/downloaded/Walter_Scott__The_Talisman__raw.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/manual/Walter_Scott__The_Talisman__manual.txt,TRUE,FALSE
Ethan Smith,View of the Hebrews,View_of_the_Hebrews,1823,manual,NA,chapter,Religious_Prose,Ethan_Smith,Ethan_Smith__View_of_the_Hebrews__raw.txt,Ethan_Smith__View_of_the_Hebrews__manual.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/downloaded/Ethan_Smith__View_of_the_Hebrews__raw.txt,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/1830/manual/Ethan_Smith__View_of_the_Hebrews__manual.txt,FALSE,TRUE
