page_order,chapter,website_section_id,section_numbers,chapter_title,source_url,cache_path,n_verses,min_verse,max_verse,n_words
1,1,1,1,Section 1 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-1/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_1.html,7,1,7,1070
2,2,2-3,"2,3",Sections 2 & 3 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-2-3/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_2-3.html,6,1,6,610
3,4,4,4,Section 4 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-4/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_4.html,1,1,1,145
4,5,5,5,Section 5 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-5/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_5.html,5,1,5,1139
5,6,6,6,Section 6 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-6/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_6.html,16,1,16,1107
6,7,7,7,Section 7 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-7/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_7.html,3,1,3,253
7,8,8,8,Section 8 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-8/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_8.html,3,1,3,389
8,9,9,9,Section 9 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-9/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_9.html,5,1,5,396
9,10,10,10,Section 10 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-10/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_10.html,18,1,18,1937
10,11,11,11,Section 11 (1835 Doctrine and Covenants),https://doctrineandcovenants.com/sections/1835dcs/section-11/,C:\-git-\MonteShaffer\rml-bomo\nlp\R-package\stylometryEnsemble_with_notebooks\stylometryEnsemble/data/raw/dc_1835/html/sections_11.html,12,1,12,788
