doc_id,neighbor_doc_id,similarity,rank,author,author_code,short_name,source_chapter,source_title,target_book,target_chapter,target_header,mosiah_priority,mosiah_priority_label
JS-1,Mosiah_12,0.9319545042808717,1,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,Mosiah,12,Mosiah 12,MP-1,MP-1_Mosiah_Alma_Helaman
JS-1,1_Nephi_21,0.9225705968232876,2,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,1 Nephi,21,1 Nephi 21,MP-3,MP-3_1Nephi_to_WordsOfMormon
JS-1,1_Nephi_22,0.9220908597182123,3,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,1 Nephi,22,1 Nephi 22,MP-3,MP-3_1Nephi_to_WordsOfMormon
JS-1,Helaman_12,0.9220371706971541,4,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,Helaman,12,Helaman 12,MP-1,MP-1_Mosiah_Alma_Helaman
JS-1,Mosiah_3,0.9205338478309242,5,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,Mosiah,3,Mosiah 3,MP-1,MP-1_Mosiah_Alma_Helaman
JS-1,2_Nephi_6,0.9175109564939329,6,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,2 Nephi,6,2 Nephi 6,MP-3,MP-3_1Nephi_to_WordsOfMormon
JS-1,3_Nephi_20,0.9153197956273416,7,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,3 Nephi,20,3 Nephi 20,MP-2,MP-2_3Nephi_to_Moroni
JS-1,2_Nephi_28,0.9147048244404931,8,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,2 Nephi,28,2 Nephi 28,MP-3,MP-3_1Nephi_to_WordsOfMormon
JS-1,2_Nephi_12,0.9132773177138565,9,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,2 Nephi,12,2 Nephi 12,MP-3,MP-3_1Nephi_to_WordsOfMormon
JS-1,Alma_40,0.9115648771274126,10,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,Alma,40,Alma 40,MP-1,MP-1_Mosiah_Alma_Helaman
JS-1,Mosiah_16,0.9108448810782855,11,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,Mosiah,16,Mosiah 16,MP-1,MP-1_Mosiah_Alma_Helaman
JS-1,Mosiah_13,0.9100795785134452,12,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,Mosiah,13,Mosiah 13,MP-1,MP-1_Mosiah_Alma_Helaman
JS-1,2_Nephi_9,0.9090490461045626,13,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,2 Nephi,9,2 Nephi 9,MP-3,MP-3_1Nephi_to_WordsOfMormon
JS-1,Mosiah_26,0.9079503275668118,14,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,Mosiah,26,Mosiah 26,MP-1,MP-1_Mosiah_Alma_Helaman
JS-1,2_Nephi_24,0.9067251999472886,15,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,2 Nephi,24,2 Nephi 24,MP-3,MP-3_1Nephi_to_WordsOfMormon
JS-1,2_Nephi_8,0.9042978269498538,16,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,2 Nephi,8,2 Nephi 8,MP-3,MP-3_1Nephi_to_WordsOfMormon
JS-1,Alma_45,0.9037345754945703,17,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,Alma,45,Alma 45,MP-1,MP-1_Mosiah_Alma_Helaman
JS-1,2_Nephi_1,0.9009979556900829,18,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,2 Nephi,1,2 Nephi 1,MP-3,MP-3_1Nephi_to_WordsOfMormon
JS-1,2_Nephi_15,0.9004252471639788,19,Joseph Smith,JS,JS-1,1,Liberty Jail Letter (March 1839) as D&C 121,2 Nephi,15,2 Nephi 15,MP-3,MP-3_1Nephi_to_WordsOfMormon
