doc_id,author,short_name,chapter,centroid_distance
JS-11,Joseph Smith,JS-11,11,14.672504133091595
JS-6,Joseph Smith,JS-6,6,13.993749560337871
JS-10,Joseph Smith,JS-10,10,13.711139531959217
JS-2,Joseph Smith,JS-2,2,13.60693910663862
JS-13,Joseph Smith,JS-13,13,12.474119373182639
JS-8,Joseph Smith,JS-8,8,11.818887563142397
JS-4,Joseph Smith,JS-4,4,11.02270825677672
JS-12,Joseph Smith,JS-12,12,10.901368540209667
JS-14,Joseph Smith,JS-14,14,10.899790220472049
JS-9,Joseph Smith,JS-9,9,9.275985104068438
JS-3,Joseph Smith,JS-3,3,9.153082733122025
JS-7,Joseph Smith,JS-7,7,8.756403974247737
JS-1,Joseph Smith,JS-1,1,7.101431096085126
JS-5,Joseph Smith,JS-5,5,6.935946872423991
OC-15,Oliver Cowdery,OC-15,15,16.995223434501316
OC-9,Oliver Cowdery,OC-9,9,16.045561482660705
OC-10,Oliver Cowdery,OC-10,10,12.634447024358602
OC-12,Oliver Cowdery,OC-12,12,12.031082633254266
OC-13,Oliver Cowdery,OC-13,13,11.329178652155704
OC-8,Oliver Cowdery,OC-8,8,10.385401982978037
OC-16,Oliver Cowdery,OC-16,16,9.907221398255292
OC-14,Oliver Cowdery,OC-14,14,9.208196004774914
OC-11,Oliver Cowdery,OC-11,11,6.804618188366741
OC-3,Oliver Cowdery,OC-3,3,6.7987909953885435
OC-1,Oliver Cowdery,OC-1,1,6.78753673547772
OC-6,Oliver Cowdery,OC-6,6,6.653903936322459
OC-5,Oliver Cowdery,OC-5,5,5.70474497016789
OC-2,Oliver Cowdery,OC-2,2,5.480937963593968
OC-4,Oliver Cowdery,OC-4,4,5.072604526786466
OC-7,Oliver Cowdery,OC-7,7,4.964335400119954
SR-26,Sidney Rigdon,SR-26,26,13.189302642301723
SR-1,Sidney Rigdon,SR-1,1,12.868900936846888
SR-44,Sidney Rigdon,SR-44,44,12.6419727678471
SR-2,Sidney Rigdon,SR-2,2,10.943746625816186
SR-14,Sidney Rigdon,SR-14,14,9.697913867215139
SR-34,Sidney Rigdon,SR-34,34,8.668533184583936
SR-15,Sidney Rigdon,SR-15,15,8.462736003279936
SR-19,Sidney Rigdon,SR-19,19,8.119363980812336
SR-27,Sidney Rigdon,SR-27,27,8.118108060601246
SR-3,Sidney Rigdon,SR-3,3,7.824762172884574
SR-32,Sidney Rigdon,SR-32,32,7.807733512035575
SR-41,Sidney Rigdon,SR-41,41,7.724323792857476
SR-40,Sidney Rigdon,SR-40,40,7.71526552867759
SR-23,Sidney Rigdon,SR-23,23,7.641445283240096
SR-20,Sidney Rigdon,SR-20,20,7.603648527110952
SR-42,Sidney Rigdon,SR-42,42,7.484222842783451
SR-25,Sidney Rigdon,SR-25,25,7.47718606693289
SR-17,Sidney Rigdon,SR-17,17,7.403922135362985
SR-21,Sidney Rigdon,SR-21,21,7.072597936290133
SR-39,Sidney Rigdon,SR-39,39,6.960839870131678
SR-29,Sidney Rigdon,SR-29,29,6.944966172396736
SR-5,Sidney Rigdon,SR-5,5,6.93947810174599
SR-31,Sidney Rigdon,SR-31,31,6.682917511454811
SR-12,Sidney Rigdon,SR-12,12,6.663418858192601
SR-16,Sidney Rigdon,SR-16,16,6.663177640123966
SR-24,Sidney Rigdon,SR-24,24,6.662391289081748
SR-10,Sidney Rigdon,SR-10,10,6.535412864196089
SR-43,Sidney Rigdon,SR-43,43,6.351722967848392
SR-22,Sidney Rigdon,SR-22,22,6.33526402997366
SR-45,Sidney Rigdon,SR-45,45,6.281949645376404
SR-11,Sidney Rigdon,SR-11,11,6.267890561320358
SR-28,Sidney Rigdon,SR-28,28,6.243742242056771
SR-7,Sidney Rigdon,SR-7,7,6.1183259270465475
SR-13,Sidney Rigdon,SR-13,13,6.020598139131227
SR-8,Sidney Rigdon,SR-8,8,5.998912621983026
SR-35,Sidney Rigdon,SR-35,35,5.934657166851666
SR-6,Sidney Rigdon,SR-6,6,5.742920977510605
SR-30,Sidney Rigdon,SR-30,30,5.678260704112139
SR-33,Sidney Rigdon,SR-33,33,5.421909628019337
SR-38,Sidney Rigdon,SR-38,38,5.275758191044307
SR-18,Sidney Rigdon,SR-18,18,5.179050029450847
SR-37,Sidney Rigdon,SR-37,37,5.006158462949061
SR-36,Sidney Rigdon,SR-36,36,4.839239165808128
SR-4,Sidney Rigdon,SR-4,4,4.711071645374677
SR-9,Sidney Rigdon,SR-9,9,4.1604624578704135
