doc_id_1,doc_id_2,distance,author_1,short_name_1,author_2,short_name_2,comparison_type,author_pair
JS-1,JS-2,13.610616103946972,Joseph Smith,JS-1,Joseph Smith,JS-2,within_author,Joseph Smith
JS-10,JS-2,20.337672577618694,Joseph Smith,JS-10,Joseph Smith,JS-2,within_author,Joseph Smith
JS-11,JS-2,21.995354092233438,Joseph Smith,JS-11,Joseph Smith,JS-2,within_author,Joseph Smith
JS-12,JS-2,17.76909103806003,Joseph Smith,JS-12,Joseph Smith,JS-2,within_author,Joseph Smith
JS-13,JS-2,18.530401595277365,Joseph Smith,JS-13,Joseph Smith,JS-2,within_author,Joseph Smith
JS-14,JS-2,17.450811564878286,Joseph Smith,JS-14,Joseph Smith,JS-2,within_author,Joseph Smith
JS-1,JS-3,9.967357996811904,Joseph Smith,JS-1,Joseph Smith,JS-3,within_author,Joseph Smith
JS-2,JS-3,17.41847452251217,Joseph Smith,JS-2,Joseph Smith,JS-3,within_author,Joseph Smith
JS-10,JS-3,17.737391422188857,Joseph Smith,JS-10,Joseph Smith,JS-3,within_author,Joseph Smith
JS-11,JS-3,17.88241521866865,Joseph Smith,JS-11,Joseph Smith,JS-3,within_author,Joseph Smith
JS-12,JS-3,11.893088204993589,Joseph Smith,JS-12,Joseph Smith,JS-3,within_author,Joseph Smith
JS-13,JS-3,17.544201499604224,Joseph Smith,JS-13,Joseph Smith,JS-3,within_author,Joseph Smith
JS-14,JS-3,14.100772661106479,Joseph Smith,JS-14,Joseph Smith,JS-3,within_author,Joseph Smith
JS-1,JS-4,15.138643909242022,Joseph Smith,JS-1,Joseph Smith,JS-4,within_author,Joseph Smith
JS-2,JS-4,18.74106735236298,Joseph Smith,JS-2,Joseph Smith,JS-4,within_author,Joseph Smith
JS-3,JS-4,16.344107608078875,Joseph Smith,JS-3,Joseph Smith,JS-4,within_author,Joseph Smith
JS-10,JS-4,15.011287579675415,Joseph Smith,JS-10,Joseph Smith,JS-4,within_author,Joseph Smith
JS-11,JS-4,18.838582322519386,Joseph Smith,JS-11,Joseph Smith,JS-4,within_author,Joseph Smith
JS-12,JS-4,17.321333824491745,Joseph Smith,JS-12,Joseph Smith,JS-4,within_author,Joseph Smith
JS-13,JS-4,16.66630114619886,Joseph Smith,JS-13,Joseph Smith,JS-4,within_author,Joseph Smith
JS-14,JS-4,15.541227056372092,Joseph Smith,JS-14,Joseph Smith,JS-4,within_author,Joseph Smith
JS-1,JS-5,10.158195943035814,Joseph Smith,JS-1,Joseph Smith,JS-5,within_author,Joseph Smith
JS-2,JS-5,16.03064025884322,Joseph Smith,JS-2,Joseph Smith,JS-5,within_author,Joseph Smith
JS-3,JS-5,11.782106930931496,Joseph Smith,JS-3,Joseph Smith,JS-5,within_author,Joseph Smith
JS-4,JS-5,11.52270632718781,Joseph Smith,JS-4,Joseph Smith,JS-5,within_author,Joseph Smith
JS-10,JS-5,16.795434699642186,Joseph Smith,JS-10,Joseph Smith,JS-5,within_author,Joseph Smith
