book,mosiah_priority,mosiah_priority_label,chapters,observed,expected,pearson_residual,chisq_stdres,residual,observed_share,expected_share,enrichment,author,author_code
Alma,MP-1,MP-1_Mosiah_Alma_Helaman,63,376,237.2384937238494,9.008996673365466,10.498301549187312,138.7615062761506,0.4177777777777778,0.26359832635983266,1.5849029982363316,Sidney Rigdon,SR
Mosiah,MP-1,MP-1_Mosiah_Alma_Helaman,29,184,109.2050209205021,7.157331653586362,7.6355521019902435,74.7949790794979,0.20444444444444448,0.1213389121338912,1.684904214559387,Sidney Rigdon,SR
Omni,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,15,3.7656903765690375,5.789273734810702,5.8014233257918715,11.234309623430963,0.01666666666666666,0.00418410041841004,3.983333333333334,Sidney Rigdon,SR
Jarom,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,12,3.7656903765690375,4.243311251436671,4.252216426502199,8.234309623430963,0.01333333333333333,0.00418410041841004,3.186666666666667,Sidney Rigdon,SR
Mormon,MP-2,MP-2_3Nephi_to_Moroni,9,32,33.89121338912134,-0.3248605497373604,-0.33115552663877323,-1.89121338912134,0.03555555555555555,0.03765690376569038,0.9441975308641976,Sidney Rigdon,SR
Enos,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,3,3.7656903765690375,-0.394576198685422,-0.39540427136682016,-0.7656903765690375,0.00333333333333333,0.00418410041841004,0.7966666666666667,Sidney Rigdon,SR
Jacob,MP-3,MP-3_1Nephi_to_WordsOfMormon,7,18,26.359832635983263,-1.6282693903073393,-1.652651251061599,-8.359832635983263,0.02,0.02928870292887029,0.6828571428571428,Sidney Rigdon,SR
4 Nephi,MP-2,MP-2_3Nephi_to_Moroni,1,0,3.7656903765690375,-1.9405386820594528,-1.944611170656493,-3.7656903765690375,0,0.00418410041841004,0,Sidney Rigdon,SR
Words of Mormon,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,0,3.7656903765690375,-1.9405386820594528,-1.944611170656493,-3.7656903765690375,0,0.00418410041841004,0,Sidney Rigdon,SR
Helaman,MP-1,MP-1_Mosiah_Alma_Helaman,16,37,60.2510460251046,-2.9954370711678826,-3.1010353660197794,-23.2510460251046,0.04111111111111111,0.06694560669456066,0.6140972222222223,Sidney Rigdon,SR
2 Nephi,MP-3,MP-3_1Nephi_to_WordsOfMormon,33,92,124.26778242677824,-2.8946085845507112,-3.1178497748388945,-32.26778242677824,0.10222222222222224,0.13807531380753138,0.7403367003367004,Sidney Rigdon,SR
1 Nephi,MP-3,MP-3_1Nephi_to_WordsOfMormon,22,53,82.84518828451883,-3.2789944260603723,-3.441198793520443,-29.845188284518827,0.05888888888888888,0.09205020920502092,0.6397474747474747,Sidney Rigdon,SR
Moroni,MP-2,MP-2_3Nephi_to_Moroni,10,16,37.65690376569037,-3.529182056498729,-3.6054150873998214,-21.656903765690373,0.01777777777777777,0.04184100418410042,0.4248888888888889,Sidney Rigdon,SR
Ether,MP-2,MP-2_3Nephi_to_Moroni,15,28,56.48535564853556,-3.790126561506787,-3.9149719400022898,-28.48535564853556,0.03111111111111111,0.06276150627615062,0.4957037037037037,Sidney Rigdon,SR
3 Nephi,MP-2,MP-2_3Nephi_to_Moroni,30,34,112.97071129707112,-7.429902559106133,-7.945274855013405,-78.97071129707112,0.03777777777777778,0.12552301255230125,0.300962962962963,Sidney Rigdon,SR
Omni,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,9,1.338912133891213,6.620859999568879,6.634754789247707,7.661087866108787,0.028125,0.00418410041841004,6.721875000000001,Oliver Cowdery,OC
Enos,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,7,1.338912133891213,4.892421397824518,4.902688820236017,5.661087866108787,0.021875,0.00418410041841004,5.228125,Oliver Cowdery,OC
Jarom,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,6,1.338912133891213,4.028202096952338,4.036655835730173,4.661087866108787,0.01875,0.00418410041841004,4.48125,Oliver Cowdery,OC
Alma,MP-1,MP-1_Mosiah_Alma_Helaman,63,111,84.35146443514645,2.901529794682824,3.381190585693995,26.648535564853542,0.346875,0.26359832635983266,1.315922619047619,Oliver Cowdery,OC
Mosiah,MP-1,MP-1_Mosiah_Alma_Helaman,29,51,38.82845188284519,1.953308242377977,2.083819442466481,12.171548117154812,0.159375,0.1213389121338912,1.313469827586207,Oliver Cowdery,OC
Words of Mormon,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,3,1.338912133891213,1.4355441943357974,1.4385568822126378,1.661087866108787,0.009375,0.00418410041841004,2.240625,Oliver Cowdery,OC
Jacob,MP-3,MP-3_1Nephi_to_WordsOfMormon,7,11,9.372384937238492,0.5316510080695334,0.5396120008424592,1.6276150627615067,0.034375,0.02928870292887029,1.1736607142857145,Oliver Cowdery,OC
2 Nephi,MP-3,MP-3_1Nephi_to_WordsOfMormon,33,43,44.18410041841004,-0.1781375709041119,-0.19187609278093143,-1.18410041841004,0.134375,0.13807531380753138,0.9732007575757576,Oliver Cowdery,OC
1 Nephi,MP-3,MP-3_1Nephi_to_WordsOfMormon,22,25,29.456066945606697,-0.8210400223703884,-0.8616549976291294,-4.456066945606697,0.078125,0.09205020920502092,0.8487215909090908,Oliver Cowdery,OC
Moroni,MP-2,MP-2_3Nephi_to_Moroni,10,10,13.389121338912132,-0.926213441336355,-0.9462203598698954,-3.3891213389121333,0.03125,0.04184100418410042,0.7468750000000001,Oliver Cowdery,OC
4 Nephi,MP-2,MP-2_3Nephi_to_Moroni,1,0,1.338912133891213,-1.1571137082807434,-1.159542071304897,-1.338912133891213,0,0.00418410041841004,0,Oliver Cowdery,OC
Mormon,MP-2,MP-2_3Nephi_to_Moroni,9,7,12.05020920502092,-1.454829422807143,-1.4830203423246735,-5.05020920502092,0.021875,0.03765690376569038,0.5809027777777778,Oliver Cowdery,OC
Helaman,MP-1,MP-1_Mosiah_Alma_Helaman,16,9,21.422594142259413,-2.683961406160568,-2.778579233611155,-12.422594142259411,0.028125,0.06694560669456066,0.4201171875,Oliver Cowdery,OC
Ether,MP-2,MP-2_3Nephi_to_Moroni,15,8,20.0836820083682,-2.6963584099735085,-2.785175466815759,-12.0836820083682,0.025,0.06276150627615062,0.3983333333333334,Oliver Cowdery,OC
3 Nephi,MP-2,MP-2_3Nephi_to_Moroni,30,20,40.1673640167364,-3.1820900914445733,-3.402814530717553,-20.1673640167364,0.0625,0.12552301255230125,0.4979166666666667,Oliver Cowdery,OC
Omni,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,5,1.1715481171548117,3.5370657092342133,3.5444887304298285,3.828451882845188,0.01785714285714285,0.00418410041841004,4.267857142857143,Joseph Smith,JS
Mosiah,MP-1,MP-1_Mosiah_Alma_Helaman,29,49,33.97489539748954,2.5777360190090133,2.7499686518589437,15.02510460251046,0.175,0.1213389121338912,1.4422413793103448,Joseph Smith,JS
Enos,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,3,1.1715481171548117,1.689287120147925,1.6928323226205848,1.8284518828451883,0.01071428571428571,0.00418410041841004,2.560714285714286,Joseph Smith,JS
Jarom,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,3,1.1715481171548117,1.689287120147925,1.6928323226205848,1.8284518828451883,0.01071428571428571,0.00418410041841004,2.560714285714286,Joseph Smith,JS
2 Nephi,MP-3,MP-3_1Nephi_to_WordsOfMormon,33,45,38.66108786610879,1.01947762082134,1.098102896362574,6.338912133891213,0.16071428571428573,0.13807531380753138,1.163961038961039,Joseph Smith,JS
Jacob,MP-3,MP-3_1Nephi_to_WordsOfMormon,7,10,8.200836820083682,0.6282629792563702,0.637670648876932,1.7991631799163184,0.03571428571428571,0.02928870292887029,1.219387755102041,Joseph Smith,JS
Alma,MP-1,MP-1_Mosiah_Alma_Helaman,63,77,73.80753138075315,0.37160050633535585,0.43303092594903864,3.1924686192468528,0.275,0.26359832635983266,1.0432539682539683,Joseph Smith,JS
Words of Mormon,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,1,1.1715481171548117,-0.1584914689383636,-0.15882408518865893,-0.17154811715481166,0.00357142857142857,0.00418410041841004,0.8535714285714286,Joseph Smith,JS
1 Nephi,MP-3,MP-3_1Nephi_to_WordsOfMormon,22,24,25.77405857740586,-0.34944316484631105,-0.3667293203416232,-1.77405857740586,0.08571428571428572,0.09205020920502092,0.9311688311688312,Joseph Smith,JS
Ether,MP-2,MP-2_3Nephi_to_Moroni,15,14,17.573221757322173,-0.8523820098145597,-0.8804591605141788,-3.573221757322173,0.05,0.06276150627615062,0.7966666666666667,Joseph Smith,JS
4 Nephi,MP-2,MP-2_3Nephi_to_Moroni,1,0,1.1715481171548117,-1.082380763481508,-1.0846522890932808,-1.1715481171548117,0,0.00418410041841004,0,Joseph Smith,JS
Moroni,MP-2,MP-2_3Nephi_to_Moroni,10,8,11.715481171548117,-1.0855129268715595,-1.1089608360961216,-3.7154811715481166,0.02857142857142857,0.04184100418410042,0.6828571428571428,Joseph Smith,JS
Helaman,MP-1,MP-1_Mosiah_Alma_Helaman,16,14,18.744769874476987,-1.0959105230250266,-1.1345447122241918,-4.744769874476987,0.05,0.06694560669456066,0.7468750000000001,Joseph Smith,JS
Mormon,MP-2,MP-2_3Nephi_to_Moroni,9,4,10.543933054393303,-2.015289897720331,-2.054341125596589,-6.543933054393305,0.01428571428571428,0.03765690376569038,0.37936507936507935,Joseph Smith,JS
3 Nephi,MP-2,MP-2_3Nephi_to_Moroni,30,23,35.146443514644346,-2.048841877367278,-2.190958995847601,-12.146443514644346,0.08214285714285714,0.12552301255230125,0.6544047619047619,Joseph Smith,JS
