book,mosiah_priority,Sidney Rigdon,Oliver Cowdery,Joseph Smith,SR_minus_JS,SR_minus_OC,OC_minus_JS
1 Nephi,MP-3,-3.441198793520443,-0.8616549976291294,-0.3667293203416232,-3.07446947317882,-2.579543795891314,-0.49492567728750625
2 Nephi,MP-3,-3.1178497748388945,-0.19187609278093143,1.098102896362574,-4.215952671201468,-2.925973682057963,-1.2899789891435054
Jacob,MP-3,-1.652651251061599,0.5396120008424592,0.637670648876932,-2.290321899938531,-2.192263251904058,-0.09805864803447284
Enos,MP-3,-0.39540427136682016,4.902688820236017,1.6928323226205848,-2.088236593987405,-5.298093091602837,3.2098564976154327
Jarom,MP-3,4.252216426502199,4.036655835730173,1.6928323226205848,2.559384103881614,0.21556059077202594,2.343823513109588
Omni,MP-3,5.8014233257918715,6.634754789247707,3.5444887304298285,2.256934595362043,-0.8333314634558358,3.0902660588178787
Words of Mormon,MP-3,-1.944611170656493,1.4385568822126378,-0.15882408518865893,-1.7857870854678342,-3.383168052869131,1.5973809674012966
Mosiah,MP-1,7.6355521019902435,2.083819442466481,2.7499686518589437,4.8855834501313,5.551732659523763,-0.6661492093924628
Alma,MP-1,10.498301549187312,3.381190585693995,0.43303092594903864,10.065270623238273,7.117110963493317,2.9481596597449564
Helaman,MP-1,-3.1010353660197794,-2.778579233611155,-1.1345447122241918,-1.9664906537955875,-0.32245613240862436,-1.6440345213869632
3 Nephi,MP-2,-7.945274855013405,-3.402814530717553,-2.190958995847601,-5.754315859165804,-4.542460324295853,-1.2118555348699518
4 Nephi,MP-2,-1.944611170656493,-1.159542071304897,-1.0846522890932808,-0.8599588815632122,-0.7850690993515961,-0.07488978221161613
Mormon,MP-2,-0.33115552663877323,-1.4830203423246735,-2.054341125596589,1.7231855989578158,1.1518648156859004,0.5713207832719156
Ether,MP-2,-3.9149719400022898,-2.785175466815759,-0.8804591605141788,-3.034512779488111,-1.1297964731865306,-1.9047163063015802
Moroni,MP-2,-3.6054150873998214,-0.9462203598698954,-1.1089608360961216,-2.4964542513036996,-2.659194727529926,0.16274047622622623
