book,mosiah_priority,mosiah_priority_label,chapters,observed,expected,pearson_residual,chisq_stdres,residual,observed_share,expected_share,enrichment,author,author_code,direction
Omni,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,5,1.1715481171548117,3.5370657092342133,3.5444887304298285,3.828451882845188,0.01785714285714285,0.00418410041841004,4.267857142857143,Joseph Smith,JS,Overrepresented
Mosiah,MP-1,MP-1_Mosiah_Alma_Helaman,29,49,33.97489539748954,2.5777360190090133,2.7499686518589437,15.02510460251046,0.175,0.1213389121338912,1.4422413793103448,Joseph Smith,JS,Overrepresented
3 Nephi,MP-2,MP-2_3Nephi_to_Moroni,30,23,35.146443514644346,-2.048841877367278,-2.190958995847601,-12.146443514644346,0.08214285714285714,0.12552301255230125,0.6544047619047619,Joseph Smith,JS,Underrepresented
Mormon,MP-2,MP-2_3Nephi_to_Moroni,9,4,10.543933054393303,-2.015289897720331,-2.054341125596589,-6.543933054393305,0.01428571428571428,0.03765690376569038,0.37936507936507935,Joseph Smith,JS,Underrepresented
Alma,MP-1,MP-1_Mosiah_Alma_Helaman,63,376,237.2384937238494,9.008996673365466,10.498301549187312,138.7615062761506,0.4177777777777778,0.26359832635983266,1.5849029982363316,Sidney Rigdon,SR,Overrepresented
Mosiah,MP-1,MP-1_Mosiah_Alma_Helaman,29,184,109.2050209205021,7.157331653586362,7.6355521019902435,74.7949790794979,0.20444444444444448,0.1213389121338912,1.684904214559387,Sidney Rigdon,SR,Overrepresented
Omni,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,15,3.7656903765690375,5.789273734810702,5.8014233257918715,11.234309623430963,0.01666666666666666,0.00418410041841004,3.983333333333334,Sidney Rigdon,SR,Overrepresented
Jarom,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,12,3.7656903765690375,4.243311251436671,4.252216426502199,8.234309623430963,0.01333333333333333,0.00418410041841004,3.186666666666667,Sidney Rigdon,SR,Overrepresented
3 Nephi,MP-2,MP-2_3Nephi_to_Moroni,30,34,112.97071129707112,-7.429902559106133,-7.945274855013405,-78.97071129707112,0.03777777777777778,0.12552301255230125,0.300962962962963,Sidney Rigdon,SR,Underrepresented
Ether,MP-2,MP-2_3Nephi_to_Moroni,15,28,56.48535564853556,-3.790126561506787,-3.9149719400022898,-28.48535564853556,0.03111111111111111,0.06276150627615062,0.4957037037037037,Sidney Rigdon,SR,Underrepresented
Moroni,MP-2,MP-2_3Nephi_to_Moroni,10,16,37.65690376569037,-3.529182056498729,-3.6054150873998214,-21.656903765690373,0.01777777777777777,0.04184100418410042,0.4248888888888889,Sidney Rigdon,SR,Underrepresented
1 Nephi,MP-3,MP-3_1Nephi_to_WordsOfMormon,22,53,82.84518828451883,-3.2789944260603723,-3.441198793520443,-29.845188284518827,0.05888888888888888,0.09205020920502092,0.6397474747474747,Sidney Rigdon,SR,Underrepresented
2 Nephi,MP-3,MP-3_1Nephi_to_WordsOfMormon,33,92,124.26778242677824,-2.8946085845507112,-3.1178497748388945,-32.26778242677824,0.10222222222222224,0.13807531380753138,0.7403367003367004,Sidney Rigdon,SR,Underrepresented
Helaman,MP-1,MP-1_Mosiah_Alma_Helaman,16,37,60.2510460251046,-2.9954370711678826,-3.1010353660197794,-23.2510460251046,0.04111111111111111,0.06694560669456066,0.6140972222222223,Sidney Rigdon,SR,Underrepresented
Omni,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,9,1.338912133891213,6.620859999568879,6.634754789247707,7.661087866108787,0.028125,0.00418410041841004,6.721875000000001,Oliver Cowdery,OC,Overrepresented
Enos,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,7,1.338912133891213,4.892421397824518,4.902688820236017,5.661087866108787,0.021875,0.00418410041841004,5.228125,Oliver Cowdery,OC,Overrepresented
Jarom,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,6,1.338912133891213,4.028202096952338,4.036655835730173,4.661087866108787,0.01875,0.00418410041841004,4.48125,Oliver Cowdery,OC,Overrepresented
Alma,MP-1,MP-1_Mosiah_Alma_Helaman,63,111,84.35146443514645,2.901529794682824,3.381190585693995,26.648535564853542,0.346875,0.26359832635983266,1.315922619047619,Oliver Cowdery,OC,Overrepresented
Mosiah,MP-1,MP-1_Mosiah_Alma_Helaman,29,51,38.82845188284519,1.953308242377977,2.083819442466481,12.171548117154812,0.159375,0.1213389121338912,1.313469827586207,Oliver Cowdery,OC,Overrepresented
3 Nephi,MP-2,MP-2_3Nephi_to_Moroni,30,20,40.1673640167364,-3.1820900914445733,-3.402814530717553,-20.1673640167364,0.0625,0.12552301255230125,0.4979166666666667,Oliver Cowdery,OC,Underrepresented
Ether,MP-2,MP-2_3Nephi_to_Moroni,15,8,20.0836820083682,-2.6963584099735085,-2.785175466815759,-12.0836820083682,0.025,0.06276150627615062,0.3983333333333334,Oliver Cowdery,OC,Underrepresented
Helaman,MP-1,MP-1_Mosiah_Alma_Helaman,16,9,21.422594142259413,-2.683961406160568,-2.778579233611155,-12.422594142259411,0.028125,0.06694560669456066,0.4201171875,Oliver Cowdery,OC,Underrepresented
