book,mosiah_priority,mosiah_priority_label,chapters,observed,expected,pearson_residual,chisq_stdres,residual,observed_share,expected_share,enrichment
Omni,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,5,1.1715481171548117,3.5370657092342133,3.5444887304298285,3.8284518828451883,0.017857142857142856,0.0041841004184100415,4.267857142857143
Mosiah,MP-1,MP-1_Mosiah_Alma_Helaman,29,49,33.97489539748954,2.5777360190090133,2.7499686518589437,15.02510460251046,0.175,0.12133891213389121,1.4422413793103448
Enos,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,3,1.1715481171548117,1.689287120147925,1.6928323226205848,1.8284518828451883,0.010714285714285714,0.0041841004184100415,2.560714285714286
Jarom,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,3,1.1715481171548117,1.689287120147925,1.6928323226205848,1.8284518828451883,0.010714285714285714,0.0041841004184100415,2.560714285714286
2 Nephi,MP-3,MP-3_1Nephi_to_WordsOfMormon,33,45,38.66108786610879,1.0194776208213399,1.098102896362574,6.338912133891213,0.16071428571428573,0.13807531380753138,1.163961038961039
Jacob,MP-3,MP-3_1Nephi_to_WordsOfMormon,7,10,8.200836820083682,0.6282629792563702,0.637670648876932,1.7991631799163184,0.03571428571428571,0.029288702928870293,1.2193877551020407
Alma,MP-1,MP-1_Mosiah_Alma_Helaman,63,77,73.80753138075315,0.37160050633535585,0.43303092594903864,3.1924686192468528,0.275,0.26359832635983266,1.0432539682539683
Words of Mormon,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,1,1.1715481171548117,-0.1584914689383636,-0.15882408518865893,-0.17154811715481166,0.0035714285714285713,0.0041841004184100415,0.8535714285714286
1 Nephi,MP-3,MP-3_1Nephi_to_WordsOfMormon,22,24,25.77405857740586,-0.34944316484631105,-0.3667293203416232,-1.7740585774058601,0.08571428571428572,0.09205020920502092,0.9311688311688311
Ether,MP-2,MP-2_3Nephi_to_Moroni,15,14,17.573221757322173,-0.8523820098145597,-0.8804591605141788,-3.573221757322173,0.05,0.06276150627615062,0.7966666666666667
4 Nephi,MP-2,MP-2_3Nephi_to_Moroni,1,0,1.1715481171548117,-1.082380763481508,-1.0846522890932808,-1.1715481171548117,0,0.0041841004184100415,0
Moroni,MP-2,MP-2_3Nephi_to_Moroni,10,8,11.715481171548117,-1.0855129268715595,-1.1089608360961216,-3.7154811715481166,0.02857142857142857,0.04184100418410042,0.6828571428571428
Helaman,MP-1,MP-1_Mosiah_Alma_Helaman,16,14,18.744769874476987,-1.0959105230250266,-1.1345447122241918,-4.744769874476987,0.05,0.06694560669456066,0.7468750000000001
Mormon,MP-2,MP-2_3Nephi_to_Moroni,9,4,10.543933054393305,-2.015289897720331,-2.054341125596589,-6.543933054393305,0.014285714285714285,0.03765690376569038,0.37936507936507935
3 Nephi,MP-2,MP-2_3Nephi_to_Moroni,30,23,35.146443514644346,-2.048841877367278,-2.190958995847601,-12.146443514644346,0.08214285714285714,0.12552301255230125,0.6544047619047619
