book,mosiah_priority,mosiah_priority_label,chapters,observed,expected,pearson_residual,chisq_stdres,residual,observed_share,expected_share,enrichment
Alma,MP-1,MP-1_Mosiah_Alma_Helaman,63,376,237.2384937238494,9.008996673365466,10.498301549187312,138.7615062761506,0.4177777777777778,0.26359832635983266,1.5849029982363316
Mosiah,MP-1,MP-1_Mosiah_Alma_Helaman,29,184,109.2050209205021,7.157331653586362,7.6355521019902435,74.7949790794979,0.20444444444444446,0.12133891213389121,1.684904214559387
Omni,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,15,3.7656903765690375,5.789273734810702,5.8014233257918715,11.234309623430963,0.016666666666666666,0.0041841004184100415,3.983333333333334
Jarom,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,12,3.7656903765690375,4.243311251436671,4.252216426502199,8.234309623430963,0.013333333333333334,0.0041841004184100415,3.186666666666667
Mormon,MP-2,MP-2_3Nephi_to_Moroni,9,32,33.89121338912134,-0.3248605497373604,-0.33115552663877323,-1.89121338912134,0.035555555555555556,0.03765690376569038,0.9441975308641976
Enos,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,3,3.7656903765690375,-0.394576198685422,-0.39540427136682016,-0.7656903765690375,0.0033333333333333335,0.0041841004184100415,0.7966666666666667
Jacob,MP-3,MP-3_1Nephi_to_WordsOfMormon,7,18,26.359832635983263,-1.6282693903073393,-1.652651251061599,-8.359832635983263,0.02,0.029288702928870293,0.6828571428571428
4 Nephi,MP-2,MP-2_3Nephi_to_Moroni,1,0,3.7656903765690375,-1.9405386820594528,-1.944611170656493,-3.7656903765690375,0,0.0041841004184100415,0
Words of Mormon,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,0,3.7656903765690375,-1.9405386820594528,-1.944611170656493,-3.7656903765690375,0,0.0041841004184100415,0
Helaman,MP-1,MP-1_Mosiah_Alma_Helaman,16,37,60.2510460251046,-2.9954370711678826,-3.1010353660197794,-23.2510460251046,0.04111111111111111,0.06694560669456066,0.6140972222222223
2 Nephi,MP-3,MP-3_1Nephi_to_WordsOfMormon,33,92,124.26778242677824,-2.8946085845507112,-3.1178497748388945,-32.26778242677824,0.10222222222222223,0.13807531380753138,0.7403367003367004
1 Nephi,MP-3,MP-3_1Nephi_to_WordsOfMormon,22,53,82.84518828451883,-3.2789944260603723,-3.441198793520443,-29.845188284518827,0.058888888888888886,0.09205020920502092,0.6397474747474747
Moroni,MP-2,MP-2_3Nephi_to_Moroni,10,16,37.65690376569037,-3.529182056498729,-3.6054150873998214,-21.656903765690373,0.017777777777777778,0.04184100418410042,0.4248888888888889
Ether,MP-2,MP-2_3Nephi_to_Moroni,15,28,56.48535564853556,-3.7901265615067876,-3.9149719400022893,-28.48535564853556,0.03111111111111111,0.06276150627615062,0.4957037037037037
3 Nephi,MP-2,MP-2_3Nephi_to_Moroni,30,34,112.97071129707112,-7.429902559106133,-7.945274855013405,-78.97071129707112,0.03777777777777778,0.12552301255230125,0.300962962962963
