author,author_code,target_corpus,votes,weighted_votes,mean_similarity,max_similarity,pct_votes,weighted_pct_votes
Joseph Smith,JS,BOM,118,100.40160544583408,0.8508610631002888,0.94042050205890515,0.42142857142857143,0.42116305666209447
Joseph Smith,JS,KJV,94,81.31315347713354,0.8650335476290802,0.9391009843843021,0.3357142857142857,0.3410911221309015
Joseph Smith,JS,DC,37,31.350150427237413,0.8473013628983085,0.9276315933235384,0.13214285714285715,0.13150711208373037
Joseph Smith,JS,BOC,31,25.326383185188966,0.8169801027480311,0.9211891711451642,0.11071428571428571,0.10623870912327367
Oliver Cowdery,OC,BOM,147,131.90414026705577,0.8973070766466379,0.9599401325919578,0.459375,0.4642464259476484
Oliver Cowdery,OC,KJV,86,75.92100228588505,0.882802352161454,0.9508120066557071,0.26875,0.2672096106629065
Oliver Cowdery,OC,DC,61,54.028073362470124,0.8857061206962316,0.9656479378074118,0.190625,0.1901558200415991
Oliver Cowdery,OC,BOC,26,22.27205224966951,0.856617394218058,0.9433922023227423,0.08125,0.078388143347846
Sidney Rigdon,SR,BOM,497,455.4597697832485,0.9164180478536187,0.957189494130379,0.5522222222222222,0.555027987612833
Sidney Rigdon,SR,DC,189,172.98613317478248,0.91527054589832,0.9649612845653303,0.21,0.21080269158924148
Sidney Rigdon,SR,KJV,161,143.91179152506078,0.8938620591618682,0.963379118692596,0.17888888888888888,0.1753723980537826
Sidney Rigdon,SR,BOC,53,48.24915769056896,0.9103614658597916,0.9590479198296332,0.058888888888888886,0.05879692274414282
