source_doc,target_doc,similarity,rank,source_corpus,source_book,source_chapter,source_header,author,author_code,short_name,chapter_original,chapter_title,target_corpus,target_source,target_book,target_chapter,target_section,target_genre,target_header
SR-1,DC_1835__106__sections_125-126-127,0.8835830550271251,1,JSO,Sidney Rigdon,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Sidney Rigdon,SR,SR-1,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",DC,DC_1835,Doctrine and Covenants,125,Sections 125-126-127,Modern_Scripture,"Sections 125, 126 & 127 (1835 Doctrine and Covenants)"
SR-1,BOC_1833__Book_of_Commandments_63,0.8782513881988016,2,JSO,Sidney Rigdon,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Sidney Rigdon,SR,SR-1,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",BOC,BOC_1833,Book of Commandments,63,BOC_63,Modern_Revelation,"[edit] A Revelation to certain elders, while journeying to the land of Zion, given on the bank of the Missouri river, August, 1831."
SR-1,DC_1835__051__section_53,0.8688092457242692,3,JSO,Sidney Rigdon,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Sidney Rigdon,SR,SR-1,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",DC,DC_1835,Doctrine and Covenants,53,Section 53,Modern_Scripture,Section 53 (1835 Doctrine and Covenants)
SR-1,DC_1835__071__section_73,0.8681076365885523,4,JSO,Sidney Rigdon,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Sidney Rigdon,SR,SR-1,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",DC,DC_1835,Doctrine and Covenants,73,Section 73,Modern_Scripture,Section 73 (1835 Doctrine and Covenants)
SR-1,BOC_1833__Book_of_Commandments_16,0.8676033646550729,5,JSO,Sidney Rigdon,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Sidney Rigdon,SR,SR-1,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",BOC,BOC_1833,Book of Commandments,16,BOC_16,Modern_Revelation,"[edit] A commandment of God and not of man to you, Martin, given (Manchester, New-York, March, 1830,) by him who is eternal:"
SR-1,DC_1835__070__section_72,0.8668031052729126,6,JSO,Sidney Rigdon,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Sidney Rigdon,SR,SR-1,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",DC,DC_1835,Doctrine and Covenants,72,Section 72,Modern_Scripture,Section 72 (1835 Doctrine and Covenants)
SR-1,DC_1835__079__section_82,0.8666144921941681,7,JSO,Sidney Rigdon,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Sidney Rigdon,SR,SR-1,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",DC,DC_1835,Doctrine and Covenants,82,Section 82,Modern_Scripture,Section 82 (1835 Doctrine and Covenants)
SR-1,BOC_1833__Book_of_Commandments_57,0.8627721820233842,8,JSO,Sidney Rigdon,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Sidney Rigdon,SR,SR-1,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",BOC,BOC_1833,Book of Commandments,57,BOC_57,Modern_Revelation,"[edit] A Revelation to William, given in Kirtland, Ohio, June, 1831. Behold thus saith the Lord unto you, my servant William; yea, even the Lord of the whole earth,"
SR-1,Job_31,0.851207281130323,9,JSO,Sidney Rigdon,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Sidney Rigdon,SR,SR-1,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",KJV,KJV,Job,31,Job,Poetic/Wisdom,Job 31
SR-1,Moroni_3,0.8509042561998343,10,JSO,Sidney Rigdon,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Sidney Rigdon,SR,SR-1,1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",BOM,BOM_1830,Moroni,3,MP-2,Modern_Scripture,Moroni 3
