book,mosiah_priority,mosiah_priority_label,chapters,observed,expected,pearson_residual,chisq_stdres,residual,observed_share,expected_share,enrichment
Omni,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,9,1.3389121338912133,6.620859999568879,6.634754789247707,7.661087866108787,0.028125,0.0041841004184100415,6.721875000000001
Enos,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,7,1.3389121338912133,4.892421397824518,4.902688820236017,5.661087866108787,0.021875,0.0041841004184100415,5.228125
Jarom,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,6,1.3389121338912133,4.028202096952338,4.036655835730173,4.661087866108787,0.01875,0.0041841004184100415,4.48125
Alma,MP-1,MP-1_Mosiah_Alma_Helaman,63,111,84.35146443514645,2.901529794682824,3.381190585693995,26.648535564853546,0.346875,0.26359832635983266,1.315922619047619
Mosiah,MP-1,MP-1_Mosiah_Alma_Helaman,29,51,38.82845188284519,1.953308242377977,2.083819442466481,12.171548117154813,0.159375,0.12133891213389121,1.313469827586207
Words of Mormon,MP-3,MP-3_1Nephi_to_WordsOfMormon,1,3,1.3389121338912133,1.4355441943357974,1.4385568822126378,1.6610878661087867,0.009375,0.0041841004184100415,2.240625
Jacob,MP-3,MP-3_1Nephi_to_WordsOfMormon,7,11,9.372384937238493,0.5316510080695334,0.5396120008424592,1.6276150627615067,0.034375,0.029288702928870293,1.1736607142857143
2 Nephi,MP-3,MP-3_1Nephi_to_WordsOfMormon,33,43,44.18410041841004,-0.1781375709041119,-0.19187609278093143,-1.1841004184100399,0.134375,0.13807531380753138,0.9732007575757575
1 Nephi,MP-3,MP-3_1Nephi_to_WordsOfMormon,22,25,29.456066945606697,-0.8210400223703884,-0.8616549976291294,-4.456066945606697,0.078125,0.09205020920502092,0.8487215909090908
Moroni,MP-2,MP-2_3Nephi_to_Moroni,10,10,13.389121338912133,-0.926213441336355,-0.9462203598698954,-3.3891213389121333,0.03125,0.04184100418410042,0.7468750000000001
4 Nephi,MP-2,MP-2_3Nephi_to_Moroni,1,0,1.3389121338912133,-1.1571137082807434,-1.159542071304897,-1.3389121338912133,0,0.0041841004184100415,0
Mormon,MP-2,MP-2_3Nephi_to_Moroni,9,7,12.05020920502092,-1.454829422807143,-1.4830203423246735,-5.05020920502092,0.021875,0.03765690376569038,0.5809027777777778
Helaman,MP-1,MP-1_Mosiah_Alma_Helaman,16,9,21.422594142259413,-2.683961406160568,-2.7785792336111554,-12.422594142259413,0.028125,0.06694560669456066,0.42011718750000004
Ether,MP-2,MP-2_3Nephi_to_Moroni,15,8,20.0836820083682,-2.6963584099735085,-2.785175466815759,-12.0836820083682,0.025,0.06276150627615062,0.3983333333333334
3 Nephi,MP-2,MP-2_3Nephi_to_Moroni,30,20,40.1673640167364,-3.1820900914445733,-3.402814530717553,-20.1673640167364,0.0625,0.12552301255230125,0.4979166666666667
