doc_id,neighbor_doc_id,similarity,rank,author,author_code,short_name,chapter_title,target_book,target_chapter,target_header,mosiah_priority,mosiah_priority_label
OC-1,Alma_26,0.9253159007783117,1,Oliver Cowdery,OC,OC-1,"Letter to WW Phelps, Letter 1, September 7 1834",Alma,26,Alma 26,MP-1,MP-1_Mosiah_Alma_Helaman
OC-1,Jacob_1,0.9251141922970918,2,Oliver Cowdery,OC,OC-1,"Letter to WW Phelps, Letter 1, September 7 1834",Jacob,1,Jacob 1,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-1,Mosiah_7,0.922603684008901,3,Oliver Cowdery,OC,OC-1,"Letter to WW Phelps, Letter 1, September 7 1834",Mosiah,7,Mosiah 7,MP-1,MP-1_Mosiah_Alma_Helaman
OC-1,Jacob_4,0.9224627584618222,4,Oliver Cowdery,OC,OC-1,"Letter to WW Phelps, Letter 1, September 7 1834",Jacob,4,Jacob 4,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-1,Omni_1,0.9196249068744565,5,Oliver Cowdery,OC,OC-1,"Letter to WW Phelps, Letter 1, September 7 1834",Omni,1,Omni 1,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-1,Enos_1,0.9186724876861003,6,Oliver Cowdery,OC,OC-1,"Letter to WW Phelps, Letter 1, September 7 1834",Enos,1,Enos 1,MP-3,MP-3_1Nephi_to_WordsOfMormon
OC-1,Alma_42,0.9177791492500147,7,Oliver Cowdery,OC,OC-1,"Letter to WW Phelps, Letter 1, September 7 1834",Alma,42,Alma 42,MP-1,MP-1_Mosiah_Alma_Helaman
OC-1,Alma_40,0.9168916382993694,8,Oliver Cowdery,OC,OC-1,"Letter to WW Phelps, Letter 1, September 7 1834",Alma,40,Alma 40,MP-1,MP-1_Mosiah_Alma_Helaman
OC-1,Alma_22,0.9118961344205501,9,Oliver Cowdery,OC,OC-1,"Letter to WW Phelps, Letter 1, September 7 1834",Alma,22,Alma 22,MP-1,MP-1_Mosiah_Alma_Helaman
OC-1,Words_of_Mormon_1,0.9118533082710908,10,Oliver Cowdery,OC,OC-1,"Letter to WW Phelps, Letter 1, September 7 1834",Words of Mormon,1,Words of Mormon 1,MP-3,MP-3_1Nephi_to_WordsOfMormon
