doc_id,neighbor_doc_id,similarity,rank,author,author_code,short_name,chapter_title,target_book,target_chapter,target_header,mosiah_priority,mosiah_priority_label
SR-1,Moroni_3,0.8586290485436368,1,Sidney Rigdon,SR,SR-1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Moroni,3,Moroni 3,MP-2,MP-2_3Nephi_to_Moroni
SR-1,2_Nephi_7,0.8366863814057353,2,Sidney Rigdon,SR,SR-1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",2 Nephi,7,2 Nephi 7,MP-3,MP-3_1Nephi_to_WordsOfMormon
SR-1,Alma_41,0.8362520608146685,3,Sidney Rigdon,SR,SR-1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Alma,41,Alma 41,MP-1,MP-1_Mosiah_Alma_Helaman
SR-1,3_Nephi_9,0.8347855111680426,4,Sidney Rigdon,SR,SR-1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",3 Nephi,9,3 Nephi 9,MP-2,MP-2_3Nephi_to_Moroni
SR-1,Alma_40,0.8340566380474386,5,Sidney Rigdon,SR,SR-1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Alma,40,Alma 40,MP-1,MP-1_Mosiah_Alma_Helaman
SR-1,Mosiah_13,0.8259064386374269,6,Sidney Rigdon,SR,SR-1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Mosiah,13,Mosiah 13,MP-1,MP-1_Mosiah_Alma_Helaman
SR-1,Alma_38,0.823838498515054,7,Sidney Rigdon,SR,SR-1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Alma,38,Alma 38,MP-1,MP-1_Mosiah_Alma_Helaman
SR-1,2_Nephi_20,0.8237064341768848,8,Sidney Rigdon,SR,SR-1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",2 Nephi,20,2 Nephi 20,MP-3,MP-3_1Nephi_to_WordsOfMormon
SR-1,Alma_11,0.8234766552649317,9,Sidney Rigdon,SR,SR-1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Alma,11,Alma 11,MP-1,MP-1_Mosiah_Alma_Helaman
SR-1,Mosiah_12,0.8229890636932716,10,Sidney Rigdon,SR,SR-1,"To the Public. Ohio Star, Vol II, No.50: December 15, 1831",Mosiah,12,Mosiah 12,MP-1,MP-1_Mosiah_Alma_Helaman
