doc_id,chapter,actual_section,winner,winner_pct_votes,winner_weighted_pct_votes,vote_margin,weighted_vote_margin,second_pct_votes,winner_dominance_ratio,doc_entropy,effective_targets,consensus_strength,elbow_rank,n_targets,n_verses
Isaiah_1,1,Isaiah_1_35,Isaiah_1_35,0.5862068965517241,0.5928411633109619,0.48275862068965514,0.4586129753914988,0.10344827586206896,5.666666666666666,2.091023898457943,4.260503388861481,2.497536469332592,1,8,31
Isaiah_2,2,Isaiah_1_35,Isaiah_1_35,0.7586206896551724,0.8501118568232662,0.689655172413793,0.7606263982102908,0.06896551724137931,11,1.268067353402726,2.4083871973723316,1.827052356627286,1,5,22
Isaiah_3,3,Isaiah_1_35,Isaiah_1_35,0.5862068965517241,0.6263982102908278,0.3793103448275862,0.3579418344519016,0.20689655172413793,2.833333333333333,1.858096743210927,3.6252908470761596,2.1251704965618865,1,7,26
Isaiah_4,4,Isaiah_1_35,Isaiah_1_35,0.5172413793103449,0.5369127516778524,0.4137931034482759,0.40268456375838924,0.10344827586206896,5,2.3023556869049955,4.932625258036597,2.551357892087895,1,8,6
Isaiah_5,5,Isaiah_1_35,Isaiah_1_35,0.4827586206896552,0.49217002237136465,0.3448275862068966,0.3131991051454139,0.13793103448275862,3.5,2.3042618085424023,4.939146662348119,2.3844156300990917,1,7,30
Isaiah_6,6,Isaiah_1_35,Isaiah_1_35,0.4482758620689655,0.45861297539149887,0.3103448275862069,0.2796420581655481,0.13793103448275862,3.25,2.6214084489897216,6.153505229757204,2.7584678616152982,1,10,13
Isaiah_7,7,Isaiah_1_35,Isaiah_1_35,0.8275862068965517,0.8926174496644295,0.7931034482758621,0.8478747203579418,0.034482758620689655,24,1.063529270392822,2.0900381412576183,1.7296867375925118,1,6,25
Isaiah_8,8,Isaiah_1_35,Isaiah_1_35,0.6206896551724138,0.6711409395973155,0.5172413793103449,0.5659955257270693,0.10344827586206896,6,1.9678590113991206,3.9118715841285856,2.428058224631536,1,8,22
Isaiah_9,9,Isaiah_1_35,Isaiah_1_35,0.6896551724137931,0.7606263982102909,0.5862068965517242,0.6621923937360179,0.10344827586206896,6.666666666666667,1.5754482571996165,2.9802807801214017,2.055366055256139,1,6,21
Isaiah_10,10,Isaiah_1_35,Isaiah_1_35,0.7241379310344828,0.7718120805369126,0.6551724137931034,0.6823266219239372,0.06896551724137931,10.5,1.4704407924257112,2.7710654616839467,2.006633610184927,1,6,34
Isaiah_11,11,Isaiah_1_35,Isaiah_1_35,0.6206896551724138,0.6711409395973155,0.4827586206896552,0.5570469798657718,0.13793103448275862,4.5,1.829927976916362,3.5551932357555223,2.206671663572393,1,7,16
Isaiah_12,12,Isaiah_1_35,Psalms,0.3793103448275862,0.447427293064877,0.24137931034482757,0.26845637583892623,0.13793103448275862,2.75,2.4423345190927352,5.435205258391014,2.0616295807690053,1,7,6
Isaiah_13,13,Isaiah_1_35,Isaiah_1_35,0.6896551724137931,0.7606263982102909,0.5517241379310345,0.639821029082774,0.13793103448275862,5,1.5325133434811153,2.892893762920453,1.9950991468416919,1,6,22
Isaiah_14,14,Isaiah_1_35,Isaiah_1_35,0.5172413793103449,0.5369127516778524,0.4137931034482759,0.40268456375838924,0.10344827586206896,5,2.2333901696636165,4.702376876052434,2.4322639014064316,1,7,32
Isaiah_15,15,Isaiah_1_35,Isaiah_1_35,0.5862068965517241,0.6263982102908278,0.44827586206896547,0.4809843400447428,0.13793103448275862,4.25,1.9530928639751846,3.872037336411687,2.2698149903102993,1,7,9
Isaiah_16,16,Isaiah_1_35,Isaiah_1_35,0.6896551724137931,0.7606263982102909,0.5517241379310345,0.5816554809843401,0.13793103448275862,5,1.4375172227168578,2.7085434279407874,1.86796098478675,1,5,14
Isaiah_17,17,Isaiah_1_35,Isaiah_1_35,0.6896551724137931,0.7248322147651006,0.5862068965517242,0.5906040268456375,0.10344827586206896,6.666666666666667,1.6444137744409957,3.1262080091735984,2.156005523567999,1,7,14
Isaiah_18,18,Isaiah_1_35,Isaiah_1_35,0.5517241379310345,0.58165548098434,0.3793103448275862,0.45190156599552567,0.1724137931034483,3.1999999999999997,1.9488593407620451,3.8606916731413192,2.1300367851814177,1,6,7
Isaiah_19,19,Isaiah_1_35,Isaiah_1_35,0.6206896551724138,0.6711409395973155,0.5172413793103449,0.6085011185682326,0.10344827586206896,6,1.9678590113991206,3.9118715841285856,2.428058224631536,1,8,25
Isaiah_20,20,Isaiah_1_35,Isaiah_1_35,0.3103448275862069,0.3131991051454139,0.13793103448275862,0.13422818791946312,0.1724137931034483,1.8,2.8961239954868447,7.444237044880265,2.3102804622042203,1,10,6
Isaiah_21,21,Isaiah_1_35,Isaiah_1_35,0.5172413793103449,0.5033557046979866,0.37931034482758624,0.3243847874720358,0.13793103448275862,3.7500000000000004,2.0095893077438554,4.0266757625444995,2.0827633254540516,1,6,17
Isaiah_22,22,Isaiah_1_35,Isaiah_1_35,0.41379310344827586,0.4026845637583893,0.17241379310344826,0.1610738255033557,0.2413793103448276,1.7142857142857142,2.1586473765932994,4.464960389286766,1.847569816256593,1,6,25
Isaiah_23,23,Isaiah_1_35,Isaiah_1_35,0.4827586206896552,0.45861297539149887,0.3448275862068966,0.2796420581655481,0.13793103448275862,3.5,2.3302924120652806,5.029072710378196,2.4278282050101634,1,8,18
Isaiah_24,24,Isaiah_1_35,Isaiah_1_35,0.5862068965517241,0.5928411633109619,0.44827586206896547,0.4720357941834451,0.13793103448275862,4.25,1.8841273467338053,3.691295787023049,2.163863047565236,1,6,23
Isaiah_25,25,Isaiah_1_35,Isaiah_1_35,0.5517241379310345,0.5458612975391499,0.4482758620689655,0.4116331096196868,0.10344827586206896,5.333333333333333,2.21126073643228,4.630797710493716,2.5549228747551536,1,8,12
Isaiah_26,26,Isaiah_1_35,Psalms,0.4827586206896552,0.6040268456375838,0.27586206896551724,0.4474272930648769,0.20689655172413793,2.3333333333333335,2.015829809349289,4.0441312205505575,1.9523392099209589,1,6,21
Isaiah_27,27,Isaiah_1_35,Isaiah_1_35,0.5862068965517241,0.5794183445190156,0.48275862068965514,0.4451901565995525,0.10344827586206896,5.666666666666666,2.1599894156993225,4.469115764598348,2.619826482695583,1,9,13
Isaiah_28,28,Isaiah_1_35,Isaiah_1_35,0.5172413793103449,0.5369127516778524,0.37931034482758624,0.3937360178970917,0.13793103448275862,3.7500000000000004,2.354416893950752,5.11387498998037,2.6451077534381224,1,9,29
Isaiah_29,29,Isaiah_1_35,Isaiah_1_35,0.6896551724137931,0.7606263982102909,0.5517241379310345,0.70917225950783,0.13793103448275862,5,1.3685517054754786,2.58211222565127,1.78076705217329,1,4,24
Isaiah_30,30,Isaiah_1_35,Isaiah_1_35,0.6896551724137931,0.7606263982102909,0.5862068965517242,0.6599552572706936,0.10344827586206896,6.666666666666667,1.480452136435359,2.790361686931409,1.9243873702975236,1,5,33
Isaiah_31,31,Isaiah_1_35,Isaiah_1_35,0.41379310344827586,0.40268456375838924,0.27586206896551724,0.22371364653243847,0.13793103448275862,3,2.477996512070542,5.571232453378243,2.305337566915135,1,8,9
Isaiah_32,32,Isaiah_1_35,Isaiah_1_35,0.6896551724137931,0.7606263982102909,0.5862068965517242,0.6263982102908278,0.10344827586206896,6.666666666666667,1.6444137744409957,3.1262080091735984,2.156005523567999,1,7,20
Isaiah_33,33,Isaiah_1_35,Isaiah_1_35,0.7241379310344828,0.8053691275167786,0.6551724137931034,0.7516778523489933,0.06896551724137931,10.5,1.6083718269084697,3.0490753999811617,2.207951151710496,1,8,24
Isaiah_34,34,Isaiah_1_35,Isaiah_1_35,0.6206896551724138,0.6711409395973155,0.4827586206896552,0.49217002237136465,0.13793103448275862,4.5,1.665966338910725,3.1732613330845827,1.9696104826042238,1,5,17
Isaiah_35,35,Isaiah_1_35,Isaiah_1_35,0.7586206896551724,0.8165548098434005,0.6551724137931034,0.7404921700223713,0.10344827586206896,7.333333333333333,1.311002267121227,2.4811384944095423,1.882242995758963,1,6,10
Isaiah_36,36,Isaiah_36_39,Isaiah_36_39,0.7586206896551724,0.7807606263982102,0.689655172413793,0.6912751677852348,0.06896551724137931,11,1.268067353402726,2.4083871973723316,1.827052356627286,1,5,22
Isaiah_37,37,Isaiah_36_39,Isaiah_36_39,0.8275862068965517,0.8702460850111857,0.7586206896551724,0.7807606263982103,0.06896551724137931,12,0.9255982359100635,1.8994717240763814,1.571976599235626,1,4,38
Isaiah_38,38,Isaiah_36_39,Isaiah_36_39,0.5862068965517241,0.5324384787472036,0.44827586206896547,0.3534675615212528,0.13793103448275862,4.25,1.8411924330153042,3.5830605728828453,2.1004148185864953,1,6,22
Isaiah_39,39,Isaiah_36_39,Isaiah_36_39,0.5517241379310345,0.5123042505592842,0.41379310344827586,0.33333333333333337,0.13793103448275862,4,2.1683258227137787,4.495014665526877,2.4800080913251734,1,8,8
Isaiah_40,40,Isaiah_40_55,Isaiah_40_55,0.5862068965517241,0.6263982102908278,0.44827586206896547,0.447427293064877,0.13793103448275862,4.25,1.9530928639751846,3.872037336411687,2.2698149903102993,1,7,31
Isaiah_41,41,Isaiah_40_55,Isaiah_40_55,0.6896551724137931,0.7315436241610739,0.5862068965517242,0.5973154362416108,0.10344827586206896,6.666666666666667,1.6444137744409957,3.1262080091735984,2.156005523567999,1,7,29
Isaiah_42,42,Isaiah_40_55,Isaiah_40_55,0.7241379310344828,0.7718120805369126,0.6551724137931034,0.6823266219239372,0.06896551724137931,10.5,1.4704407924257112,2.7710654616839467,2.006633610184927,1,6,25
Isaiah_43,43,Isaiah_40_55,Isaiah_40_55,0.6551724137931034,0.6823266219239373,0.5517241379310345,0.5838926174496644,0.10344827586206896,6.333333333333333,1.7039978827968274,3.2580254710161247,2.134568412045047,1,6,28
Isaiah_44,44,Isaiah_40_55,Isaiah_40_55,0.7931034482758621,0.8612975391498882,0.7241379310344828,0.8299776286353467,0.06896551724137931,11.5,1.201362892047872,2.299568051155513,1.8237953509164413,1,6,28
Isaiah_45,45,Isaiah_40_55,Isaiah_40_55,0.6206896551724138,0.6711409395973155,0.5172413793103449,0.5950782997762863,0.10344827586206896,6,1.9678590113991206,3.9118715841285856,2.428058224631536,1,8,25
Isaiah_46,46,Isaiah_40_55,Isaiah_40_55,0.5172413793103449,0.5369127516778524,0.3448275862068966,0.40492170022371365,0.1724137931034483,3,2.0399542912347606,4.112325014170857,2.1270646625021676,1,6,13
Isaiah_47,47,Isaiah_40_55,Isaiah_40_55,0.4827586206896552,0.49217002237136465,0.2413793103448276,0.27293064876957496,0.2413793103448276,2,1.9454213962469988,3.851502592055427,1.8593460789233098,1,5,15
Isaiah_48,48,Isaiah_40_55,Isaiah_40_55,0.6206896551724138,0.6375838926174497,0.4827586206896552,0.5167785234899329,0.13793103448275862,4.5,1.7609624596749827,3.3892415472829245,2.1036671672790566,1,6,22
