feature_class,feature_variant,doc_id,neighbor_doc_id,similarity,rank
char,char3,Isaiah_1,Prophetic,0.8667444197212367,1
char,char3,Isaiah_1,Poetic/Wisdom,0.8432761010157046,2
char,char3,Isaiah_1,Narrative,0.8136530154824253,3
char,char3,Isaiah_2,Prophetic,0.8730066051401449,1
char,char3,Isaiah_2,Narrative,0.8292589379711871,2
char,char3,Isaiah_2,Poetic/Wisdom,0.8277553110351665,3
char,char3,Isaiah_3,Prophetic,0.9009330882785866,1
char,char3,Isaiah_3,Narrative,0.8644968401742584,2
char,char3,Isaiah_3,Poetic/Wisdom,0.8520089532425623,3
char,char3,Isaiah_4,Prophetic,0.769624868632313,1
char,char3,Isaiah_4,Narrative,0.725779584137104,2
char,char3,Isaiah_4,Poetic/Wisdom,0.7228883208309766,3
char,char3,Isaiah_5,Prophetic,0.9004093745279598,1
char,char3,Isaiah_5,Poetic/Wisdom,0.8678101596053619,2
char,char3,Isaiah_5,Narrative,0.8471663872508853,3
char,char3,Isaiah_6,Narrative,0.8298389396430744,1
char,char3,Isaiah_6,Prophetic,0.8294730027657383,2
char,char3,Isaiah_6,Poetic/Wisdom,0.8099984849054019,3
char,char3,Isaiah_7,Prophetic,0.8703729775906891,1
char,char3,Isaiah_7,Narrative,0.8402308168360824,2
char,char3,Isaiah_7,Poetic/Wisdom,0.8148855240704667,3
char,char3,Isaiah_8,Prophetic,0.8559551925325884,1
char,char3,Isaiah_8,Narrative,0.8284402189791272,2
char,char3,Isaiah_8,Poetic/Wisdom,0.8056296974567293,3
char,char3,Isaiah_9,Prophetic,0.8969498449749248,1
char,char3,Isaiah_9,Poetic/Wisdom,0.8720416532528428,2
char,char3,Isaiah_9,Narrative,0.8601474444664026,3
char,char3,Isaiah_10,Prophetic,0.9068495059748878,1
char,char3,Isaiah_10,Poetic/Wisdom,0.8788305693934982,2
char,char3,Isaiah_10,Narrative,0.8612506768043502,3
char,char3,Isaiah_11,Prophetic,0.8564222889172557,1
char,char3,Isaiah_11,Narrative,0.8039780024631241,2
char,char3,Isaiah_11,Poetic/Wisdom,0.8015041234487659,3
char,char3,Isaiah_12,Poetic/Wisdom,0.7126861469048276,1
char,char3,Isaiah_12,Prophetic,0.693723257658968,2
char,char3,Isaiah_12,Narrative,0.6544554487528224,3
char,char3,Isaiah_13,Prophetic,0.892800712089358,1
char,char3,Isaiah_13,Poetic/Wisdom,0.8425758726482886,2
char,char3,Isaiah_13,Narrative,0.8076276055762538,3
char,char3,Isaiah_14,Prophetic,0.9333338792717979,1
char,char3,Isaiah_14,Poetic/Wisdom,0.906913098890208,2
char,char3,Isaiah_14,Narrative,0.8713074054308211,3
char,char3,Isaiah_15,Prophetic,0.7064057509101961,1
char,char3,Isaiah_15,Poetic/Wisdom,0.6729627843716615,2
char,char3,Isaiah_15,Narrative,0.6545491354476111,3
