feature_class,section_a,section_b,distance
char,Isaiah_40_55,Isaiah_56_66,0.01986261334266974
char,Isaiah_1_35,Isaiah_56_66,0.09388687407177612
char,Isaiah_1_35,Isaiah_40_55,0.09505704514762939
char,Isaiah_36_39,Isaiah_56_66,0.1531209217434757
char,Isaiah_1_35,Isaiah_36_39,0.15418157127610357
char,Isaiah_36_39,Isaiah_40_55,0.1580838802745221
word,Isaiah_40_55,Isaiah_56_66,0.0376574083474135
word,Isaiah_1_35,Isaiah_56_66,0.09663159361382322
word,Isaiah_1_35,Isaiah_40_55,0.12182545568479232
word,Isaiah_36_39,Isaiah_56_66,0.14667202141011024
word,Isaiah_36_39,Isaiah_40_55,0.1601706583142355
word,Isaiah_1_35,Isaiah_36_39,0.1621926714226947
stem,Isaiah_40_55,Isaiah_56_66,0.03780600372283655
stem,Isaiah_1_35,Isaiah_56_66,0.09754655626807539
stem,Isaiah_1_35,Isaiah_40_55,0.12253175257648753
stem,Isaiah_36_39,Isaiah_56_66,0.14657072083492428
stem,Isaiah_36_39,Isaiah_40_55,0.16002699119543665
stem,Isaiah_1_35,Isaiah_36_39,0.16445624571792714
function_words,Isaiah_40_55,Isaiah_56_66,0.010929777007784029
function_words,Isaiah_36_39,Isaiah_40_55,0.07068440964260636
function_words,Isaiah_36_39,Isaiah_56_66,0.07724127602884508
function_words,Isaiah_1_35,Isaiah_56_66,0.09795721667501675
function_words,Isaiah_1_35,Isaiah_40_55,0.09827375140507123
function_words,Isaiah_1_35,Isaiah_36_39,0.1069598566239254
pos,Isaiah_40_55,Isaiah_56_66,0.04377865227760957
pos,Isaiah_1_35,Isaiah_56_66,0.14676628874556846
pos,Isaiah_1_35,Isaiah_36_39,0.15749280347524883
pos,Isaiah_1_35,Isaiah_40_55,0.15775070856350193
pos,Isaiah_36_39,Isaiah_40_55,0.19300524982307543
pos,Isaiah_36_39,Isaiah_56_66,0.2046162901771739
punctuation,Isaiah_1_35,Isaiah_56_66,0.005969394634902486
punctuation,Isaiah_40_55,Isaiah_56_66,0.006271699118935706
punctuation,Isaiah_1_35,Isaiah_40_55,0.008671900290508279
punctuation,Isaiah_1_35,Isaiah_36_39,0.01890337701357298
punctuation,Isaiah_36_39,Isaiah_56_66,0.0194327941898543
punctuation,Isaiah_36_39,Isaiah_40_55,0.02420790553344981
sentence,Isaiah_36_39,Isaiah_40_55,0.06867691606524456
sentence,Isaiah_1_35,Isaiah_40_55,0.07646635047436312
sentence,Isaiah_1_35,Isaiah_56_66,0.08153558745492571
sentence,Isaiah_1_35,Isaiah_36_39,0.09030908616216428
sentence,Isaiah_40_55,Isaiah_56_66,0.14236290538823398
sentence,Isaiah_36_39,Isaiah_56_66,0.14664831114627377
word_length,Isaiah_40_55,Isaiah_56_66,5.379035640791409e-4
word_length,Isaiah_1_35,Isaiah_40_55,0.0011574790278810144
word_length,Isaiah_1_35,Isaiah_56_66,0.00136898578364329
word_length,Isaiah_1_35,Isaiah_36_39,0.0020371919287325664
word_length,Isaiah_36_39,Isaiah_40_55,0.003015774549876838
word_length,Isaiah_36_39,Isaiah_56_66,0.003341789152813681
lexical,Isaiah_1_35,Isaiah_56_66,0.007000657075813902
lexical,Isaiah_36_39,Isaiah_40_55,0.009562126543127662
lexical,Isaiah_40_55,Isaiah_56_66,0.011535949593110389
lexical,Isaiah_1_35,Isaiah_40_55,0.017877296978473657
lexical,Isaiah_36_39,Isaiah_56_66,0.02087250834985554
lexical,Isaiah_1_35,Isaiah_36_39,0.026663303214202495
readability,Isaiah_36_39,Isaiah_40_55,0.0018286900563257449
readability,Isaiah_1_35,Isaiah_56_66,0.0022994102599488784
readability,Isaiah_1_35,Isaiah_36_39,0.005383656378337868
readability,Isaiah_1_35,Isaiah_40_55,0.006378758970923136
readability,Isaiah_36_39,Isaiah_56_66,0.006918409563218731
readability,Isaiah_40_55,Isaiah_56_66,0.007617439941147766
