n_dimensions,section_a,section_b,distance
1,Isaiah_1_35,Isaiah_56_66,0.20927735746429565
1,Isaiah_1_35,Isaiah_40_55,0.5635282267854032
1,Isaiah_36_39,Isaiah_40_55,0.7616287654627403
1,Isaiah_40_55,Isaiah_56_66,0.7728055842496988
1,Isaiah_1_35,Isaiah_36_39,1.3251569922481434
1,Isaiah_36_39,Isaiah_56_66,1.534434349712439
2,Isaiah_1_35,Isaiah_56_66,0.5048408807272343
2,Isaiah_40_55,Isaiah_56_66,0.8085237405188118
2,Isaiah_1_35,Isaiah_40_55,0.8963733217509654
2,Isaiah_1_35,Isaiah_36_39,1.7664683366562675
2,Isaiah_36_39,Isaiah_40_55,2.0146551316305246
2,Isaiah_36_39,Isaiah_56_66,2.2367809745831235
3,Isaiah_1_35,Isaiah_56_66,0.5370740209095441
3,Isaiah_40_55,Isaiah_56_66,0.8510698737400415
3,Isaiah_1_35,Isaiah_40_55,0.9001585833107579
3,Isaiah_1_35,Isaiah_36_39,1.8944308843306574
3,Isaiah_36_39,Isaiah_40_55,2.10266736875486
3,Isaiah_36_39,Isaiah_56_66,2.3991857119823816
4,Isaiah_1_35,Isaiah_56_66,0.8722866105195834
4,Isaiah_40_55,Isaiah_56_66,0.8776663559932283
4,Isaiah_1_35,Isaiah_40_55,1.27415282044424
4,Isaiah_1_35,Isaiah_36_39,2.0797751069620416
4,Isaiah_36_39,Isaiah_40_55,2.103117556182403
4,Isaiah_36_39,Isaiah_56_66,2.405265708518491
5,Isaiah_1_35,Isaiah_56_66,0.8769360697212584
5,Isaiah_40_55,Isaiah_56_66,0.8876606019104544
5,Isaiah_1_35,Isaiah_40_55,1.2935219184237006
5,Isaiah_1_35,Isaiah_36_39,2.45904490152297
5,Isaiah_36_39,Isaiah_40_55,2.6037413324369867
5,Isaiah_36_39,Isaiah_56_66,2.7841550805996143
6,Isaiah_1_35,Isaiah_56_66,0.9466824211705929
6,Isaiah_40_55,Isaiah_56_66,1.0227615184531245
6,Isaiah_1_35,Isaiah_40_55,1.3023517339939246
6,Isaiah_1_35,Isaiah_36_39,2.7449774007883097
6,Isaiah_36_39,Isaiah_40_55,2.8144324319743173
6,Isaiah_36_39,Isaiah_56_66,3.1994982609325495
7,Isaiah_1_35,Isaiah_56_66,0.9680572033881554
7,Isaiah_40_55,Isaiah_56_66,1.0553928399660921
7,Isaiah_1_35,Isaiah_40_55,1.3036472604719787
7,Isaiah_1_35,Isaiah_36_39,2.991884691978466
7,Isaiah_36_39,Isaiah_40_55,3.078828708891807
7,Isaiah_36_39,Isaiah_56_66,3.3485281880111604
8,Isaiah_40_55,Isaiah_56_66,1.0648993056696505
8,Isaiah_1_35,Isaiah_56_66,1.1708509142439585
8,Isaiah_1_35,Isaiah_40_55,1.402284407218422
8,Isaiah_1_35,Isaiah_36_39,3.023684620535295
8,Isaiah_36_39,Isaiah_40_55,3.0798486642404383
8,Isaiah_36_39,Isaiah_56_66,3.3558283190736544
9,Isaiah_40_55,Isaiah_56_66,1.0977483692051373
9,Isaiah_1_35,Isaiah_56_66,1.1824236109328232
9,Isaiah_1_35,Isaiah_40_55,1.40595361216009
9,Isaiah_1_35,Isaiah_36_39,3.223546390768164
9,Isaiah_36_39,Isaiah_40_55,3.2430699932002716
9,Isaiah_36_39,Isaiah_56_66,3.5925201743995516
