target_profile,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
1 Kings,-0.26498097509914126,0.288252450604422,0.20051860683336065,0.02730249037691133,0.12509264544564389,-0.044654789162568445,-0.018560201361226557,0.05224298553370865,-0.4310277340701952,0.1270029643086687,0.20054118262122336,0.05130517120235082,0.19308758034408427,-0.015334598933437256,0.7090450116384808
1 Samuel,-0.25318527318966255,0.2731488974606783,0.32208046822127245,-0.17716172680733183,-0.28163205505962696,-0.2934060396480534,0.21633068550602105,-0.12667447907392346,0.35214581290498315,-0.029409678286396533,-0.23443371660076698,0.04725925767557915,-0.02368115102152836,-0.5605471586439147,0.03282624720397545
2 Kings,-0.2587786474992634,0.309397363588138,0.21373664071043774,0.12115028976701443,0.23554952246023303,0.11363929763500716,-0.12190082583874842,0.21487185282054577,-0.3415576918650964,-0.13759601315308193,0.25767567073253017,-0.019036625182110235,0.022871065497445477,-0.2745372654152404,-0.6076772884559182
2 Samuel,-0.25218984912704673,0.29138522517494375,0.34619924950970493,-0.16411674827314388,-0.0828040660617772,-0.21323270146863937,0.06945768324754942,-0.05315536375732786,0.12302226326406096,-0.022307211008702657,0.006298166654177928,-0.0555355572591795,-0.11216472432090484,0.7646832750175194,-0.1692771452781764
Amos,-0.276495874850477,0.031150101606925107,-0.2546237181008961,0.17287158588370924,-0.011528225028666898,0.2515423562087844,0.5831925832190791,0.10577921116675433,0.2757494345710761,-0.19359028708817774,0.20104465443902114,-0.14690559328030128,0.48067947290641144,0.08112964038744294,0.0016313182452881783
Ezekiel,-0.27825547974892395,0.05891312012707908,-0.27182637842383617,0.09749665275542105,-0.033328591276714364,0.02251976719041486,0.17078717215243103,-0.10259441124459848,-0.2742696247293965,0.5948185864834015,-0.48234784272391107,0.2513174610712136,0.125515454287796,0.06246807377137066,-0.22335369631824645
Hosea,-0.2734789469644318,-0.09070151597481527,-0.24828004766658093,-0.07301780561108233,-0.24297240826249844,-0.2539316541950684,-0.3261907070423264,0.7235615992387395,0.21420697262223848,0.1900730882081391,0.11486841431949772,0.010021364300196105,0.014803099368999893,0.003970012471136375,0.031730081107282045
Isaiah_1_35,-0.2777019247370045,-0.058861674488492,-0.19015807363779658,0.3151492371425081,-0.05465252617149312,-0.1667668501608699,-0.10474758316319886,0.022619557564677116,-0.18236897915515066,-0.682390519681951,-0.40853245778243086,0.22024289978542191,-0.10746540918625813,0.07806246794620604,0.09845047074144522
Isaiah_36_39,-0.27642363943207354,0.1463399940845832,-0.03539631656151247,-0.0779215244909565,0.3825972336495293,0.38294430508216903,-0.5318396066649146,-0.19963957680229938,0.4542154801412094,0.013729710941047607,-0.18463964168481822,0.042731981590246784,0.17191111589286856,0.010742378409075659,0.08382568400512339
Isaiah_40_55,-0.27545229583259845,-0.17614074076362124,-0.18173288799619627,-0.14587508578610847,-0.19742735998343436,-0.002883336518260754,-0.04741008307362034,-0.3834240264251504,0.021572296487604933,-0.017737317564614503,0.5480096710056365,0.5750190283106917,-0.12237192653749573,-0.015251875584680552,-0.05997954531386907
Isaiah_56_66,-0.27394824494057923,-0.1610694994625591,-0.23355392309497008,-0.06797132065583808,-0.11382062981883793,-0.3106455716826583,-0.22640462646551435,-0.4128989829873232,-0.17919449987736713,0.005187311441824631,0.08865696687063733,-0.6601038011027384,0.15511010520667437,-0.05820253430680329,-0.07388954776224996
Jeremiah,-0.28124284048905596,0.08409534370505159,-0.21562218043705184,0.0880311488175331,0.18307611237511168,0.19957830978290045,0.22666515576285115,0.027236855608405122,0.07322492773291339,0.10841033106733053,0.05840952981559158,-0.2634215058050219,-0.7872002551404307,-0.06351681804066465,0.14312527903534958
Job,-0.23248776426190734,-0.3471193990176106,0.333445147155169,-0.2051847918612125,-0.47463816085097704,0.5955177580867461,-0.04898576148980449,0.08693636401355853,-0.20072763987241662,-0.05064001629269159,-0.14642785827354107,-0.12785021185727277,-0.028439204786756895,0.010312911926640633,0.027071048034461073
Proverbs,-0.16967395846783967,-0.45619889564726884,0.44298671267226186,0.6587769589191768,0.11533644529124423,-0.14922280647602287,-0.022825491077850594,-0.05558111430763705,0.1948542548521836,0.2217577673762738,0.08031269114317538,0.00850401678850019,-0.003446366397562418,0.0027138060733148534,0.0015570660898889983
Psalms,-0.20015502230451976,-0.48111319430515626,0.10606743248828304,-0.516146301011059,0.5558910471114171,-0.1938244902706225,0.23634773684248306,0.13310297215045502,-0.07415014595555616,-0.08050061469731588,-0.10791829544430288,0.0657255691069538,0.037217940705660466,-0.031033250801709322,-0.018928128089255935
