mosiah_priority,mosiah_priority_label,mclust_cluster,n_chapters,pct_mp
MP-1,MP-1_Mosiah_Alma_Helaman,1,58,0.5370370370370371
MP-1,MP-1_Mosiah_Alma_Helaman,2,15,0.1388888888888889
MP-1,MP-1_Mosiah_Alma_Helaman,3,1,0.009259259259259259
MP-1,MP-1_Mosiah_Alma_Helaman,4,3,0.027777777777777776
MP-1,MP-1_Mosiah_Alma_Helaman,6,31,0.28703703703703703
MP-2,MP-2_3Nephi_to_Moroni,1,30,0.46153846153846156
MP-2,MP-2_3Nephi_to_Moroni,2,10,0.15384615384615385
MP-2,MP-2_3Nephi_to_Moroni,3,6,0.09230769230769231
MP-2,MP-2_3Nephi_to_Moroni,4,11,0.16923076923076924
MP-2,MP-2_3Nephi_to_Moroni,6,8,0.12307692307692308
MP-3,MP-3_1Nephi_to_WordsOfMormon,1,31,0.4696969696969697
MP-3,MP-3_1Nephi_to_WordsOfMormon,2,8,0.12121212121212122
MP-3,MP-3_1Nephi_to_WordsOfMormon,3,19,0.2878787878787879
MP-3,MP-3_1Nephi_to_WordsOfMormon,4,8,0.12121212121212122
