mclust_cluster,corpus_family,book,macro_genre,mosiah_priority,n_chapters,pct_cluster
1,BOM,Alma,BOM,MP-1,30,0.20134228187919462
1,BOM,Mosiah,BOM,MP-1,19,0.12751677852348994
1,KJV,Jeremiah,Prophetic,NA,17,0.11409395973154363
1,BOM,1 Nephi,BOM,MP-3,14,0.09395973154362416
1,BOM,3 Nephi,BOM,MP-2,13,0.087248322147651
1,BOM,Helaman,BOM,MP-1,9,0.06040268456375839
1,BOM,2 Nephi,BOM,MP-3,8,0.053691275167785234
1,BOM,Ether,BOM,MP-2,7,0.04697986577181208
1,BOM,Mormon,BOM,MP-2,6,0.040268456375838924
1,KJV,Ezekiel,Prophetic,NA,6,0.040268456375838924
1,BOM,Jacob,BOM,MP-3,5,0.03355704697986577
1,BOM,Moroni,BOM,MP-2,4,0.026845637583892617
1,KJV,1 Kings,Narrative,NA,3,0.020134228187919462
1,KJV,2 Kings,Narrative,NA,2,0.013422818791946308
1,BOM,Enos,BOM,MP-3,1,0.006711409395973154
1,BOM,Jarom,BOM,MP-3,1,0.006711409395973154
1,BOM,Omni,BOM,MP-3,1,0.006711409395973154
1,BOM,Words of Mormon,BOM,MP-3,1,0.006711409395973154
1,KJV,1 Samuel,Narrative,NA,1,0.006711409395973154
1,KJV,Amos,Prophetic,NA,1,0.006711409395973154
2,KJV,1 Samuel,Narrative,NA,27,0.19148936170212766
2,KJV,2 Samuel,Narrative,NA,22,0.15602836879432624
2,KJV,2 Kings,Narrative,NA,21,0.14893617021276595
2,KJV,1 Kings,Narrative,NA,19,0.1347517730496454
2,BOM,Alma,BOM,MP-1,8,0.05673758865248227
2,KJV,Ezekiel,Prophetic,NA,8,0.05673758865248227
2,BOM,Ether,BOM,MP-2,7,0.04964539007092199
2,BOM,Mosiah,BOM,MP-1,6,0.0425531914893617
2,BOM,1 Nephi,BOM,MP-3,4,0.028368794326241134
2,BOM,2 Nephi,BOM,MP-3,3,0.02127659574468085
2,KJV,Isaiah,Prophetic,NA,3,0.02127659574468085
2,KJV,Job,Poetic_Wisdom,NA,3,0.02127659574468085
2,BOM,Mormon,BOM,MP-2,2,0.014184397163120567
2,KJV,Jeremiah,Prophetic,NA,2,0.014184397163120567
2,KJV,Psalms,Poetic_Wisdom,NA,2,0.014184397163120567
2,BOM,4 Nephi,BOM,MP-2,1,0.0070921985815602835
2,BOM,Helaman,BOM,MP-1,1,0.0070921985815602835
2,BOM,Jacob,BOM,MP-3,1,0.0070921985815602835
2,KJV,Hosea,Prophetic,NA,1,0.0070921985815602835
3,KJV,Isaiah,Prophetic,NA,52,0.33766233766233766
3,KJV,Jeremiah,Prophetic,NA,30,0.19480519480519481
3,KJV,Ezekiel,Prophetic,NA,26,0.16883116883116883
3,BOM,2 Nephi,BOM,MP-3,18,0.11688311688311688
3,KJV,Hosea,Prophetic,NA,7,0.045454545454545456
3,KJV,Amos,Prophetic,NA,6,0.03896103896103896
3,BOM,3 Nephi,BOM,MP-2,5,0.032467532467532464
3,KJV,1 Samuel,Narrative,NA,2,0.012987012987012988
3,KJV,2 Kings,Narrative,NA,2,0.012987012987012988
3,BOM,1 Nephi,BOM,MP-3,1,0.006493506493506494
3,BOM,Mormon,BOM,MP-2,1,0.006493506493506494
3,BOM,Mosiah,BOM,MP-1,1,0.006493506493506494
3,KJV,2 Samuel,Narrative,NA,1,0.006493506493506494
3,KJV,Proverbs,Poetic_Wisdom,NA,1,0.006493506493506494
3,KJV,Psalms,Poetic_Wisdom,NA,1,0.006493506493506494
4,KJV,Psalms,Poetic_Wisdom,NA,39,0.4020618556701031
4,KJV,Isaiah,Prophetic,NA,9,0.09278350515463918
4,KJV,Job,Poetic_Wisdom,NA,9,0.09278350515463918
4,KJV,Ezekiel,Prophetic,NA,8,0.08247422680412371
4,BOM,3 Nephi,BOM,MP-2,6,0.061855670103092786
4,BOM,Moroni,BOM,MP-2,5,0.05154639175257732
4,BOM,2 Nephi,BOM,MP-3,4,0.041237113402061855
4,KJV,Hosea,Prophetic,NA,4,0.041237113402061855
4,BOM,1 Nephi,BOM,MP-3,3,0.030927835051546393
4,BOM,Alma,BOM,MP-1,2,0.020618556701030927
4,KJV,Amos,Prophetic,NA,2,0.020618556701030927
4,KJV,Jeremiah,Prophetic,NA,2,0.020618556701030927
4,BOM,Jacob,BOM,MP-3,1,0.010309278350515464
4,BOM,Mosiah,BOM,MP-1,1,0.010309278350515464
4,KJV,1 Samuel,Narrative,NA,1,0.010309278350515464
4,KJV,Proverbs,Poetic_Wisdom,NA,1,0.010309278350515464
5,KJV,Psalms,Poetic_Wisdom,NA,108,0.627906976744186
5,KJV,Job,Poetic_Wisdom,NA,30,0.1744186046511628
5,KJV,Proverbs,Poetic_Wisdom,NA,29,0.1686046511627907
5,KJV,Hosea,Prophetic,NA,2,0.011627906976744186
5,KJV,Isaiah,Prophetic,NA,2,0.011627906976744186
5,KJV,2 Samuel,Narrative,NA,1,0.005813953488372093
6,BOM,Alma,BOM,MP-1,23,0.575
6,BOM,3 Nephi,BOM,MP-2,6,0.15
6,BOM,Helaman,BOM,MP-1,6,0.15
6,BOM,Mosiah,BOM,MP-1,2,0.05
6,BOM,Ether,BOM,MP-2,1,0.025
6,BOM,Moroni,BOM,MP-2,1,0.025
6,KJV,Jeremiah,Prophetic,NA,1,0.025
