mclust_cluster,macro_genre,n_chapters,pct_cluster
1,BOM,119,0.7986577181208053
1,Prophetic,24,0.1610738255033557
1,Narrative,6,0.040268456375838924
2,Narrative,89,0.6312056737588653
2,BOM,33,0.23404255319148937
2,Prophetic,14,0.09929078014184398
2,Poetic_Wisdom,5,0.03546099290780142
3,Prophetic,121,0.7857142857142857
3,BOM,26,0.16883116883116883
3,Narrative,5,0.032467532467532464
3,Poetic_Wisdom,2,0.012987012987012988
4,Poetic_Wisdom,49,0.5051546391752577
4,Prophetic,25,0.25773195876288657
4,BOM,22,0.2268041237113402
4,Narrative,1,0.010309278350515464
5,Poetic_Wisdom,167,0.9709302325581395
5,Prophetic,4,0.023255813953488372
5,Narrative,1,0.005813953488372093
6,BOM,39,0.975
6,Prophetic,1,0.025
