feature,n_features
function_words::basic_freq,25
function_words::basic_tfidf,25
function_words::kjv_freq,27
function_words::kjv_tfidf,27
function_words::pronouns_freq,26
function_words::pronouns_tfidf,26
function_words::conjunctions_freq,14
function_words::conjunctions_tfidf,14
function_words::prepositions_freq,20
function_words::prepositions_tfidf,20
function_words::auxiliaries_freq,22
function_words::auxiliaries_tfidf,22
punctuation::punctuation_freq,6
sentence::sentence_freq,5
sentence::sentence_tfidf,5
word_length::word_length,23
lexical::lexical_richness,10
readability::readability,5
