model,G,BIC
6,NA,-29543.60709525574
7,NA,-29576.027971195574
5,NA,-29592.18021553527
4,NA,-29608.03893378687
7,NA,-29617.08490832927
3,NA,-29628.904780999514
4,NA,-29647.874246606705
8,NA,-29655.582681881275
6,NA,-29657.17311182553
8,NA,-29657.384638854943
3,NA,-29663.684465601786
4,NA,-29674.595623679554
7,NA,-29690.070527855456
9,NA,-29694.83720973945
5,NA,-29695.870921724523
9,NA,-29697.835638686825
8,NA,-29698.779470613892
9,NA,-29705.503412292706
6,NA,-29706.81050468947
6,NA,-29707.137580418268
9,NA,-29709.7854093055
6,NA,-29716.774128173576
4,NA,-29719.22236075391
7,NA,-29731.4259441938
5,NA,-29736.41896810655
5,NA,-29741.54854507015
7,NA,-29767.11716079269
7,NA,-29776.775622456596
6,NA,-29776.98953074819
9,NA,-29791.775686043125
3,NA,-29794.69784444053
8,NA,-29809.17003407468
4,NA,-29814.920686747853
5,NA,-29816.12734736551
8,NA,-29816.571892366836
6,NA,-29818.49330078168
9,NA,-29819.32553370064
8,NA,-29826.65876245631
7,NA,-29827.97095015826
5,NA,-29837.39244424248
4,NA,-29839.7099118682
7,NA,-29840.129359334074
9,NA,-29840.38974462214
3,NA,-29844.706936997107
6,NA,-29846.50113105807
8,NA,-29850.89229321354
8,NA,-29875.22760158567
7,NA,-29886.473320153415
5,NA,-29890.389849112074
8,NA,-29891.38228893277
8,NA,-29895.99487372206
2,NA,-29900.785343470438
2,NA,-29901.30366772366
2,NA,-29907.98634539398
2,NA,-29909.45157908563
6,NA,-29915.5139523322
6,NA,-29917.083377268133
7,NA,-29922.056913392153
9,NA,-29922.376646336543
7,NA,-29931.780801854187
9,NA,-29936.40420038687
9,NA,-29946.47476574435
8,NA,-29946.725682911492
3,NA,-29948.379603301717
4,NA,-29991.262452596515
5,NA,-30004.083592552313
5,NA,-30015.078663577235
6,NA,-30034.37647013485
9,NA,-30040.338084841405
5,NA,-30062.046783529695
9,NA,-30099.231039695835
4,NA,-30112.20287375417
6,NA,-30118.064937993233
7,NA,-30126.461546619852
3,NA,-30139.83248248825
8,NA,-30149.933979080975
3,NA,-30191.4370106158
4,NA,-30218.595260639842
4,NA,-30218.771631551215
3,NA,-30230.56301946489
2,NA,-30241.62963917559
3,NA,-30274.677955256506
3,NA,-30276.13844841587
2,NA,-30277.156845184978
4,NA,-30296.723540193136
5,NA,-30311.77108824662
2,NA,-30319.798631087822
3,NA,-30350.766783566243
5,NA,-30351.192207921653
2,NA,-30355.791710829657
4,NA,-30392.783460162434
3,NA,-30406.02889521601
2,NA,-30451.62307137694
2,NA,-30465.951073095817
9,NA,-30489.52587536674
2,NA,-30496.69907763025
9,NA,-30587.27558515188
2,NA,-30611.496635096446
8,NA,-30693.775276144053
1,NA,-30731.099979308467
1,NA,-30731.099979308467
1,NA,-30731.099979308467
1,NA,-30731.099979308467
7,NA,-30805.752302867637
1,NA,-30830.46095772546
1,NA,-30830.46095772546
1,NA,-30830.46095772546
1,NA,-30830.46095772546
1,NA,-30830.46095772546
1,NA,-30830.46095772546
1,NA,-30830.46095772546
1,NA,-30830.46095772546
8,NA,-30843.779912275357
6,NA,-30917.948391584297
6,NA,-30974.805402597896
7,NA,-31005.89673535238
5,NA,-31141.9948479336
4,NA,-31333.553978531127
4,NA,-31432.329491831995
5,NA,-31536.94688781602
3,NA,-31946.309089513274
3,NA,-32061.8263423868
2,NA,-33004.4249320926
2,NA,-33005.28767199072
1,NA,-34363.02854512054
1,NA,-34363.02854512054
