doc_id,mclust_cluster,uncertainty,corpus_id,translation,corpus_family,source_family,doc_id_original,book,chapter,section,macro_genre,mosiah_priority,mosiah_priority_label,n_verses,is_kjv,is_bom,is_isaiah,is_bom_mp1,is_bom_mp2,is_bom_mp3
BOM_1830__1_Nephi_1,1,0.0038928868567320585,BOM,1830,BOM,BOM_1830,1_Nephi_1,1 Nephi,1,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,20,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__1_Nephi_5,1,0.06469375627246443,BOM,1830,BOM,BOM_1830,1_Nephi_5,1 Nephi,5,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,22,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__1_Nephi_7,1,0.0022354789377146966,BOM,1830,BOM,BOM_1830,1_Nephi_7,1 Nephi,7,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,22,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__1_Nephi_8,1,0.14442831818940616,BOM,1830,BOM,BOM_1830,1_Nephi_8,1 Nephi,8,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,38,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__1_Nephi_10,1,0.0012670210274193794,BOM,1830,BOM,BOM_1830,1_Nephi_10,1 Nephi,10,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,22,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__1_Nephi_12,1,0.1312071530790596,BOM,1830,BOM,BOM_1830,1_Nephi_12,1 Nephi,12,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,23,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__1_Nephi_13,1,0.005433516434727781,BOM,1830,BOM,BOM_1830,1_Nephi_13,1 Nephi,13,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,42,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__1_Nephi_14,1,0.007099565224093163,BOM,1830,BOM,BOM_1830,1_Nephi_14,1 Nephi,14,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,30,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__1_Nephi_15,1,0.002542928254926635,BOM,1830,BOM,BOM_1830,1_Nephi_15,1 Nephi,15,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,36,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__1_Nephi_16,1,6.115789607409328e-4,BOM,1830,BOM,BOM_1830,1_Nephi_16,1 Nephi,16,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,39,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__1_Nephi_17,1,0.00715128806603893,BOM,1830,BOM,BOM_1830,1_Nephi_17,1 Nephi,17,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,55,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__1_Nephi_18,1,3.226354173860857e-4,BOM,1830,BOM,BOM_1830,1_Nephi_18,1 Nephi,18,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,25,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__1_Nephi_19,1,7.060185420940668e-4,BOM,1830,BOM,BOM_1830,1_Nephi_19,1 Nephi,19,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,24,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__1_Nephi_22,1,0.04511411125454323,BOM,1830,BOM,BOM_1830,1_Nephi_22,1 Nephi,22,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,31,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__2_Nephi_1,1,0.1408378438267084,BOM,1830,BOM,BOM_1830,2_Nephi_1,2 Nephi,1,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,32,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__2_Nephi_9,1,0.47036018230141563,BOM,1830,BOM,BOM_1830,2_Nephi_9,2 Nephi,9,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,54,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__2_Nephi_10,1,0.18966394308702084,BOM,1830,BOM,BOM_1830,2_Nephi_10,2 Nephi,10,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,25,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__2_Nephi_25,1,8.517880083741547e-4,BOM,1830,BOM,BOM_1830,2_Nephi_25,2 Nephi,25,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,30,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__2_Nephi_27,1,0.49425373125237715,BOM,1830,BOM,BOM_1830,2_Nephi_27,2 Nephi,27,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,35,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__2_Nephi_28,1,0.24434432539035666,BOM,1830,BOM,BOM_1830,2_Nephi_28,2 Nephi,28,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,32,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__2_Nephi_31,1,0.03062869178374561,BOM,1830,BOM,BOM_1830,2_Nephi_31,2 Nephi,31,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,21,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__2_Nephi_33,1,0.2471757096684325,BOM,1830,BOM,BOM_1830,2_Nephi_33,2 Nephi,33,MP-3,BOM,MP-3,MP-3_1Nephi_to_WordsOfMormon,15,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
BOM_1830__3_Nephi_3,1,4.4261963445024755e-4,BOM,1830,BOM,BOM_1830,3_Nephi_3,3 Nephi,3,MP-2,BOM,MP-2,MP-2_3Nephi_to_Moroni,26,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
BOM_1830__3_Nephi_5,1,0.0017027898236201544,BOM,1830,BOM,BOM_1830,3_Nephi_5,3 Nephi,5,MP-2,BOM,MP-2,MP-2_3Nephi_to_Moroni,26,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
BOM_1830__3_Nephi_9,1,0.021407093071281302,BOM,1830,BOM,BOM_1830,3_Nephi_9,3 Nephi,9,MP-2,BOM,MP-2,MP-2_3Nephi_to_Moroni,22,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
BOM_1830__3_Nephi_10,1,0.1966856846738,BOM,1830,BOM,BOM_1830,3_Nephi_10,3 Nephi,10,MP-2,BOM,MP-2,MP-2_3Nephi_to_Moroni,19,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
BOM_1830__3_Nephi_11,1,0.006155838429871108,BOM,1830,BOM,BOM_1830,3_Nephi_11,3 Nephi,11,MP-2,BOM,MP-2,MP-2_3Nephi_to_Moroni,41,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
BOM_1830__3_Nephi_15,1,0.0148366021526124,BOM,1830,BOM,BOM_1830,3_Nephi_15,3 Nephi,15,MP-2,BOM,MP-2,MP-2_3Nephi_to_Moroni,24,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
BOM_1830__3_Nephi_16,1,0.05764626942752937,BOM,1830,BOM,BOM_1830,3_Nephi_16,3 Nephi,16,MP-2,BOM,MP-2,MP-2_3Nephi_to_Moroni,20,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
BOM_1830__3_Nephi_17,1,0.001207569470205283,BOM,1830,BOM,BOM_1830,3_Nephi_17,3 Nephi,17,MP-2,BOM,MP-2,MP-2_3Nephi_to_Moroni,25,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
BOM_1830__3_Nephi_19,1,0.0020864100500918026,BOM,1830,BOM,BOM_1830,3_Nephi_19,3 Nephi,19,MP-2,BOM,MP-2,MP-2_3Nephi_to_Moroni,36,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
BOM_1830__3_Nephi_21,1,0.009232067962418489,BOM,1830,BOM,BOM_1830,3_Nephi_21,3 Nephi,21,MP-2,BOM,MP-2,MP-2_3Nephi_to_Moroni,29,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
BOM_1830__3_Nephi_26,1,0.07157343930375948,BOM,1830,BOM,BOM_1830,3_Nephi_26,3 Nephi,26,MP-2,BOM,MP-2,MP-2_3Nephi_to_Moroni,21,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
