n_pcs,selected_G,selected_model,bic,loglik,df,n,mean_uncertainty,max_uncertainty
1,2,V,-6140.110783183098,-3053.4952285220493,5,753,0.07134933861287329,0.4936118070969868
2,6,VVV,-12099.748720458349,-5933.953218742676,35,753,0.16428306632409703,0.6207265965423501
3,7,VEV,-17123.601312340623,-8373.014797178015,57,753,0.13913146226677975,0.5883652882448408
4,7,VEV,-21479.707673712008,-10455.019032060609,86,753,0.11080325215246895,0.6038995033717429
5,8,VEV,-25695.523146822252,-12387.389040079033,139,753,0.11242026329319724,0.6494425176120004
6,6,VEV,-29543.60709525574,-14301.494916454078,142,753,0.08269809265447717,0.5807757824302736
7,8,VVE,-33153.18581790161,-16112.908343004812,140,753,0.0874290903313711,0.6311622538560021
8,7,VVE,-36833.66335268586,-17933.274914713536,146,753,0.06824779149814172,0.6018051126766921
9,9,VVE,-40190.1739323117,-19412.80824769246,206,753,0.07575321496231843,0.6515234921068809
10,9,VVE,-43620.21406705352,-21038.403434488075,233,753,0.07663330488076187,0.6661698147266446
