pc,dimension,eigenvalue,prop_variance,pct_variance,cumulative_prop_variance,cumulative_pct_variance
PC1,1,352.80921236840555,0.46853813063533284,46.85381306353328,0.46853813063533284,46.85381306353328
PC2,2,242.38239179247907,0.3218889665238766,32.18889665238766,0.7904270971592094,79.04270971592095
PC3,3,52.39511350783947,0.06958182404759558,6.958182404759559,0.860008921206805,86.0008921206805
PC4,4,22.454815529472974,0.029820472150694523,2.9820472150694526,0.8898293933574996,88.98293933574996
PC5,5,20.202990966988583,0.02683000128418139,2.683000128418139,0.9166593946416809,91.66593946416809
PC6,6,9.52679978864429,0.012651792548000387,1.2651792548000387,0.9293111871896813,92.93111871896814
PC7,7,7.831293226493443,0.010400123806764203,1.0400123806764203,0.9397113109964456,93.97113109964455
PC8,8,7.196834183101859,0.009557548715938726,0.9557548715938725,0.9492688597123843,94.92688597123843
PC9,9,5.371765040956273,0.0071338181154797795,0.7133818115479779,0.956402677827864,95.64026778278641
PC10,10,4.966326995882725,0.006595387776736687,0.6595387776736689,0.9629980656046008,96.29980656046008
PC11,11,4.301427555405904,0.00571238719177411,0.571238719177411,0.9687104527963748,96.87104527963749
PC12,12,3.0726846716670764,0.004080590533422412,0.4080590533422413,0.9727910433297973,97.27910433297973
PC13,13,2.1320059852881963,0.0028313492500507257,0.2831349250050726,0.975622392579848,97.5622392579848
PC14,14,2.0688752302823694,0.002747510265979243,0.2747510265979243,0.9783699028458273,97.83699028458273
PC15,15,1.6498805684143534,0.002191076452077495,0.21910764520774947,0.9805609792979048,98.05609792979048
PC16,16,1.4284012034687636,0.0018969471493609081,0.18969471493609083,0.9824579264472656,98.24579264472656
PC17,17,1.332703303861038,0.001769858305260343,0.1769858305260343,0.9842277847525259,98.4227784752526
PC18,18,1.1532926470014815,0.00153159714077222,0.15315971407722198,0.9857593818932981,98.57593818932982
PC19,19,1.0554810518482807,0.001401701264074742,0.14017012640747423,0.9871610831573729,98.7161083157373
PC20,20,0.9858970992233497,0.0013092922964453517,0.13092922964453516,0.9884703754538182,98.84703754538182
PC21,21,0.8116286078076588,0.001077860036929162,0.10778600369291619,0.9895482354907474,98.95482354907475
PC22,22,0.7565214006528114,0.001004676494890852,0.10046764948908518,0.9905529119856383,99.05529119856384
PC23,23,0.6657927082709298,8.841868635736122e-4,0.08841868635736122,0.9914370988492119,99.1437098849212
PC24,24,0.5498795925835993,7.302517829795476e-4,0.07302517829795477,0.9921673506321914,99.21673506321915
PC25,25,0.5403360195891661,7.175777152578568e-4,0.07175777152578569,0.9928849283474493,99.28849283474493
PC26,26,0.4831602847806181,6.416471245426536e-4,0.06416471245426536,0.993526575471992,99.3526575471992
PC27,27,0.4469752049136546,5.935925696064471e-4,0.05935925696064471,0.9941201680415984,99.41201680415985
PC28,28,0.40386345773516796,5.36339253300356e-4,0.05363392533003559,0.9946565072948987,99.46565072948988
PC29,29,0.34620650312379,4.5976959246187254e-4,0.045976959246187256,0.9951162768873606,99.51162768873606
PC30,30,0.3164781094803934,4.202896540244269e-4,0.042028965402442685,0.9955365665413851,99.5536566541385
PC31,31,0.28630766774935446,3.802226663338041e-4,0.03802226663338041,0.9959167892077189,99.59167892077188
PC32,32,0.27056692978833397,3.5931863185701725e-4,0.035931863185701726,0.9962761078395759,99.62761078395759
PC33,33,0.2474970933777148,3.2868139890798785e-4,0.032868139890798787,0.9966047892384838,99.66047892384839
PC34,34,0.23361466678170015,3.102452414099604e-4,0.03102452414099604,0.9969150344798938,99.69150344798938
PC35,35,0.21536342230074415,2.8600720093060317e-4,0.028600720093060316,0.9972010416808245,99.72010416808244
PC36,36,0.1942502993182044,2.5796852499097536e-4,0.025796852499097533,0.9974590102058154,99.74590102058154
PC37,37,0.17411595322161832,2.3122968555327802e-4,0.023122968555327802,0.9976902398913687,99.76902398913687
PC38,38,0.16934219501377967,2.2489003321883095e-4,0.022489003321883094,0.9979151299245875,99.79151299245875
PC39,39,0.15191428086229983,2.017453929114208e-4,0.020174539291142077,0.9981168753174989,99.8116875317499
PC40,40,0.12707027636532395,1.6875202704558296e-4,0.016875202704558296,0.9982856273445445,99.82856273445445
PC41,41,0.11304752887606982,1.5012952041974746e-4,0.015012952041974746,0.9984357568649642,99.84357568649642
PC42,42,0.10136256684970209,1.346116425626854e-4,0.013461164256268539,0.998570368507527,99.8570368507527
PC43,43,0.0922951345628452,1.2256989981785553e-4,0.012256989981785553,0.9986929384073449,99.86929384073449
PC44,44,0.07931138195424992,1.0532720047045143e-4,0.010532720047045143,0.9987982656078153,99.87982656078152
PC45,45,0.07430755395123555,9.868201055940977e-5,0.009868201055940978,0.9988969476183747,99.88969476183746
PC46,46,0.06313826911693365,8.384896297069544e-5,0.008384896297069544,0.9989807965813454,99.89807965813455
PC47,47,0.05878023607531756,7.806140249046157e-5,0.0078061402490461574,0.9990588579838359,99.9058857983836
PC48,48,0.057595794071283526,7.6488438341678e-5,0.007648843834167801,0.9991353464221775,99.91353464221775
PC49,49,0.044420963058322646,5.899198281317749e-5,0.005899198281317749,0.9991943384049907,99.91943384049907
PC50,50,0.04097317245114427,5.441324362701763e-5,0.005441324362701763,0.9992487516486177,99.92487516486177
PC51,51,0.04020472479787259,5.339272881523586e-5,0.005339272881523586,0.9993021443774329,99.93021443774329
PC52,52,0.03652098228174292,4.8500640480402295e-05,0.004850064048040229,0.9993506450179134,99.93506450179133
PC53,53,0.03376954658053147,4.4846675405752286e-5,0.004484667540575229,0.9993954916933191,99.93954916933191
PC54,54,0.033210786877308676,4.4104630647156285e-5,0.004410463064715629,0.9994395963239663,99.94395963239663
PC55,55,0.029621801746665375,3.933838213368576e-5,0.0039338382133685765,0.9994789347060999,99.94789347061
PC56,56,0.029556335991336447,3.925144221957032e-5,0.003925144221957032,0.9995181861483196,99.95181861483195
PC57,57,0.027032430943109573,3.58996426867325e-5,0.0035899642686732505,0.9995540857910062,99.95540857910062
PC58,58,0.024033266229384457,3.191668821963408e-5,0.0031916688219634074,0.9995860024792259,99.95860024792259
PC59,59,0.022216395622687575,2.9503845448456278e-5,0.0029503845448456277,0.9996155063246743,99.96155063246744
PC60,60,0.021813429896369967,2.8968698401553743e-5,0.0028968698401553744,0.9996444750230759,99.96444750230758
PC61,61,0.021159755465515136,2.810060486788199e-5,0.0028100604867881992,0.9996725756279438,99.96725756279437
PC62,62,0.018961902301106316,2.5181809164815828e-5,0.002518180916481583,0.9996977574371085,99.96977574371085
PC63,63,0.01803344260849746,2.394879496480407e-5,0.0023948794964804066,0.9997217062320733,99.97217062320733
