doc_id,neighbor,cosine_similarity,rank,neighbor_corpus,neighbor_book,neighbor_chapter,neighbor_section,neighbor_macro_genre
BOC_1833__Book_of_Commandments_1,DC_1835__001__section_1,0.972365772382578,1,DC,Doctrine and Covenants,1,Section 1,Modern_Revelation
BOC_1833__Book_of_Commandments_1,BOC_1833__Book_of_Commandments_52,0.9600759192023502,2,BOC,Book of Commandments,52,BOC_52,Modern_Revelation
BOC_1833__Book_of_Commandments_1,BOC_1833__Book_of_Commandments_29,0.9563892131074355,3,BOC,Book of Commandments,29,BOC_29,Modern_Revelation
BOC_1833__Book_of_Commandments_1,DC_1835__027__section_29,0.955245254724238,4,DC,Doctrine and Covenants,29,Section 29,Modern_Revelation
BOC_1833__Book_of_Commandments_1,BOM_1830__2_Nephi_25,0.9382389879891845,5,BOM,2 Nephi,25,MP-3,BOM
BOC_1833__Book_of_Commandments_1,BOM_1830__Helaman_15,0.9351175015315049,6,BOM,Helaman,15,MP-1,BOM
BOC_1833__Book_of_Commandments_1,BOC_1833__Book_of_Commandments_62,0.9301940832280368,7,BOC,Book of Commandments,62,BOC_62,Modern_Revelation
BOC_1833__Book_of_Commandments_1,DC_1835__031__section_33,0.9272805090144824,8,DC,Doctrine and Covenants,33,Section 33,Modern_Revelation
BOC_1833__Book_of_Commandments_1,DC_1835__025__section_27,0.9259019555924924,9,DC,Doctrine and Covenants,27,Section 27,Modern_Revelation
BOC_1833__Book_of_Commandments_1,BOM_1830__3_Nephi_21,0.9240178725823742,10,BOM,3 Nephi,21,MP-2,BOM
BOC_1833__Book_of_Commandments_1,BOC_1833__Book_of_Commandments_48,0.9230371339110728,11,BOC,Book of Commandments,48,BOC_48,Modern_Revelation
BOC_1833__Book_of_Commandments_1,KJV__Jeremiah_19,0.9217583321118061,12,KJV,Jeremiah,19,Jeremiah,Prophetic
BOC_1833__Book_of_Commandments_1,BOC_1833__Book_of_Commandments_35,0.9212404825136993,13,BOC,Book of Commandments,35,BOC_35,Modern_Revelation
BOC_1833__Book_of_Commandments_1,BOM_1830__1_Nephi_19,0.9166750692572362,14,BOM,1 Nephi,19,MP-3,BOM
BOC_1833__Book_of_Commandments_1,BOM_1830__Ether_4,0.9146332455028633,15,BOM,Ether,4,MP-2,BOM
BOC_1833__Book_of_Commandments_1,BOM_1830__3_Nephi_27,0.9142140563147855,16,BOM,3 Nephi,27,MP-2,BOM
BOC_1833__Book_of_Commandments_1,BOM_1830__3_Nephi_16,0.9137490919752681,17,BOM,3 Nephi,16,MP-2,BOM
BOC_1833__Book_of_Commandments_1,BOC_1833__Book_of_Commandments_40,0.9120700555861855,18,BOC,Book of Commandments,40,BOC_40,Modern_Revelation
BOC_1833__Book_of_Commandments_1,BOM_1830__Mosiah_3,0.9096623218928029,19,BOM,Mosiah,3,MP-1,BOM
BOC_1833__Book_of_Commandments_1,BOM_1830__Helaman_14,0.9096605214329568,20,BOM,Helaman,14,MP-1,BOM
BOC_1833__Book_of_Commandments_10,BOC_1833__Book_of_Commandments_12,0.9608836628183449,1,BOC,Book of Commandments,12,BOC_12,Modern_Revelation
BOC_1833__Book_of_Commandments_10,BOC_1833__Book_of_Commandments_5,0.9479906136568028,2,BOC,Book of Commandments,5,BOC_5,Modern_Revelation
BOC_1833__Book_of_Commandments_10,BOC_1833__Book_of_Commandments_15,0.9424338300544767,3,BOC,Book of Commandments,15,BOC_15,Modern_Revelation
BOC_1833__Book_of_Commandments_10,BOC_1833__Book_of_Commandments_40,0.9374491409891412,4,BOC,Book of Commandments,40,BOC_40,Modern_Revelation
BOC_1833__Book_of_Commandments_10,BOC_1833__Book_of_Commandments_9,0.931727208307275,5,BOC,Book of Commandments,9,BOC_9,Modern_Revelation
BOC_1833__Book_of_Commandments_10,BOC_1833__Book_of_Commandments_35,0.9317108423400325,6,BOC,Book of Commandments,35,BOC_35,Modern_Revelation
BOC_1833__Book_of_Commandments_10,DC_1835__004__section_5,0.9305288937124694,7,DC,Doctrine and Covenants,5,Section 5,Modern_Revelation
BOC_1833__Book_of_Commandments_10,BOC_1833__Book_of_Commandments_58,0.9283647482484529,8,BOC,Book of Commandments,58,BOC_58,Modern_Revelation
BOC_1833__Book_of_Commandments_10,DC_1835__090__section_95,0.9277804344283344,9,DC,Doctrine and Covenants,95,Section 95,Modern_Revelation
BOC_1833__Book_of_Commandments_10,BOC_1833__Book_of_Commandments_41,0.9271433118133257,10,BOC,Book of Commandments,41,BOC_41,Modern_Revelation
BOC_1833__Book_of_Commandments_10,DC_1835__031__section_33,0.9270957831088313,11,DC,Doctrine and Covenants,33,Section 33,Modern_Revelation
BOC_1833__Book_of_Commandments_10,BOC_1833__Book_of_Commandments_11,0.9260219006046995,12,BOC,Book of Commandments,11,BOC_11,Modern_Revelation
BOC_1833__Book_of_Commandments_10,DC_1835__027__section_29,0.9253020531862968,13,DC,Doctrine and Covenants,29,Section 29,Modern_Revelation
BOC_1833__Book_of_Commandments_10,BOM_1830__3_Nephi_21,0.9251979861613773,14,BOM,3 Nephi,21,MP-2,BOM
BOC_1833__Book_of_Commandments_10,BOC_1833__Book_of_Commandments_53,0.9246243047097464,15,BOC,Book of Commandments,53,BOC_53,Modern_Revelation
BOC_1833__Book_of_Commandments_10,DC_1835__105__sections_120-121-122-123-124,0.9241230653443284,16,DC,Doctrine and Covenants,120,Sections 120-121-122-123-124,Modern_Revelation
BOC_1833__Book_of_Commandments_10,BOC_1833__Book_of_Commandments_62,0.9233206388649806,17,BOC,Book of Commandments,62,BOC_62,Modern_Revelation
BOC_1833__Book_of_Commandments_10,BOM_1830__3_Nephi_27,0.9217378288019153,18,BOM,3 Nephi,27,MP-2,BOM
BOC_1833__Book_of_Commandments_10,BOC_1833__Book_of_Commandments_48,0.9205581721809442,19,BOC,Book of Commandments,48,BOC_48,Modern_Revelation
BOC_1833__Book_of_Commandments_10,BOC_1833__Book_of_Commandments_29,0.9199951817622237,20,BOC,Book of Commandments,29,BOC_29,Modern_Revelation
BOC_1833__Book_of_Commandments_11,DC_1835__011__section_12,0.9571340831050412,1,DC,Doctrine and Covenants,12,Section 12,Modern_Revelation
BOC_1833__Book_of_Commandments_11,BOC_1833__Book_of_Commandments_10,0.9260219006046995,2,BOC,Book of Commandments,10,BOC_10,Modern_Revelation
