doc_id,neighbor,cosine_similarity,rank
BOC_1833__Book_of_Commandments_1,DC_1835__001__section_1,0.972365772382578,1
BOC_1833__Book_of_Commandments_1,BOC_1833__Book_of_Commandments_52,0.9600759192023502,2
BOC_1833__Book_of_Commandments_1,BOC_1833__Book_of_Commandments_29,0.9563892131074355,3
BOC_1833__Book_of_Commandments_1,DC_1835__027__section_29,0.955245254724238,4
BOC_1833__Book_of_Commandments_1,BOM_1830__2_Nephi_25,0.9382389879891845,5
BOC_1833__Book_of_Commandments_1,BOM_1830__Helaman_15,0.9351175015315049,6
BOC_1833__Book_of_Commandments_1,BOC_1833__Book_of_Commandments_62,0.9301940832280368,7
BOC_1833__Book_of_Commandments_1,DC_1835__031__section_33,0.9272805090144824,8
BOC_1833__Book_of_Commandments_1,DC_1835__025__section_27,0.9259019555924924,9
BOC_1833__Book_of_Commandments_1,BOM_1830__3_Nephi_21,0.9240178725823742,10
BOC_1833__Book_of_Commandments_1,BOC_1833__Book_of_Commandments_48,0.9230371339110728,11
BOC_1833__Book_of_Commandments_1,KJV__Jeremiah_19,0.9217583321118061,12
BOC_1833__Book_of_Commandments_1,BOC_1833__Book_of_Commandments_35,0.9212404825136993,13
BOC_1833__Book_of_Commandments_1,BOM_1830__1_Nephi_19,0.9166750692572362,14
BOC_1833__Book_of_Commandments_1,BOM_1830__Ether_4,0.9146332455028633,15
BOC_1833__Book_of_Commandments_1,BOM_1830__3_Nephi_27,0.9142140563147855,16
BOC_1833__Book_of_Commandments_1,BOM_1830__3_Nephi_16,0.9137490919752681,17
BOC_1833__Book_of_Commandments_1,BOC_1833__Book_of_Commandments_40,0.9120700555861855,18
BOC_1833__Book_of_Commandments_1,BOM_1830__Mosiah_3,0.9096623218928029,19
BOC_1833__Book_of_Commandments_1,BOM_1830__Helaman_14,0.9096605214329568,20
BOC_1833__Book_of_Commandments_2,DC_1835__002__sections_2-3,0.9858394910272676,1
BOC_1833__Book_of_Commandments_2,KJV__Jeremiah_34,0.8999247878659544,2
BOC_1833__Book_of_Commandments_2,BOC_1833__Book_of_Commandments_1,0.8987275889916708,3
BOC_1833__Book_of_Commandments_2,BOM_1830__Mosiah_29,0.8955674551177899,4
BOC_1833__Book_of_Commandments_2,BOM_1830__Alma_12,0.8951117827824847,5
BOC_1833__Book_of_Commandments_2,BOC_1833__Book_of_Commandments_52,0.8923605013717794,6
BOC_1833__Book_of_Commandments_2,BOM_1830__Mosiah_1,0.8913131006745519,7
BOC_1833__Book_of_Commandments_2,BOM_1830__Alma_48,0.8905850468963235,8
BOC_1833__Book_of_Commandments_2,SR-5,0.8900393860902548,9
BOC_1833__Book_of_Commandments_2,BOM_1830__Mosiah_3,0.8892261891841808,10
BOC_1833__Book_of_Commandments_2,DC_1835__031__section_33,0.8872694122192937,11
BOC_1833__Book_of_Commandments_2,SR-12,0.8864158154033098,12
BOC_1833__Book_of_Commandments_2,DC_1835__025__section_27,0.8858766809343558,13
BOC_1833__Book_of_Commandments_2,BOM_1830__Alma_24,0.8857506832870679,14
BOC_1833__Book_of_Commandments_2,BOM_1830__Alma_37,0.8849994921339063,15
BOC_1833__Book_of_Commandments_2,BOM_1830__Alma_7,0.8848297590983515,16
BOC_1833__Book_of_Commandments_2,BOC_1833__Book_of_Commandments_35,0.8841650698420785,17
BOC_1833__Book_of_Commandments_2,SR-35,0.8838229916337889,18
BOC_1833__Book_of_Commandments_2,BOM_1830__Alma_4,0.8828258165681573,19
BOC_1833__Book_of_Commandments_2,BOM_1830__Helaman_15,0.8825518431510188,20
BOC_1833__Book_of_Commandments_3,DC_1835__003__section_4,0.9846811512992139,1
BOC_1833__Book_of_Commandments_3,KJV__Isaiah_40,0.8677925458461005,2
BOC_1833__Book_of_Commandments_3,DC_1835__046__section_48,0.8669096557926115,3
BOC_1833__Book_of_Commandments_3,DC_1835__039__section_41,0.8581627173541531,4
BOC_1833__Book_of_Commandments_3,BOM_1830__Mormon_7,0.8548951126987515,5
BOC_1833__Book_of_Commandments_3,BOC_1833__Book_of_Commandments_45,0.8528225264924593,6
BOC_1833__Book_of_Commandments_3,BOC_1833__Book_of_Commandments_63,0.8525135883450433,7
BOC_1833__Book_of_Commandments_3,BOM_1830__Alma_32,0.8494470673367747,8
BOC_1833__Book_of_Commandments_3,BOM_1830__Alma_38,0.8490924025595182,9
BOC_1833__Book_of_Commandments_3,DC_1835__041__section_43,0.8489601167906579,10
BOC_1833__Book_of_Commandments_3,BOM_1830__3_Nephi_14,0.8484963117642998,11
BOC_1833__Book_of_Commandments_3,BOM_1830__Alma_41,0.8475494534903815,12
BOC_1833__Book_of_Commandments_3,KJV__Isaiah_66,0.8472210100643551,13
BOC_1833__Book_of_Commandments_3,BOC_1833__Book_of_Commandments_60,0.8469078454172031,14
BOC_1833__Book_of_Commandments_3,BOC_1833__Book_of_Commandments_65,0.8440480732957703,15
BOC_1833__Book_of_Commandments_3,BOM_1830__Helaman_7,0.8439228258804772,16
BOC_1833__Book_of_Commandments_3,BOM_1830__3_Nephi_24,0.8418095767339563,17
BOC_1833__Book_of_Commandments_3,DC_1835__036__section_38,0.84176065218598906,18
BOC_1833__Book_of_Commandments_3,BOC_1833__Book_of_Commandments_51,0.8380059158936233,19
BOC_1833__Book_of_Commandments_3,BOM_1830__Mosiah_12,0.8379856908590824,20
BOC_1833__Book_of_Commandments_4,DC_1835__004__section_5,0.9639250290277099,1
BOC_1833__Book_of_Commandments_4,BOM_1830__Ether_4,0.947035378908569,2
BOC_1833__Book_of_Commandments_4,BOM_1830__2_Nephi_33,0.9447303655819258,3
BOC_1833__Book_of_Commandments_4,BOC_1833__Book_of_Commandments_58,0.9397007624662055,4
BOC_1833__Book_of_Commandments_4,KJV__Jeremiah_33,0.9384689752618609,5
BOC_1833__Book_of_Commandments_4,DC_1835__093__section_98,0.938396672393948,6
BOC_1833__Book_of_Commandments_4,BOM_1830__3_Nephi_21,0.9353076312913687,7
BOC_1833__Book_of_Commandments_4,KJV__Ezekiel_12,0.933577981552508,8
BOC_1833__Book_of_Commandments_4,DC_1835__027__section_29,0.9325467331610676,9
BOC_1833__Book_of_Commandments_4,KJV__Ezekiel_14,0.9316015589119613,10
BOC_1833__Book_of_Commandments_4,BOC_1833__Book_of_Commandments_40,0.9315691587912035,11
BOC_1833__Book_of_Commandments_4,BOM_1830__3_Nephi_16,0.9292112674954232,12
BOC_1833__Book_of_Commandments_4,BOC_1833__Book_of_Commandments_29,0.9288296055606191,13
BOC_1833__Book_of_Commandments_4,BOC_1833__Book_of_Commandments_64,0.9283575910994766,14
BOC_1833__Book_of_Commandments_4,BOM_1830__2_Nephi_27,0.9269943047547561,15
BOC_1833__Book_of_Commandments_4,DC_1835__105__sections_120-121-122-123-124,0.9268647701657889,16
BOC_1833__Book_of_Commandments_4,BOM_1830__Mosiah_3,0.9263650490993871,17
BOC_1833__Book_of_Commandments_4,BOC_1833__Book_of_Commandments_37,0.9261959443707672,18
BOC_1833__Book_of_Commandments_4,KJV__Isaiah_44,0.9259957506373818,19
BOC_1833__Book_of_Commandments_4,KJV__Ezekiel_20,0.9247191842846959,20
BOC_1833__Book_of_Commandments_5,DC_1835__005__section_6,0.9719345949736029,1
BOC_1833__Book_of_Commandments_5,DC_1835__004__section_5,0.9486675851165782,2
BOC_1833__Book_of_Commandments_5,BOC_1833__Book_of_Commandments_10,0.9479906136568028,3
BOC_1833__Book_of_Commandments_5,DC_1835__090__section_95,0.94733572771939345,4
BOC_1833__Book_of_Commandments_5,DC_1835__036__section_38,0.9462086333231255,5
BOC_1833__Book_of_Commandments_5,DC_1835__103__sections_108-109-110-111-112,0.9450607703398779,6
BOC_1833__Book_of_Commandments_5,DC_1835__085__section_90,0.9428346245438811,7
BOC_1833__Book_of_Commandments_5,DC_1835__016__section_18,0.942176710192324,8
BOC_1833__Book_of_Commandments_5,DC_1835__017__section_19,0.942176710192324,9
BOC_1833__Book_of_Commandments_5,DC_1835__099__section_104,0.9420649810272349,10
BOC_1833__Book_of_Commandments_5,DC_1835__075__sections_77-78,0.9414372334795023,11
BOC_1833__Book_of_Commandments_5,DC_1835__098__section_103,0.9412133722726684,12
BOC_1833__Book_of_Commandments_5,BOC_1833__Book_of_Commandments_15,0.9379228047693199,13
BOC_1833__Book_of_Commandments_5,DC_1835__079__section_82,0.9373871627855741,14
BOC_1833__Book_of_Commandments_5,BOC_1833__Book_of_Commandments_40,0.9362802228270142,15
BOC_1833__Book_of_Commandments_5,BOC_1833__Book_of_Commandments_16,0.9345500890166005,16
BOC_1833__Book_of_Commandments_5,BOC_1833__Book_of_Commandments_41,0.9329563904054675,17
BOC_1833__Book_of_Commandments_5,BOC_1833__Book_of_Commandments_61,0.9326770134025173,18
BOC_1833__Book_of_Commandments_5,BOC_1833__Book_of_Commandments_53,0.9323844061323945,19
BOC_1833__Book_of_Commandments_5,DC_1835__081__section_84,0.9321954280817175,20
BOC_1833__Book_of_Commandments_6,DC_1835__006__section_7,0.9014854315030467,1
BOC_1833__Book_of_Commandments_6,BOM_1830__Alma_33,0.8320194443527248,2
BOC_1833__Book_of_Commandments_6,BOM_1830__3_Nephi_18,0.8241642839364672,3
BOC_1833__Book_of_Commandments_6,BOM_1830__3_Nephi_12,0.820392087020706,4
