mosiah_priority,mosiah_priority_label,mclust_cluster,n_chapters,pct_mp
MP-1,MP-1_Mosiah_Alma_Helaman,1,21,0.19444444444444445
MP-1,MP-1_Mosiah_Alma_Helaman,2,3,0.027777777777777776
MP-1,MP-1_Mosiah_Alma_Helaman,4,82,0.7592592592592593
MP-1,MP-1_Mosiah_Alma_Helaman,5,2,0.018518518518518517
MP-2,MP-2_3Nephi_to_Moroni,1,19,0.2923076923076923
MP-2,MP-2_3Nephi_to_Moroni,2,8,0.12307692307692308
MP-2,MP-2_3Nephi_to_Moroni,4,38,0.5846153846153846
MP-3,MP-3_1Nephi_to_WordsOfMormon,1,33,0.5
MP-3,MP-3_1Nephi_to_WordsOfMormon,2,2,0.030303030303030304
MP-3,MP-3_1Nephi_to_WordsOfMormon,3,3,0.045454545454545456
MP-3,MP-3_1Nephi_to_WordsOfMormon,4,26,0.3939393939393939
MP-3,MP-3_1Nephi_to_WordsOfMormon,5,2,0.030303030303030304
