corpus_family,book,mean_PC1,mean_PC2,mean_PC3,n
BOC,Book of Commandments,5.474853032761943,-15.077006407753125,9.896762012051589,65
BOM,1 Nephi,-12.73464741990466,-9.2415309642406,-1.8148344134961305,22
BOM,2 Nephi,-12.748856354880271,4.6304188096951515,5.12536878448506,33
BOM,3 Nephi,-6.673712531519434,-15.496876787214743,1.6404788641539,30
BOM,4 Nephi,-7.198122202114481,-25.502492357006282,-12.363146506840712,1
BOM,Alma,-10.063279311006653,-17.458128032333246,-5.195541566303881,63
BOM,Enos,-22.772237825994534,1.1849764239922391,-0.30478645656329867,1
BOM,Ether,-13.815161261184732,-10.225820525637157,-6.021592374900449,15
BOM,Helaman,-12.814456442878845,-16.58529443455081,-3.376607576915862,16
BOM,Jacob,-13.476212509363938,-6.658497775169692,2.0509490210577965,7
BOM,Jarom,-16.612520415449932,4.852150836926893,-5.552210345289356,1
BOM,Mormon,-14.399218673311054,-10.482894581947818,-1.3196252012753724,9
BOM,Moroni,0.40219178972480363,-16.825609150431198,1.6567901065056874,10
BOM,Mosiah,-13.617436304646063,-12.666601438552238,-4.3169958208134736,29
BOM,Omni,-19.815492185998526,-0.5201437815409986,-7.629948282471651,1
BOM,Words of Mormon,-16.70086653198888,-13.501316518171137,-2.543521638756347,1
KJV,1 Kings,-13.446722589556892,4.092206696601198,-8.022161416731615,22
KJV,1 Samuel,-9.882004978430805,10.844767663849366,-7.234204944235705,31
KJV,2 Kings,-10.892745625436868,3.6258489260148856,-10.041474254892753,25
KJV,2 Samuel,-10.397811316346287,10.920523107081786,-8.724549357428751,24
KJV,Amos,-9.486904743973128,3.97669446213017,6.652648323882709,9
KJV,Ezekiel,-11.315889349419791,-2.8254915790822626,3.642792111949145,48
KJV,Hosea,-0.16886179459399936,8.082798905430533,4.462333961821986,14
KJV,Isaiah,-8.126636873777516,8.753477190716714,4.648460040160523,66
KJV,Jeremiah,-13.790444765646747,2.36891496766226,4.619544760249288,52
KJV,Job,16.178290329458193,13.187273617920527,-2.630063231655926,42
KJV,Proverbs,23.822416146237508,12.356178038580543,-3.9156581403561153,31
KJV,Psalms,25.86532204880697,8.626430093676111,0.22199581465201826,150
