mclust_cluster,corpus_family,book,macro_genre,mosiah_priority,n_chapters,pct_cluster
1,DC,Doctrine and Covenants,Modern_Revelation,NA,48,0.21145374449339208
1,BOC,Book of Commandments,Modern_Revelation,NA,29,0.1277533039647577
1,JSO,Sidney Rigdon,Early_LDS_Writing,NA,24,0.10572687224669604
1,KJV,Jeremiah,Prophetic,NA,21,0.09251101321585903
1,BOM,Alma,BOM,MP-1,15,0.06607929515418502
1,KJV,Ezekiel,Prophetic,NA,12,0.05286343612334802
1,BOM,2 Nephi,BOM,MP-3,10,0.04405286343612335
1,BOM,Mosiah,BOM,MP-1,10,0.04405286343612335
1,BOM,3 Nephi,BOM,MP-2,7,0.030837004405286344
1,JSO,Oliver Cowdery,Early_LDS_Writing,NA,7,0.030837004405286344
1,BOM,Helaman,BOM,MP-1,6,0.02643171806167401
1,KJV,2 Kings,Narrative,NA,5,0.022026431718061675
1,BOM,1 Nephi,BOM,MP-3,4,0.01762114537444934
1,BOM,Ether,BOM,MP-2,4,0.01762114537444934
1,BOM,Moroni,BOM,MP-2,4,0.01762114537444934
1,JSO,Joseph Smith,Early_LDS_Writing,NA,4,0.01762114537444934
1,KJV,Isaiah,Prophetic,NA,4,0.01762114537444934
1,BOM,Jacob,BOM,MP-3,3,0.013215859030837005
1,BOM,Mormon,BOM,MP-2,3,0.013215859030837005
1,KJV,1 Kings,Narrative,NA,3,0.013215859030837005
1,BOM,Jarom,BOM,MP-3,1,0.004405286343612335
1,KJV,1 Samuel,Narrative,NA,1,0.004405286343612335
1,KJV,2 Samuel,Narrative,NA,1,0.004405286343612335
1,KJV,Amos,Prophetic,NA,1,0.004405286343612335
2,BOM,Alma,BOM,MP-1,43,0.3467741935483871
2,BOM,Mosiah,BOM,MP-1,14,0.11290322580645161
2,BOM,3 Nephi,BOM,MP-2,13,0.10483870967741936
2,BOM,Helaman,BOM,MP-1,10,0.08064516129032258
2,JSO,Sidney Rigdon,Early_LDS_Writing,NA,10,0.08064516129032258
2,BOM,1 Nephi,BOM,MP-3,9,0.07258064516129033
2,BOM,Ether,BOM,MP-2,7,0.056451612903225805
2,BOM,Mormon,BOM,MP-2,3,0.024193548387096774
2,BOM,Jacob,BOM,MP-3,2,0.016129032258064516
2,BOM,Moroni,BOM,MP-2,2,0.016129032258064516
2,KJV,Jeremiah,Prophetic,NA,2,0.016129032258064516
2,BOM,4 Nephi,BOM,MP-2,1,0.008064516129032258
2,BOM,Enos,BOM,MP-3,1,0.008064516129032258
2,BOM,Omni,BOM,MP-3,1,0.008064516129032258
2,BOM,Words of Mormon,BOM,MP-3,1,0.008064516129032258
2,JSO,Oliver Cowdery,Early_LDS_Writing,NA,1,0.008064516129032258
2,KJV,1 Kings,Narrative,NA,1,0.008064516129032258
2,KJV,1 Samuel,Narrative,NA,1,0.008064516129032258
2,KJV,2 Kings,Narrative,NA,1,0.008064516129032258
2,KJV,2 Samuel,Narrative,NA,1,0.008064516129032258
3,DC,Doctrine and Covenants,Modern_Revelation,NA,34,0.24817518248175183
3,BOC,Book of Commandments,Modern_Revelation,NA,26,0.1897810218978102
3,KJV,Psalms,Poetic_Wisdom,NA,18,0.13138686131386862
3,JSO,Sidney Rigdon,Early_LDS_Writing,NA,11,0.08029197080291971
3,JSO,Joseph Smith,Early_LDS_Writing,NA,9,0.06569343065693431
3,KJV,Job,Poetic_Wisdom,NA,8,0.058394160583941604
3,JSO,Oliver Cowdery,Early_LDS_Writing,NA,7,0.051094890510948905
