mclust_cluster,corpus_family,n_chapters,pct_cluster
1,BOM,67,0.29515418502202645
1,DC,48,0.21145374449339208
1,KJV,48,0.21145374449339208
1,JSO,35,0.15418502202643172
1,BOC,29,0.1277533039647577
2,BOM,107,0.8629032258064516
2,JSO,11,0.08870967741935484
2,KJV,6,0.04838709677419355
3,KJV,35,0.25547445255474455
3,DC,34,0.24817518248175183
3,JSO,27,0.19708029197080293
3,BOC,26,0.1897810218978102
3,BOM,15,0.10948905109489052
4,KJV,194,0.9948717948717949
4,BOM,1,0.005128205128205128
5,KJV,128,0.6564102564102564
5,BOM,28,0.14358974358974358
5,DC,27,0.13846153846153847
5,BOC,10,0.05128205128205128
5,JSO,2,0.010256410256410256
6,KJV,103,0.8306451612903226
6,BOM,21,0.1693548387096774
