G,model,BIC
1,EEI,-34035.56399956347
1,VEI,-34035.56399956347
1,EVI,-34035.56399956347
1,VVI,-34035.56399956347
1,EEE,-34136.1669346125
1,VEE,-34136.1669346125
1,EVE,-34136.1669346125
1,VVE,-34136.1669346125
1,EEV,-34136.1669346125
1,VEV,-34136.1669346125
1,EVV,-34136.1669346125
1,VVV,-34136.1669346125
1,EII,-37725.57943804789
1,VII,-37725.57943804789
2,EVV,-33195.43249559837
2,EEV,-33223.82402619086
2,VVV,-33306.89919173314
2,VEV,-33324.32643010877
2,VVE,-33598.1001219709
2,EVI,-33686.0492730678
2,EVE,-33774.60277420207
2,VVI,-33779.592617113325
2,VEE,-33779.86332544534
2,VEI,-33855.14562958395
2,EEE,-33876.02877043091
2,EEI,-34044.77540226964
2,VII,-36341.91873413818
2,EII,-36395.82290138709
3,VEV,-32818.53873048719
3,VVV,-32832.334373011334
3,EEV,-32863.355143337954
3,EVV,-32880.25946906335
3,EVE,-33232.39606692828
3,VEE,-33371.97286843106
3,VVI,-33410.7447088449
3,VVE,-33411.92147325108
3,EEE,-33491.16229954668
3,VEI,-33530.89182447301
3,EVI,-33628.57183210519
3,EEI,-33757.562903944345
3,VII,-35309.278199219305
3,EII,-35472.021023978
4,VEV,-32772.43559621849
4,VVV,-32806.89039184173
4,EVV,-32890.98250176981
4,EEV,-32917.28805216899
4,VVE,-32980.85195092124
4,EVE,-33011.2268279727
4,VEE,-33189.84997583048
4,VVI,-33326.8297694689
4,VEI,-33403.322024735724
4,EEE,-33429.7758919691
4,EVI,-33433.859721520945
4,EEI,-33750.74308233411
4,VII,-34587.640323242806
4,EII,-34815.184686739594
5,VEV,-32633.612399037873
5,VVV,-32705.391577161474
5,VVE,-32804.549006006244
5,EEV,-32814.75399444529
5,EVV,-32873.23655745237
5,EVE,-32926.12309440426
5,VVI,-33093.78608555961
5,VEE,-33095.15916610183
5,VEI,-33241.65881359366
5,EEE,-33280.91778306984
5,EVI,-33380.18286860388
5,EEI,-33530.06985904415
5,VII,-34373.42663798931
5,EII,-34472.627039945175
6,VEV,-32718.592660212908
6,VVE,-32740.50990792411
6,VVV,-32770.68621362778
6,EVE,-32883.68605184354
6,EEV,-32905.309060353495
6,EVV,-32995.442394950536
6,VEE,-33030.179880335694
6,VVI,-33078.042323483955
6,VEI,-33172.70234393307
6,EEE,-33191.38393310875
6,EVI,-33275.43844307894
6,EEI,-33352.886287899484
6,VII,-34161.32815720566
6,EII,-34408.410580616655
7,VVE,-32667.772975106098
7,VEV,-32737.16840200152
7,VVV,-32824.279365894654
7,EEV,-32877.72920312799
7,EVE,-32912.13417604309
7,VEE,-32976.991156271055
7,VVI,-33014.193091844194
7,EVV,-33023.248037937294
7,EEE,-33087.14073904884
7,VEI,-33154.13365771795
7,EVI,-33256.52040132763
7,EEI,-33337.633134627635
7,VII,-33981.46426557768
7,EII,-34144.07738564534
8,VVE,-32724.380378193113
8,VEV,-32754.71124061252
8,EVE,-32852.78633767161
8,VVV,-32853.68826094314
8,EEV,-32908.16428974036
8,VEE,-32944.7658473008
8,VVI,-32967.72784679343
8,EEE,-33035.37998523151
8,VEI,-33036.76220959081
8,EVV,-33038.610302103705
8,EVI,-33131.712551182434
8,EEI,-33212.44902577026
8,VII,-33774.22176284441
8,EII,-33971.51632168726
9,VVE,-32716.502012357916
9,VEV,-32784.96715685128
9,EVE,-32880.30198228841
9,VEE,-32904.85335028419
9,VVV,-32932.5742277505
9,VVI,-32940.76699947772
9,VEI,-32943.5827775471
9,EEV,-32993.334245873106
9,EEE,-33024.75968182401
9,EVV,-33150.05242281552
9,EVI,-33150.774827564164
9,EEI,-33162.8691119286
9,VII,-33664.18857325745
9,EII,-33887.63310072212
