n_pcs,selected_G,selected_model,bic,loglik,df,n,mean_uncertainty,max_uncertainty
1,2,V,-6850.214764480078,-3408.340226398532,5,818,0.10043131848454306,0.48036771051882876
2,6,VVV,-13348.477451632258,-6556.86863492558,35,818,0.15513332705196992,0.5911624930942834
3,7,VEV,-18801.415996924694,-9209.562421869168,57,818,0.15212377246995148,0.6236072414851498
4,8,VEV,-23765.97110156112,-11554.349296287026,98,818,0.11500345080299713,0.5648199482831557
5,6,VEV,-28406.604678914242,-13851.192066785477,105,818,0.08623196220598105,0.5560226616391956
6,5,VEV,-32633.612399037873,-15917.747890491073,119,818,0.05326601565766395,0.6092616513829741
7,6,VEV,-36730.082252113345,-17744.65635992092,185,818,0.0678235341916866,0.5789242144956073
8,9,VVE,-40792.0525238603,-19792.408651635902,180,818,0.08565663232805282,0.5942173944565341
9,9,VVE,-44624.330528677485,-21621.358443668658,206,818,0.0855886349995132,0.6461314405536058
10,7,VVE,-48331.94602527899,-23525.46765949393,191,818,0.05680331022061938,0.6512121363422096
