pc,dimension,eigenvalue,prop_variance,pct_variance,cumulative_prop_variance,cumulative_pct_variance
PC1,1,377.68604679946543,0.4617188836179284,46.17188836179284,0.4617188836179284,46.17188836179284
PC2,2,259.147826444688,0.3168066337954621,31.68066337954621,0.7785255174133905,77.85255174133906
PC3,3,60.31603156132422,0.07373597990381935,7.373597990381935,0.8522614973172098,85.22614973172098
PC4,4,28.23425624521357,0.03451620567874519,3.4516205678745195,0.886777702995955,88.67777029959551
PC5,5,21.761683855737218,0.02660352549601127,2.660352549601127,0.9133812284919663,91.33812284919664
PC6,6,11.919910374868275,0.0145720175731886,1.45720175731886,0.927953246065155,92.79532460651549
PC7,7,8.688787339035656,0.01062198941202403,1.0621989412024029,0.9385752354771789,93.85752354771789
PC8,8,8.314557685125544,0.01016449594758624,1.016449594758624,0.9487397314247652,94.87397314247652
PC9,9,5.7635648721650075,0.007045922826607588,0.7045922826607589,0.9557856542513727,95.57856542513727
PC10,10,5.649887155002943,0.0069069525122285366,0.6906952512228536,0.9626926067636012,96.26926067636012
PC11,11,4.766455180411294,0.0058269623232411905,0.582696232324119,0.9685195690868424,96.85195690868424
PC12,12,3.083085329292063,0.0037690529697946983,0.37690529697946984,0.9722886220566371,97.22886220566372
PC13,13,2.2789662171473593,0.0027860222703512947,0.2786022270351295,0.9750746443269884,97.50746443269884
PC14,14,2.157936624662777,0.002638064333328578,0.2638064333328578,0.977712708660317,97.7712708660317
PC15,15,1.7698763382989815,0.0021636630052554785,0.21636630052554787,0.9798763716655725,97.98763716655725
PC16,16,1.556748601744104,0.0019031156500539167,0.19031156500539168,0.9817794873156265,98.17794873156265
PC17,17,1.5384624655797388,0.0018807609603664287,0.18807609603664288,0.9836602482759929,98.36602482759929
PC18,18,1.3645704984432456,0.0016681790934514006,0.16681790934514004,0.9853284273694443,98.53284273694443
PC19,19,1.138038205226418,0.0013912447496655476,0.13912447496655478,0.9867196721191098,98.67196721191098
PC20,20,1.0694473183663316,0.0013073928097387915,0.13073928097387916,0.9880270649288486,98.80270649288487
PC21,21,0.9789720745218655,0.0011967873771660947,0.11967873771660947,0.9892238523060147,98.92238523060148
PC22,22,0.8117849426690055,9.924021304022071e-4,0.09924021304022071,0.9902162544364169,99.0216254436417
PC23,23,0.73608262309744,8.998565074540831e-4,0.0899856507454083,0.991116110943871,99.1116110943871
PC24,24,0.56595397545334,6.918752756153301e-4,0.06918752756153301,0.9918079862194863,99.18079862194863
PC25,25,0.5474329289797465,6.692334095106925e-4,0.06692334095106925,0.992477219628997,99.2477219628997
PC26,26,0.5372549408962777,6.56790881291293e-4,0.0656790881291293,0.9931340105102883,99.31340105102883
PC27,27,0.5098040362796001,6.232323181902202e-4,0.062323231819022024,0.9937572428284785,99.37572428284786
PC28,28,0.4424809728547214,5.409302846634736e-4,0.05409302846634735,0.9942981731131421,99.42981731131421
PC29,29,0.41311378052640535,5.050290715481728e-4,0.05050290715481728,0.9948032021846902,99.48032021846902
PC30,30,0.37872014579956825,4.6298306332465556e-4,0.04629830633246556,0.9952661852480148,99.52661852480148
PC31,31,0.31328440099804994,3.8298826527878967e-4,0.038298826527878964,0.9956491735132936,99.56491735132936
PC32,32,0.3013683602581661,3.684209783107165e-4,0.03684209783107165,0.9960175944916043,99.60175944916043
PC33,33,0.26190859532980737,3.201816568824051e-4,0.032018165688240514,0.9963377761484867,99.63377761484867
PC34,34,0.24543606057564035,3.0004408383330116e-4,0.030004408383330114,0.9966378202323201,99.663782023232
PC35,35,0.2302306966878599,2.814556194228116e-4,0.028145561942281162,0.9969192758517429,99.69192758517428
PC36,36,0.21508840428994008,2.6294425952315414e-4,0.026294425952315414,0.997182220111266,99.7182220111266
PC37,37,0.20806783200868775,2.5436165282235665e-4,0.025436165282235666,0.9974365817640883,99.74365817640883
PC38,38,0.19014374290974723,2.3244956345934867e-4,0.023244956345934868,0.9976690313275477,99.76690313275476
PC39,39,0.17875833989173268,2.185309778627539e-4,0.021853097786275387,0.9978875623054104,99.78875623054104
PC40,40,0.16740236503491354,2.0464836801334173e-4,0.020464836801334173,0.9980922106734238,99.80922106734238
PC41,41,0.1410943793585911,1.7248701633079596e-4,0.017248701633079594,0.9982646976897546,99.82646976897546
PC42,42,0.11821909179978936,1.445221171146569e-4,0.014452211711465693,0.9984092198068693,99.84092198068693
PC43,43,0.10522397966537757,1.2863567196256428e-4,0.012863567196256425,0.9985378554788318,99.85378554788318
PC44,44,0.09999636902829567,1.222449499123419e-4,0.012224494991234191,0.9986601004287442,99.86601004287442
PC45,45,0.09047719195907712,1.1060781413090113e-4,0.011060781413090113,0.9987707082428751,99.8770708242875
PC46,46,0.08197177193236327,1.002099901373634e-4,0.010020999013736341,0.9988709182330124,99.88709182330125
PC47,47,0.06955178605511984,8.502663331921742e-5,0.008502663331921742,0.9989559448663317,99.89559448663317
PC48,48,0.0670577602389646,8.197770200362421e-5,0.008197770200362421,0.9990379225683352,99.90379225683353
PC49,49,0.05772225302556197,7.056510149824202e-5,0.007056510149824201,0.9991084876698335,99.91084876698335
PC50,50,0.04927476032923057,6.023809331201781e-5,0.006023809331201781,0.9991687257631455,99.91687257631455
PC51,51,0.04819291380918856,5.8915542554020246e-5,0.005891554255402024,0.9992276413056995,99.92276413056996
PC52,52,0.04249543167487927,5.1950405470512555e-5,0.005195040547051255,0.9992795917111701,99.92795917111701
PC53,53,0.03935199749234852,4.810757639651409e-5,0.004810757639651409,0.9993276992875666,99.93276992875666
PC54,54,0.037640250246292875,4.6014975851213784e-5,0.004601497585121379,0.9993737142634178,99.93737142634178
PC55,55,0.03553357923889464,4.343958342163159e-5,0.004343958342163159,0.9994171538468395,99.94171538468395
PC56,56,0.03246865174025603,3.9692728288821555e-5,0.003969272828882155,0.9994568465751282,99.94568465751283
PC57,57,0.030638151566033594,3.7454953014710995e-5,0.0037454953014710995,0.999494301528143,99.9494301528143
PC58,58,0.02937718779017258,3.5913432506323446e-5,0.003591343250632345,0.9995302149606493,99.95302149606493
PC59,59,0.027172471099969602,3.32181798288137e-5,0.0033218179828813695,0.9995634331404781,99.95634331404781
PC60,60,0.026156421862633804,3.197606584674059e-5,0.003197606584674059,0.9995954092063248,99.95954092063248
PC61,61,0.023845571074811625,2.9151064883632795e-5,0.0029151064883632797,0.9996245602712085,99.96245602712085
PC62,62,0.021786584503316875,2.6633966385472954e-5,0.002663396638547295,0.999651194237594,99.96511942375939
PC63,63,0.020466529964171178,2.5020207780160364e-5,0.0025020207780160363,0.9996762144453741,99.96762144453741
PC64,64,0.02006992191728848,2.453535686710083e-5,0.002453535686710083,0.9997007498022412,99.97007498022413
PC65,65,0.01828793588700602,2.235688983741567e-5,0.0022356889837415674,0.9997231066920786,99.97231066920787
PC66,66,0.01626867663339548,1.9888357742537264e-5,0.0019888357742537262,0.9997429950498211,99.97429950498211
PC67,67,0.015644516343727034,1.912532560357828e-5,0.001912532560357828,0.9997621203754248,99.97621203754248
PC68,68,0.014486207929665306,1.77093006475126e-5,0.00177093006475126,0.9997798296760723,99.97798296760723
PC69,69,0.013697899124670166,1.674559795191952e-5,0.0016745597951919517,0.9997965752740242,99.97965752740242
PC70,70,0.012456044819677565,1.5227438654862549e-5,0.001522743865486255,0.999811802712679,99.9811802712679
PC71,71,0.01164193906534146,1.4232199346383203e-5,0.0014232199346383204,0.9998260349120254,99.98260349120254
PC72,72,0.011341123800540977,1.3864454523888724e-5,0.0013864454523888725,0.9998398993665493,99.98398993665492
PC73,73,0.01006613790857265,1.2305792064269744e-5,0.0012305792064269743,0.9998522051586136,99.98522051586136
PC74,74,0.009647728802825986,1.1794289490007318e-5,0.0011794289490007317,0.9998639994481036,99.98639994481036
PC75,75,0.009315553899748074,1.1388207701403512e-5,0.0011388207701403513,0.999875387655805,99.9875387655805
PC76,76,0.008674271866288356,1.0604244335315839e-5,0.0010604244335315838,0.9998859919001403,99.98859919001403
PC77,77,0.008054129338975265,9.84612388627783e-6,9.84612388627783e-4,0.9998958380240266,99.98958380240266
PC78,78,0.007340336433803041,8.973516422742103e-6,8.973516422742104e-4,0.9999048115404493,99.99048115404493
PC79,79,0.00675326324415569,8.255823036865147e-6,8.255823036865148e-4,0.9999130673634862,99.99130673634862
PC80,80,0.006204377049795426,7.584813019309812e-6,7.584813019309813e-4,0.9999206521765055,99.99206521765055
PC81,81,0.006119796415703337,7.481413711128773e-6,7.481413711128773e-4,0.9999281335902166,99.99281335902165
PC82,82,0.005741867997360322,7.019398529780345e-6,7.019398529780345e-4,0.9999351529887464,99.99351529887464
PC83,83,0.005231981416143319,6.396065300908702e-6,6.396065300908702e-4,0.9999415490540473,99.99415490540473
PC84,84,0.004996317136270964,6.107967159255457e-6,6.107967159255458e-4,0.9999476570212066,99.99476570212066
PC85,85,0.004689425242618139,5.732793695132199e-6,5.732793695132199e-4,0.9999533898149017,99.99533898149016
PC86,86,0.004107182779216091,5.021005842562458e-6,5.021005842562458e-4,0.9999584108207443,99.99584108207443
PC87,87,0.0040714708220800765,4.9773481932519275e-6,4.977348193251928e-4,0.9999633881689375,99.99633881689375
