n_dimensions,section_a,section_b,distance
1,Isaiah_1_35,Isaiah_36_39,0.0355804920767166
1,Isaiah_36_39,Isaiah_40_55,0.0365363016364353
1,Isaiah_1_35,Isaiah_56_66,0.042416387528914634
1,Isaiah_1_35,Isaiah_40_55,0.0721167937131519
1,Isaiah_36_39,Isaiah_56_66,0.07799687960563123
1,Isaiah_40_55,Isaiah_56_66,0.11453318124206653
2,Isaiah_36_39,Isaiah_40_55,0.03973675252404053
2,Isaiah_1_35,Isaiah_36_39,0.045166438472351834
2,Isaiah_1_35,Isaiah_40_55,0.07314104072166633
2,Isaiah_1_35,Isaiah_56_66,0.08148246189181343
2,Isaiah_36_39,Isaiah_56_66,0.12477570494926181
2,Isaiah_40_55,Isaiah_56_66,0.14072697485318858
3,Isaiah_36_39,Isaiah_40_55,0.053125330588544496
3,Isaiah_1_35,Isaiah_36_39,0.06527422826546707
3,Isaiah_1_35,Isaiah_40_55,0.07409703126364228
3,Isaiah_1_35,Isaiah_56_66,0.08153290061892553
3,Isaiah_36_39,Isaiah_56_66,0.13239207681509996
3,Isaiah_40_55,Isaiah_56_66,0.14101426211242915
4,Isaiah_36_39,Isaiah_40_55,0.06867691606524456
4,Isaiah_1_35,Isaiah_40_55,0.07646635047436312
4,Isaiah_1_35,Isaiah_56_66,0.08153558745492571
4,Isaiah_1_35,Isaiah_36_39,0.09030908616216428
4,Isaiah_40_55,Isaiah_56_66,0.14236290538823398
4,Isaiah_36_39,Isaiah_56_66,0.14664831114627377
5,Isaiah_36_39,Isaiah_40_55,0.06867760323312029
5,Isaiah_1_35,Isaiah_40_55,0.07658965803515991
5,Isaiah_1_35,Isaiah_56_66,0.08185513769387184
5,Isaiah_1_35,Isaiah_36_39,0.09042879920842381
5,Isaiah_40_55,Isaiah_56_66,0.14283229002583914
5,Isaiah_36_39,Isaiah_56_66,0.14712850489795043
6,Isaiah_36_39,Isaiah_40_55,0.06867865316511447
6,Isaiah_1_35,Isaiah_40_55,0.07658992723799832
6,Isaiah_1_35,Isaiah_56_66,0.08185517154296852
6,Isaiah_1_35,Isaiah_36_39,0.09043067736995589
6,Isaiah_40_55,Isaiah_56_66,0.14283255961051147
6,Isaiah_36_39,Isaiah_56_66,0.14712997298332528
7,Isaiah_36_39,Isaiah_40_55,0.06867865680519691
7,Isaiah_1_35,Isaiah_40_55,0.07658993161286573
7,Isaiah_1_35,Isaiah_56_66,0.08185558568955184
7,Isaiah_1_35,Isaiah_36_39,0.09043067743872049
7,Isaiah_40_55,Isaiah_56_66,0.1428328464902043
7,Isaiah_36_39,Isaiah_56_66,0.14713020967600218
8,Isaiah_36_39,Isaiah_40_55,0.06867901697677552
8,Isaiah_1_35,Isaiah_40_55,0.07658997802608199
8,Isaiah_1_35,Isaiah_56_66,0.08185635590051955
8,Isaiah_1_35,Isaiah_36_39,0.0904307828958169
8,Isaiah_40_55,Isaiah_56_66,0.14283352239885258
8,Isaiah_36_39,Isaiah_56_66,0.14713036968594287
9,Isaiah_36_39,Isaiah_40_55,0.06867943831632978
9,Isaiah_1_35,Isaiah_40_55,0.07659006058762385
9,Isaiah_1_35,Isaiah_56_66,0.08185639940049974
9,Isaiah_1_35,Isaiah_36_39,0.09043087364497025
9,Isaiah_40_55,Isaiah_56_66,0.14283365804166448
9,Isaiah_36_39,Isaiah_56_66,0.14713037618298233
