doc_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,book,chapter,section,macro_genre,n_verses
1 Kings_1,0.06847352969662121,-0.04343090059924449,0.006717410599041404,0.010109735425592441,-0.0056997281264591,-5.0460360280992324e-5,-9.305128115430549e-5,2.0230126756543113e-4,1.4902731817497995e-5,1 Kings,1,1 Kings,Narrative,53
1 Kings_2,-0.011659185776178286,0.04910405136990091,-0.007680576256438749,-0.011792042636104047,-0.014538008988443877,-2.4887818181609236e-4,1.9635720872574215e-4,5.3020180024806434e-5,1.945479851430378e-4,1 Kings,2,1 Kings,Narrative,46
1 Kings_3,0.14185446740557764,-0.10025781435277281,0.12460209632877073,0.11024913238048874,0.006243536192487884,-3.0967535261514724e-4,1.7533383609128603e-4,-2.3512686138311062e-4,-1.7331814540561707e-4,1 Kings,3,1 Kings,Narrative,28
1 Kings_4,0.28449822802035335,-0.18312166042019207,0.03664439794916354,0.0063326107798628945,0.0086696951241512,7.817425887056574e-4,-2.5732520585941336e-5,-6.183893284586749e-4,-4.3357473104817555e-5,1 Kings,4,1 Kings,Narrative,34
1 Kings_5,0.33008694822073953,-0.06395434890935067,-0.09157593464890218,-0.05713224073986621,0.004298558859261,-2.6047066387697407e-4,-3.6407335535395115e-4,1.7562218650070516e-4,-6.736893401883472e-5,1 Kings,5,1 Kings,Narrative,18
1 Kings_6,0.12863104420083968,-0.0109666729437994,0.005348893213259681,-0.02620055524159473,-0.010072575131438668,5.24237797746957e-4,2.0386733252206798e-4,5.9298276160229484e-5,7.804952453153387e-5,1 Kings,6,1 Kings,Narrative,38
1 Kings_7,0.10731007225699622,0.004566918415147638,-0.07577602249532313,0.19053412164216701,0.007049489060840382,8.904587316249987e-4,5.16106707376246e-4,0.0011023628673780953,8.005308561142772e-5,1 Kings,7,1 Kings,Narrative,51
1 Kings_8,0.4261688950724513,0.15701675993710582,-0.052596719609699534,-0.01037006046930859,0.011529353570841689,4.794890558113737e-5,1.7446137733484528e-4,3.1390698093654784e-4,4.578369602422349e-5,1 Kings,8,1 Kings,Narrative,66
1 Kings_9,0.3237084845083651,0.04119938794864971,-0.024964847342899107,-0.049500357589122086,0.0013849846471629221,8.078492912447658e-4,-2.649450808654626e-4,2.2816935712482352e-4,-1.275140445422307e-4,1 Kings,9,1 Kings,Narrative,28
1 Kings_10,0.19301607488863906,-0.04427434968622687,-0.08865070809397516,0.04484367932250907,0.0012386586007995335,-3.2474072376897993e-4,3.251573245721636e-4,3.0312190528086595e-4,5.179986509198267e-5,1 Kings,10,1 Kings,Narrative,29
1 Kings_11,0.23797200406094868,-0.039929233083872806,-0.05246712784250876,-0.023496648792884878,1.901536727923681e-4,3.593717449824162e-4,-1.0174250383796939e-5,6.082078482283042e-5,-7.252808121653588e-5,1 Kings,11,1 Kings,Narrative,43
1 Kings_12,0.18385189256825824,0.12992329094442015,-0.03697856389176522,0.005249227367880096,-0.008617418526874074,-5.9730870726684154e-5,-3.5980359398246435e-4,-1.023501536716946e-4,-1.2570498187642495e-4,1 Kings,12,1 Kings,Narrative,33
1 Kings_13,0.18352015874787356,0.11566385839697693,0.030903973838115998,0.09860681991117724,3.6744109679890753e-6,2.228071346766698e-4,-8.476362120428827e-4,-0.0010216569811992864,-5.00883518464087e-5,1 Kings,13,1 Kings,Narrative,34
1 Kings_14,0.19642745044958468,0.0072810815611024276,0.15992724619815124,-0.05564924785578979,-7.568639132278107e-4,0.0017810297452563082,0.0011810546123346163,1.40750602819972e-4,1.3107981994626587e-4,1 Kings,14,1 Kings,Narrative,31
1 Kings_15,0.02089229886331523,-0.05591273247424422,-0.003957959761767634,-0.01231665780596538,-0.002568277123355089,-1.8096883057780217e-4,-3.2314740162222737e-4,-2.5535766271773232e-5,3.068801010782407e-5,1 Kings,15,1 Kings,Narrative,34
