pc,dimension,eigenvalue,prop_variance,pct_variance,cumulative_prop_variance,cumulative_pct_variance
PC1,1,33.896664563847956,0.6312008943772844,63.12008943772845,0.6312008943772844,63.120089437728446
PC2,2,9.401779149926003,0.17507360929252808,17.50736092925281,0.8062745036698125,80.62745036698125
PC3,3,5.826372095707258,0.10849478333946706,10.849478333946706,0.9147692870092796,91.47692870092796
PC4,4,4.524097635693005,0.08424470403336384,8.424470403336384,0.9990139910426434,99.90139910426434
PC5,5,0.051943061281762404,9.672487591215847e-4,0.09672487591215846,0.999981239801765,99.9981239801765
PC6,6,4.1124161591381096e-4,7.657864840389183e-6,7.657864840389183e-4,0.9999888976666054,99.99888976666054
PC7,7,3.194488328321144e-4,5.948561358053586e-6,5.948561358053585e-4,0.9999948462279634,99.99948462279634
PC8,8,2.2581606497629495e-4,4.204994916515046e-6,4.204994916515046e-4,0.9999990512228799,99.99990512228798
PC9,9,3.495638624195427e-5,6.509343188784404e-7,6.509343188784405e-5,0.9999997021571988,99.99997021571988
PC10,10,1.5994713537711633e-5,2.9784280017567476e-7,2.9784280017567478e-5,0.999999999999999,99.9999999999999
PC11,11,1.2910892146586824e-14,2.4041795188385175e-16,2.4041795188385178e-14,0.9999999999999992,99.99999999999993
PC12,12,9.253945821725057e-15,1.7232075646231984e-16,1.7232075646231984e-14,0.9999999999999994,99.99999999999994
PC13,13,3.194399381609009e-15,5.94839572746729e-17,5.948395727467291e-15,0.9999999999999994,99.99999999999994
PC14,14,3.0668410883526815e-15,5.710865251166369e-17,5.7108652511663684e-15,0.9999999999999996,99.99999999999996
PC15,15,2.759414040802058e-15,5.138395275531417e-17,5.138395275531417e-15,0.9999999999999996,99.99999999999996
PC16,16,2.579246820021292e-15,4.8028999919760633e-17,4.8028999919760634e-15,0.9999999999999997,99.99999999999997
PC17,17,2.1363916770609485e-15,3.978244923659168e-17,3.978244923659168e-15,0.9999999999999997,99.99999999999997
PC18,18,1.8995055044607157e-15,3.537131421977501e-17,3.5371314219775e-15,0.9999999999999997,99.99999999999997
PC19,19,1.2821772223915192e-15,2.3875842061076115e-17,2.3875842061076113e-15,0.9999999999999998,99.99999999999997
PC20,20,9.47503573138216e-16,1.7643774409248902e-17,1.7643774409248903e-15,0.9999999999999998,99.99999999999997
PC21,21,8.136611019778803e-16,1.515144991098035e-17,1.5151449910980351e-15,0.9999999999999998,99.99999999999997
PC22,22,7.173086149667586e-16,1.3357238688152246e-17,1.3357238688152246e-15,0.9999999999999998,99.99999999999997
PC23,23,4.748262995533054e-16,8.84189606288152e-18,8.841896062881519e-16,0.9999999999999998,99.99999999999997
PC24,24,4.491432867910131e-16,8.363644269247762e-18,8.363644269247762e-16,0.9999999999999998,99.99999999999997
PC25,25,4.215083765348748e-16,7.849045552997836e-18,7.849045552997837e-16,0.9999999999999998,99.99999999999997
PC26,26,4.0079678825177094e-16,7.463368283081072e-18,7.463368283081071e-16,0.9999999999999998,99.99999999999997
PC27,27,2.6675300460825463e-16,4.967295079119262e-18,4.967295079119262e-16,0.9999999999999998,99.99999999999997
PC28,28,2.530910848347044e-16,4.712891995779528e-18,4.712891995779528e-16,0.9999999999999998,99.99999999999997
PC29,29,2.4727000620002376e-16,4.604495783711817e-18,4.604495783711817e-16,0.9999999999999999,99.99999999999999
PC30,30,2.143979968330465e-16,3.99237532940187e-18,3.9923753294018695e-16,0.9999999999999999,99.99999999999999
PC31,31,2.1416385828875987e-16,3.988015358871921e-18,3.9880153588719213e-16,0.9999999999999999,99.99999999999999
PC32,32,1.6092309237746404e-16,2.9966016167545567e-18,2.9966016167545565e-16,0.9999999999999999,99.99999999999999
PC33,33,1.5619340388772063e-16,2.908528538082503e-18,2.9085285380825034e-16,0.9999999999999999,99.99999999999999
PC34,34,1.4773233360480804e-16,2.7509721767507315e-18,2.750972176750731e-16,0.9999999999999999,99.99999999999999
PC35,35,1.3946428737722765e-16,2.59701017958221e-18,2.59701017958221e-16,0.9999999999999999,99.99999999999999
PC36,36,1.2127755823294755e-16,2.2583491387578477e-18,2.2583491387578477e-16,0.9999999999999999,99.99999999999999
PC37,37,1.1844244504202335e-16,2.205555567331331e-18,2.2055555673313307e-16,0.9999999999999999,99.99999999999999
PC38,38,1.1234966476520857e-16,2.0920999099841058e-18,2.0920999099841057e-16,0.9999999999999999,99.99999999999999
PC39,39,1.1095204863434203e-16,2.066074442193981e-18,2.0660744421939813e-16,0.9999999999999999,99.99999999999999
PC40,40,1.0801542828464399e-16,2.0113906727132262e-18,2.0113906727132263e-16,0.9999999999999999,99.99999999999999
PC41,41,1.0405336321656897e-16,1.9376117612265427e-18,1.9376117612265424e-16,0.9999999999999999,99.99999999999999
PC42,42,9.953458194614213e-17,1.853466054972282e-18,1.8534660549722821e-16,0.9999999999999999,99.99999999999999
PC43,43,9.718537876061139e-17,1.809720772925787e-18,1.809720772925787e-16,0.9999999999999999,99.99999999999999
PC44,44,9.674887422844143e-17,1.801592479046416e-18,1.8015924790464158e-16,0.9999999999999999,99.99999999999999
PC45,45,8.847465612578326e-17,1.6475155533703495e-18,1.6475155533703496e-16,0.9999999999999999,99.99999999999999
PC46,46,8.581766138150909e-17,1.5980387838851805e-18,1.5980387838851807e-16,0.9999999999999999,99.99999999999999
PC47,47,8.538179771471032e-17,1.5899224237698147e-18,1.589922423769815e-16,0.9999999999999999,99.99999999999999
PC48,48,8.461015804486419e-17,1.5755534687115246e-18,1.5755534687115247e-16,0.9999999999999999,99.99999999999999
PC49,49,8.222781940499859e-17,1.5311911605156757e-18,1.5311911605156756e-16,0.9999999999999999,99.99999999999999
PC50,50,7.924632735854641e-17,1.4756718204710357e-18,1.4756718204710355e-16,0.9999999999999999,99.99999999999999
PC51,51,7.874221181741718e-17,1.4662845198464892e-18,1.466284519846489e-16,0.9999999999999999,99.99999999999999
PC52,52,7.389566931425435e-17,1.3760354643126715e-18,1.3760354643126716e-16,0.9999999999999999,99.99999999999999
PC53,53,7.022887835453364e-17,1.3077549487206231e-18,1.3077549487206232e-16,0.9999999999999999,99.99999999999999
PC54,54,6.739822040064084e-17,1.2550443397222705e-18,1.2550443397222706e-16,0.9999999999999999,99.99999999999999
PC55,55,6.642961272661542e-17,1.2370075789373284e-18,1.2370075789373283e-16,0.9999999999999999,99.99999999999999
PC56,56,6.276795072720892e-17,1.1688225713953848e-18,1.168822571395385e-16,0.9999999999999999,99.99999999999999
PC57,57,6.061637002928653e-17,1.1287572824258635e-18,1.1287572824258633e-16,0.9999999999999999,99.99999999999999
PC58,58,5.749458777294344e-17,1.0706255524279663e-18,1.0706255524279664e-16,0.9999999999999999,99.99999999999999
PC59,59,5.742807932239035e-17,1.0693870767840372e-18,1.0693870767840372e-16,0.9999999999999999,99.99999999999999
PC60,60,5.73095043086779e-17,1.0671790526120683e-18,1.0671790526120683e-16,0.9999999999999999,99.99999999999999
PC61,61,5.729810232322532e-17,1.0669667325060062e-18,1.0669667325060062e-16,0.9999999999999999,99.99999999999999
PC62,62,5.694712172231055e-17,1.0604310077656211e-18,1.0604310077656212e-16,0.9999999999999999,99.99999999999999
PC63,63,5.691392607867079e-17,1.0598128608115048e-18,1.0598128608115047e-16,0.9999999999999999,99.99999999999999
PC64,64,5.659351359971187e-17,1.0538463550832622e-18,1.0538463550832623e-16,0.9999999999999999,99.99999999999999
PC65,65,5.511026259723805e-17,1.0262262522975149e-18,1.026226252297515e-16,0.9999999999999999,99.99999999999999
PC66,66,5.4874038417729505e-17,1.0218274444709077e-18,1.0218274444709077e-16,0.9999999999999999,99.99999999999999
PC67,67,5.3702990030135e-17,1.0000209688450704e-18,1.0000209688450705e-16,0.9999999999999999,99.99999999999999
PC68,68,5.194852757201025e-17,9.67350548702883e-19,9.67350548702883e-17,0.9999999999999999,99.99999999999999
PC69,69,4.974577488759338e-17,9.263323694104348e-19,9.263323694104348e-17,0.9999999999999999,99.99999999999999
PC70,70,4.8849492001858423e-17,9.096423921996879e-19,9.096423921996878e-17,0.9999999999999999,99.99999999999999
PC71,71,4.8059192533503054e-17,8.949259669209649e-19,8.94925966920965e-17,0.9999999999999999,99.99999999999999
PC72,72,4.786253729897904e-17,8.91263985380518e-19,8.91263985380518e-17,0.9999999999999999,99.99999999999999
PC73,73,4.7670646884893456e-17,8.87690731122268e-19,8.876907311222678e-17,0.9999999999999999,99.99999999999999
PC74,74,4.7651307015086055e-17,8.873305970714212e-19,8.873305970714211e-17,0.9999999999999999,99.99999999999999
PC75,75,4.666612747061207e-17,8.68985246058407e-19,8.689852460584069e-17,0.9999999999999999,99.99999999999999
PC76,76,4.5594680290586967e-17,8.490334771450975e-19,8.490334771450974e-17,0.9999999999999999,99.99999999999999
PC77,77,4.5492310353093344e-17,8.471272130056978e-19,8.471272130056978e-17,0.9999999999999999,99.99999999999999
PC78,78,4.461035624922809e-17,8.3070405673582705e-19,8.30704056735827e-17,0.9999999999999999,99.99999999999999
PC79,79,4.4553991839537103e-17,8.296544765996758e-19,8.296544765996757e-17,0.9999999999999999,99.99999999999999
PC80,80,4.452419705223202e-17,8.290996581053863e-19,8.290996581053862e-17,0.9999999999999999,99.99999999999999
PC81,81,4.349652342096433e-17,8.099630107823944e-19,8.099630107823944e-17,0.9999999999999999,99.99999999999999
PC82,82,4.2702911232233603e-17,7.951848982524139e-19,7.951848982524138e-17,0.9999999999999999,99.99999999999999
PC83,83,4.1878879659551e-17,7.798403364093846e-19,7.798403364093846e-17,0.9999999999999999,99.99999999999999
PC84,84,4.08371059103947e-17,7.604411261724118e-19,7.604411261724118e-17,0.9999999999999999,99.99999999999999
PC85,85,4.075713839150818e-17,7.589520248082577e-19,7.589520248082576e-17,0.9999999999999999,99.99999999999999
PC86,86,3.97880487318071e-17,7.40906288810165e-19,7.40906288810165e-17,0.9999999999999999,99.99999999999999
PC87,87,3.8902652683033675e-17,7.24419038956681e-19,7.244190389566811e-17,0.9999999999999999,99.99999999999999
