Source,Target,Weight,Type
1 Kings_1,1 Kings_19,4,undirected
1 Kings_1,1 Kings_2,54,undirected
1 Kings_1,1 Samuel_17,2,undirected
1 Kings_1,1 Samuel_8,1,undirected
1 Kings_1,2 Samuel_13,1,undirected
1 Kings_1,2 Samuel_15,9,undirected
1 Kings_1,2 Samuel_18,10,undirected
1 Kings_1,2 Samuel_19,17,undirected
1 Kings_1,2 Samuel_3,4,undirected
1 Kings_10,1 Kings_14,2,undirected
1 Kings_10,1 Kings_4,40,undirected
1 Kings_10,1 Kings_5,25,undirected
1 Kings_10,1 Kings_7,1,undirected
1 Kings_10,1 Kings_9,10,undirected
1 Kings_10,2 Kings_23,4,undirected
1 Kings_10,2 Samuel_6,2,undirected
1 Kings_10,2 Samuel_8,5,undirected
1 Kings_10,Ezekiel_19,3,undirected
1 Kings_10,Ezekiel_27,3,undirected
1 Kings_10,Jeremiah_52,1,undirected
1 Kings_11,1 Kings_14,15,undirected
1 Kings_11,1 Kings_2,16,undirected
1 Kings_11,1 Kings_22,5,undirected
1 Kings_11,1 Kings_3,5,undirected
1 Kings_11,1 Kings_8,1,undirected
1 Kings_11,1 Kings_9,29,undirected
1 Kings_11,1 Samuel_17,2,undirected
1 Kings_11,1 Samuel_2,2,undirected
1 Kings_11,2 Kings_18,6,undirected
1 Kings_11,2 Samuel_19,1,undirected
1 Kings_11,2 Samuel_23,3,undirected
1 Kings_11,Job_42,3,undirected
1 Kings_12,1 Kings_13,13,undirected
1 Kings_12,1 Kings_14,4,undirected
1 Kings_12,1 Kings_2,2,undirected
1 Kings_12,1 Kings_8,2,undirected
1 Kings_12,2 Kings_10,5,undirected
1 Kings_12,2 Kings_18,12,undirected
1 Kings_12,2 Kings_9,1,undirected
1 Kings_12,2 Samuel_16,1,undirected
1 Kings_12,2 Samuel_19,18,undirected
1 Kings_12,2 Samuel_20,1,undirected
1 Kings_12,2 Samuel_24,2,undirected
1 Kings_12,2 Samuel_3,3,undirected
1 Kings_12,Jeremiah_26,6,undirected
1 Kings_12,Jeremiah_36,3,undirected
1 Kings_12,Jeremiah_40,2,undirected
1 Kings_13,1 Kings_12,13,undirected
1 Kings_13,1 Kings_17,29,undirected
1 Kings_13,1 Kings_21,17,undirected
1 Kings_13,1 Kings_22,1,undirected
1 Kings_13,2 Kings_4,3,undirected
1 Kings_13,2 Kings_5,1,undirected
1 Kings_13,2 Kings_9,1,undirected
1 Kings_13,2 Samuel_19,1,undirected
1 Kings_14,1 Kings_10,2,undirected
1 Kings_14,1 Kings_11,15,undirected
1 Kings_14,1 Kings_12,4,undirected
1 Kings_14,1 Kings_15,17,undirected
1 Kings_14,1 Kings_16,22,undirected
1 Kings_14,1 Kings_21,7,undirected
1 Kings_14,1 Kings_8,5,undirected
1 Kings_14,1 Kings_9,6,undirected
1 Kings_14,2 Kings_10,13,undirected
1 Kings_14,2 Kings_14,10,undirected
1 Kings_14,2 Kings_20,3,undirected
1 Kings_14,2 Kings_21,1,undirected
1 Kings_14,2 Kings_22,1,undirected
1 Kings_14,2 Kings_23,1,undirected
