PC1,PC2,doc_id,book,chapter,section
-0.003897705652427256,0.015140986222476257,1 Kings_1,1 Kings,1,1 Kings
-0.0021904035922255412,0.01117913571768757,1 Kings_2,1 Kings,2,1 Kings
-0.0015553630211786527,0.011926930469820985,1 Kings_3,1 Kings,3,1 Kings
-0.0017362532747618393,0.015848941861411066,1 Kings_4,1 Kings,4,1 Kings
0.001983594382637481,0.012142798863128697,1 Kings_5,1 Kings,5,1 Kings
-0.01797178184064209,0.005036653667019475,1 Kings_6,1 Kings,6,1 Kings
-0.01765096398335172,0.006675174666428833,1 Kings_7,1 Kings,7,1 Kings
-0.005378594719890687,0.001346453603196985,1 Kings_8,1 Kings,8,1 Kings
-0.0038245364391383523,0.01107548337062734,1 Kings_9,1 Kings,9,1 Kings
-0.004341272789880675,0.013414690150482295,1 Kings_10,1 Kings,10,1 Kings
5.849692683829822e-4,0.012638873440256488,1 Kings_11,1 Kings,11,1 Kings
-0.004259664903448628,0.007011239566713934,1 Kings_12,1 Kings,12,1 Kings
-0.01355375150387915,0.0053074851074399465,1 Kings_13,1 Kings,13,1 Kings
-0.007300457420668357,0.006172824553893935,1 Kings_14,1 Kings,14,1 Kings
-0.009839485558262154,0.010101493858359865,1 Kings_15,1 Kings,15,1 Kings
-0.006892860884431796,0.005388546462893816,1 Kings_16,1 Kings,16,1 Kings
-0.006773397718201154,0.011384235109506584,1 Kings_17,1 Kings,17,1 Kings
-0.008732575531496032,0.011821984067055133,1 Kings_18,1 Kings,18,1 Kings
-0.004061314637328261,0.015234882951139972,1 Kings_19,1 Kings,19,1 Kings
-0.00872820833151221,0.01513556058413086,1 Kings_20,1 Kings,20,1 Kings
0.0021451396750553162,0.009619270742654269,1 Kings_21,1 Kings,21,1 Kings
-0.00946268417339402,0.010028121265855795,1 Kings_22,1 Kings,22,1 Kings
-0.0015677303815848727,0.010964656862044628,1 Samuel_1,1 Samuel,1,1 Samuel
-5.484597027520977e-4,-9.91858219822145e-4,1 Samuel_2,1 Samuel,2,1 Samuel
-0.002386974223377251,0.007446662149197978,1 Samuel_3,1 Samuel,3,1 Samuel
-0.010928028979013864,0.010752353007460158,1 Samuel_4,1 Samuel,4,1 Samuel
-0.020533321075963996,0.0019605752221512444,1 Samuel_5,1 Samuel,5,1 Samuel
-0.015438579862014317,0.001482843386370816,1 Samuel_6,1 Samuel,6,1 Samuel
-0.016911021646971447,0.009914040149007205,1 Samuel_7,1 Samuel,7,1 Samuel
-0.005856590702329671,0.010104729460565029,1 Samuel_8,1 Samuel,8,1 Samuel
-0.008102328240890994,0.010535651647204587,1 Samuel_9,1 Samuel,9,1 Samuel
-0.006285578542044091,0.009841724205202785,1 Samuel_10,1 Samuel,10,1 Samuel
-0.012285945289968198,0.007992611515359134,1 Samuel_11,1 Samuel,11,1 Samuel
-0.0036279681721633986,0.0053132648900875564,1 Samuel_12,1 Samuel,12,1 Samuel
-0.004480051668015619,0.01399615335613525,1 Samuel_13,1 Samuel,13,1 Samuel
-0.009370586394956455,0.010668064589487209,1 Samuel_14,1 Samuel,14,1 Samuel
-0.007075827713078831,0.008131400790137296,1 Samuel_15,1 Samuel,15,1 Samuel
0.0018730503734883327,0.014310685408236667,1 Samuel_16,1 Samuel,16,1 Samuel
-0.005038236434099397,0.017695944773107833,1 Samuel_17,1 Samuel,17,1 Samuel
0.0014666785716522873,0.022191656570014436,1 Samuel_18,1 Samuel,18,1 Samuel
0.002861822638055987,0.02315994321006949,1 Samuel_19,1 Samuel,19,1 Samuel
0.0020474221382347415,0.009906548791721531,1 Samuel_20,1 Samuel,20,1 Samuel
-0.0025644195246064525,0.015005743329403055,1 Samuel_21,1 Samuel,21,1 Samuel
-0.0026537630359559834,0.014718975896214537,1 Samuel_22,1 Samuel,22,1 Samuel
-5.353612828683532e-4,0.01611713834588642,1 Samuel_23,1 Samuel,23,1 Samuel
0.002748571641658643,0.01415504518136812,1 Samuel_24,1 Samuel,24,1 Samuel
0.0049718444969828746,0.014612052208153193,1 Samuel_25,1 Samuel,25,1 Samuel
-6.377692021503505e-4,0.009283388637111707,1 Samuel_26,1 Samuel,26,1 Samuel
-0.0021720664574489852,0.018734104582413917,1 Samuel_27,1 Samuel,27,1 Samuel
-3.4082615986932114e-4,0.014861473333285309,1 Samuel_28,1 Samuel,28,1 Samuel
-6.778526608000551e-4,0.011342362692277586,1 Samuel_29,1 Samuel,29,1 Samuel
-0.0058000949280175304,0.014335968320782932,1 Samuel_30,1 Samuel,30,1 Samuel
-0.011573527594686139,0.01746759873288066,1 Samuel_31,1 Samuel,31,1 Samuel
-9.43466737543195e-4,0.013769647848097387,2 Kings_1,2 Kings,1,2 Kings
-0.009280845765139743,0.01110518412691297,2 Kings_2,2 Kings,2,2 Kings
-0.011994876131088593,0.010064904712938316,2 Kings_3,2 Kings,3,2 Kings
-0.006804432471353491,0.017299112492454166,2 Kings_4,2 Kings,4,2 Kings
-3.324669744089858e-4,0.017644986028881857,2 Kings_5,2 Kings,5,2 Kings
-0.008377606542017142,0.013497536931793721,2 Kings_6,2 Kings,6,2 Kings
-0.018491491222313135,0.008663851531313676,2 Kings_7,2 Kings,7,2 Kings
-0.004028006355604619,0.015360239938001919,2 Kings_8,2 Kings,8,2 Kings
-0.007419495750836943,0.015729482617066505,2 Kings_9,2 Kings,9,2 Kings
-0.006839202768453301,0.010760183144074457,2 Kings_10,2 Kings,10,2 Kings
-0.024955738597981714,0.00545675809186994,2 Kings_11,2 Kings,11,2 Kings
-0.017111516451508352,0.0021843818481997786,2 Kings_12,2 Kings,12,2 Kings
-0.014748650522473065,0.014267773522644122,2 Kings_13,2 Kings,13,2 Kings
-0.007549488128080389,0.010270831558978294,2 Kings_14,2 Kings,14,2 Kings
-0.011513805379652537,0.010349294239370883,2 Kings_15,2 Kings,15,2 Kings
-0.014682886713781535,0.011820025822863896,2 Kings_16,2 Kings,16,2 Kings
-0.02002864876963236,0.0015485440580393914,2 Kings_17,2 Kings,17,2 Kings
-0.005625580209895556,0.009648675662485357,2 Kings_18,2 Kings,18,2 Kings
-0.00437351247481495,0.007001760640973703,2 Kings_19,2 Kings,19,2 Kings
-0.006782149956115761,0.006535690577883595,2 Kings_20,2 Kings,20,2 Kings
-0.007992562022073341,0.0063553762680555554,2 Kings_21,2 Kings,21,2 Kings
-0.017717830033787855,8.10135794820755e-4,2 Kings_22,2 Kings,22,2 Kings
-0.016797987885283912,0.004883409298478178,2 Kings_23,2 Kings,23,2 Kings
-0.010390832480361755,0.012409715273669962,2 Kings_24,2 Kings,24,2 Kings
-0.022098261701278817,0.0080358197442146,2 Kings_25,2 Kings,25,2 Kings
-9.601972160988405e-4,0.013940339453125745,2 Samuel_1,2 Samuel,1,2 Samuel
-0.005772887167398017,0.014500517135983422,2 Samuel_2,2 Samuel,2,2 Samuel
0.0016208148569425238,0.01609286389532171,2 Samuel_3,2 Samuel,3,2 Samuel
-0.006634098973268348,0.017065080091648976,2 Samuel_4,2 Samuel,4,2 Samuel
-0.007120445998542079,0.015466715342120513,2 Samuel_5,2 Samuel,5,2 Samuel
-0.007565424980446374,0.005130399242726327,2 Samuel_6,2 Samuel,6,2 Samuel
0.008448947231873278,0.004389020758735163,2 Samuel_7,2 Samuel,7,2 Samuel
-0.0025960979493938547,0.021942764791597593,2 Samuel_8,2 Samuel,8,2 Samuel
0.0028585969800716967,0.018286094419697075,2 Samuel_9,2 Samuel,9,2 Samuel
-0.015496607625945406,0.014210787593240824,2 Samuel_10,2 Samuel,10,2 Samuel
-0.00224881113022429,0.02040455006812449,2 Samuel_11,2 Samuel,11,2 Samuel
-0.002080409987694568,0.01368813305333261,2 Samuel_12,2 Samuel,12,2 Samuel
0.0017747929023648138,0.01882300076203678,2 Samuel_13,2 Samuel,13,2 Samuel
-0.0036564322192547596,0.013335895383915407,2 Samuel_14,2 Samuel,14,2 Samuel
-5.210148191616672e-4,0.012566956540235317,2 Samuel_15,2 Samuel,15,2 Samuel
5.620832287851199e-4,0.013576210870235122,2 Samuel_16,2 Samuel,16,2 Samuel
-0.002424901087833564,0.013455122154392585,2 Samuel_17,2 Samuel,17,2 Samuel
-0.005130869304322357,0.017499379203302898,2 Samuel_18,2 Samuel,18,2 Samuel
-1.376118951337861e-4,0.01327228150185849,2 Samuel_19,2 Samuel,19,2 Samuel
-0.006051652068185981,0.01345410029183794,2 Samuel_20,2 Samuel,20,2 Samuel
-0.012106704654548897,0.00948977909453746,2 Samuel_21,2 Samuel,21,2 Samuel
0.004868579015180708,0.0018349011780899537,2 Samuel_22,2 Samuel,22,2 Samuel
-0.010242612094474168,0.003070831032217631,2 Samuel_23,2 Samuel,23,2 Samuel
-0.012197014106632563,0.009639380945489499,2 Samuel_24,2 Samuel,24,2 Samuel
