neighbor_doc_id,distance,corpus_id,feature_set,metric,doc_id,neighbor_rank,similarity,doc_section,neighbor_section,rank_weight,weighted_similarity
1 Kings_2,0.10825275323087424,KJV,char3,cosine,1 Kings_1,1,0.8917472467691258,1 Kings,1 Kings,5,4.458736233845629
2 Samuel_19,0.1316580931335003,KJV,char3,cosine,1 Kings_1,2,0.8683419068664997,1 Kings,2 Samuel,4,3.473367627465999
2 Samuel_14,0.1388057762495407,KJV,char3,cosine,1 Kings_1,3,0.8611942237504593,1 Kings,2 Samuel,3,2.583582671251378
2 Samuel_15,0.1395527981945225,KJV,char3,cosine,1 Kings_1,4,0.8604472018054775,1 Kings,2 Samuel,2,1.720894403610955
2 Samuel_18,0.13961705350880937,KJV,char3,cosine,1 Kings_1,5,0.8603829464911906,1 Kings,2 Samuel,1,0.8603829464911906
1 Kings_1,0.10825275323087424,KJV,char3,cosine,1 Kings_2,1,0.8917472467691258,1 Kings,1 Kings,5,4.458736233845629
Isaiah_37,0.12243959634233981,KJV,char3,cosine,1 Kings_2,2,0.8775604036576602,1 Kings,Isaiah_36_39,4,3.5102416146306408
2 Samuel_14,0.12485855384223754,KJV,char3,cosine,1 Kings_2,3,0.8751414461577625,1 Kings,2 Samuel,3,2.6254243384732874
1 Kings_22,0.1255754811778691,KJV,char3,cosine,1 Kings_2,4,0.8744245188221309,1 Kings,1 Kings,2,1.7488490376442618
2 Kings_19,0.12721518649020624,KJV,char3,cosine,1 Kings_2,5,0.8727848135097938,1 Kings,2 Kings,1,0.8727848135097938
2 Samuel_14,0.1363741786687589,KJV,char3,cosine,1 Kings_3,1,0.8636258213312411,1 Kings,2 Samuel,5,4.3181291066562055
1 Kings_2,0.14409020453334775,KJV,char3,cosine,1 Kings_3,2,0.8559097954666522,1 Kings,1 Kings,4,3.423639181866609
1 Kings_20,0.1472721017823202,KJV,char3,cosine,1 Kings_3,3,0.8527278982176798,1 Kings,1 Kings,3,2.5581836946530396
2 Samuel_18,0.14880242952296918,KJV,char3,cosine,1 Kings_3,4,0.8511975704770308,1 Kings,2 Samuel,2,1.7023951409540616
Isaiah_37,0.14982426608042176,KJV,char3,cosine,1 Kings_3,5,0.8501757339195782,1 Kings,Isaiah_36_39,1,0.8501757339195782
1 Kings_9,0.18907164033889012,KJV,char3,cosine,1 Kings_4,1,0.8109283596611099,1 Kings,1 Kings,5,4.05464179830555
1 Kings_11,0.19162360164868641,KJV,char3,cosine,1 Kings_4,2,0.8083763983513136,1 Kings,1 Kings,4,3.2335055934052543
1 Kings_10,0.19248801062140608,KJV,char3,cosine,1 Kings_4,3,0.8075119893785939,1 Kings,1 Kings,3,2.4225359681357816
1 Kings_2,0.1931500188415457,KJV,char3,cosine,1 Kings_4,4,0.8068499811584543,1 Kings,1 Kings,2,1.6136999623169086
1 Kings_1,0.19618935944863136,KJV,char3,cosine,1 Kings_4,5,0.8038106405513686,1 Kings,1 Kings,1,0.8038106405513686
1 Kings_9,0.1530589819675482,KJV,char3,cosine,1 Kings_5,1,0.8469410180324518,1 Kings,1 Kings,5,4.234705090162259
1 Kings_2,0.18905125849867976,KJV,char3,cosine,1 Kings_5,2,0.8109487415013202,1 Kings,1 Kings,4,3.243794966005281
1 Kings_11,0.1923350872724886,KJV,char3,cosine,1 Kings_5,3,0.8076649127275114,1 Kings,1 Kings,3,2.4229947381825343
1 Kings_8,0.203249000893457,KJV,char3,cosine,1 Kings_5,4,0.796750999106543,1 Kings,1 Kings,2,1.593501998213086
1 Kings_10,0.20450156436149347,KJV,char3,cosine,1 Kings_5,5,0.7954984356385065,1 Kings,1 Kings,1,0.7954984356385065
Ezekiel_41,0.11460572428921623,KJV,char3,cosine,1 Kings_6,1,0.8853942757107838,1 Kings,Ezekiel,5,4.426971378553919
1 Kings_7,0.1256147141429398,KJV,char3,cosine,1 Kings_6,2,0.8743852858570602,1 Kings,1 Kings,4,3.497541143428241
Ezekiel_43,0.16216740518461503,KJV,char3,cosine,1 Kings_6,3,0.837832594815385,1 Kings,Ezekiel,3,2.513497784446155
2 Kings_12,0.1650853047196773,KJV,char3,cosine,1 Kings_6,4,0.8349146952803227,1 Kings,2 Kings,2,1.6698293905606454
2 Kings_23,0.16910586226026803,KJV,char3,cosine,1 Kings_6,5,0.830894137739732,1 Kings,2 Kings,1,0.830894137739732
Ezekiel_41,0.11886559182465761,KJV,char3,cosine,1 Kings_7,1,0.8811344081753424,1 Kings,Ezekiel,5,4.405672040876712
Ezekiel_40,0.12261155780340982,KJV,char3,cosine,1 Kings_7,2,0.8773884421965902,1 Kings,Ezekiel,4,3.5095537687863607
1 Kings_6,0.1256147141429398,KJV,char3,cosine,1 Kings_7,3,0.8743852858570602,1 Kings,1 Kings,3,2.623155857571181
2 Kings_25,0.13958847062046187,KJV,char3,cosine,1 Kings_7,4,0.8604115293795381,1 Kings,2 Kings,2,1.7208230587590763
Jeremiah_52,0.1399447069709654,KJV,char3,cosine,1 Kings_7,5,0.8600552930290346,1 Kings,Jeremiah,1,0.8600552930290346
1 Samuel_2,0.10655148312386753,KJV,char3,cosine,1 Kings_8,1,0.8934485168761325,1 Kings,1 Samuel,5,4.467242584380663
Jeremiah_32,0.10694331284507674,KJV,char3,cosine,1 Kings_8,2,0.8930566871549233,1 Kings,Jeremiah,4,3.572226748619693
Jeremiah_7,0.11405106608982907,KJV,char3,cosine,1 Kings_8,3,0.8859489339101709,1 Kings,Jeremiah,3,2.657846801730513
Jeremiah_31,0.11804357595473924,KJV,char3,cosine,1 Kings_8,4,0.8819564240452608,1 Kings,Jeremiah,2,1.7639128480905215
Jeremiah_11,0.1199990081841188,KJV,char3,cosine,1 Kings_8,5,0.8800009918158812,1 Kings,Jeremiah,1,0.8800009918158812
