corpus_id,doc_id,feature_set,neighbor_section,top5_count,similarity_sum,weighted_similarity_sum
KJV,1 Kings_1,char3,1 Kings,4,2.661431746202873,11.01765104174367
KJV,1 Kings_1,char4,Psalms,3,2.142687704734066,7.918398841840112
KJV,1 Kings_1,function_words,1 Kings,4,2.6973856613949603,11.781906577522811
KJV,1 Kings_1,pos3,1 Samuel,3,2.3956809117847615,7.822569494389287
KJV,1 Kings_1,word3,Psalms,5,4.076905779635956,12.278957048553782
KJV,1 Kings_10,char3,1 Kings,7,4.955857039437247,17.68588475497868
KJV,1 Kings_10,char4,Psalms,5,3.4241172532636264,10.393117367490241
KJV,1 Kings_10,function_words,2 Kings,4,2.527173348826926,7.275051142052172
KJV,1 Kings_10,pos3,2 Kings,5,3.6769965130953493,10.144974479782475
KJV,1 Kings_10,word3,Psalms,6,4.420420859414473,12.684853067134487
KJV,1 Kings_11,char3,1 Kings,7,4.9019814462107645,17.947809763109518
KJV,1 Kings_11,char4,1 Kings,6,3.9551980151538038,12.580943011127632
KJV,1 Kings_11,function_words,1 Kings,6,5.016450554386413,15.09323955696086
KJV,1 Kings_11,pos3,2 Kings,4,3.0523063574348566,10.437111512392685
KJV,1 Kings_11,word3,Psalms,5,4.028276669937242,12.13348673573676
KJV,1 Kings_12,char3,1 Kings,5,3.5225890545799423,12.659044315049798
KJV,1 Kings_12,char4,1 Kings,4,2.620262433521059,8.643945340433483
KJV,1 Kings_12,function_words,2 Kings,5,3.660293213535315,11.40533872884789
KJV,1 Kings_12,pos3,2 Kings,5,4.026006903424946,14.873845050461165
KJV,1 Kings_12,word3,Psalms,5,4.034716064255673,12.15280295414536
KJV,1 Kings_13,char3,2 Kings,4,3.197527657480624,11.066117388613689
KJV,1 Kings_13,char4,Psalms,5,3.567961106882179,10.821917340665502
KJV,1 Kings_13,function_words,1 Kings,2,1.9088085872698684,8.592196380169483
KJV,1 Kings_13,pos3,2 Kings,4,3.1604633950416554,14.229688851975805
KJV,1 Kings_13,word3,Psalms,5,4.153911274192302,12.51003596547043
KJV,1 Kings_14,char3,1 Kings,6,4.128313584453411,14.796882276902979
KJV,1 Kings_14,char4,1 Kings,6,4.103445443837351,13.051887753696159
KJV,1 Kings_14,function_words,2 Kings,8,6.10973244674515,17.506556640485833
KJV,1 Kings_14,pos3,1 Kings,4,2.945493433458556,9.47402144326801
KJV,1 Kings_14,word3,Psalms,5,3.912318450850939,11.785920097205148
KJV,1 Kings_15,char3,1 Kings,4,3.000697923570318,11.727942770021176
KJV,1 Kings_15,char4,1 Kings,4,2.899324762854167,9.528211892518396
KJV,1 Kings_15,function_words,2 Kings,8,6.394781460061709,20.64888031354817
KJV,1 Kings_15,pos3,2 Kings,8,6.379398674604195,20.55495526892612
KJV,1 Kings_15,word3,2 Kings,5,3.398340568101394,10.85382738713209
KJV,1 Kings_16,char3,2 Kings,6,4.310751459118625,11.84837394722083
KJV,1 Kings_16,char4,2 Kings,5,3.5299901953034447,8.643497464579617
KJV,1 Kings_16,function_words,2 Kings,8,6.435453823695861,19.018898281067116
KJV,1 Kings_16,pos3,1 Kings,3,2.3205485959907017,8.40765669573218
KJV,1 Kings_16,word3,Psalms,5,3.9571628602592805,11.919721947563984
KJV,1 Kings_17,char3,1 Kings,4,2.8963113132751563,10.47703551046165
KJV,1 Kings_17,char4,Psalms,5,3.5323268564850836,10.710486653822223
KJV,1 Kings_17,function_words,1 Kings,5,3.9957497053548017,16.543364269238197
KJV,1 Kings_17,pos3,2 Kings,2,1.4707530560105853,7.353765280052926
KJV,1 Kings_17,word3,Psalms,5,4.1621440602712205,12.534959800606641
KJV,1 Kings_18,char3,2 Kings,5,3.5005924858241086,12.015380438097857
KJV,1 Kings_18,char4,Psalms,4,2.7813582920391773,8.457676028332052
KJV,1 Kings_18,function_words,1 Kings,3,2.1199000670596697,10.025965764999462
KJV,1 Kings_18,pos3,1 Kings,2,1.6835797631585883,5.920606314936254
KJV,1 Kings_18,word3,Psalms,5,4.1161351259171,12.395813794603953
KJV,1 Kings_19,char3,1 Kings,4,2.848342369398128,12.2827238162775
KJV,1 Kings_19,char4,Psalms,5,3.5254089098103596,10.690818064927251
KJV,1 Kings_19,function_words,1 Kings,5,3.546400501481271,13.252851372141222
KJV,1 Kings_19,pos3,Ezekiel,6,4.648198985968547,12.512031445189388
KJV,1 Kings_19,word3,Psalms,5,4.029333021740864,12.137038233005041
KJV,1 Kings_2,char3,1 Kings,5,3.5889384291823814,12.352989583705174
KJV,1 Kings_2,char4,1 Kings,5,3.4110339979082096,10.312732184367366
KJV,1 Kings_2,function_words,1 Kings,4,2.760592163821043,9.681161638726227
KJV,1 Kings_2,pos3,1 Kings,3,2.3009495037012355,8.952533127748419
KJV,1 Kings_2,word3,Psalms,5,4.075989629863919,12.276280775724613
KJV,1 Kings_20,char3,2 Kings,7,5.45528489009364,14.988052989202995
KJV,1 Kings_20,char4,2 Kings,4,2.8499997044478826,8.624125846312625
KJV,1 Kings_20,function_words,1 Kings,4,3.1311064263249193,7.133188923453743
KJV,1 Kings_20,pos3,Ezekiel,6,4.654166070689921,14.061983523901592
KJV,1 Kings_20,word3,Psalms,5,4.0360898515006225,12.157011750673758
KJV,1 Kings_21,char3,2 Kings,5,3.567904618394196,10.72381885805181
KJV,1 Kings_21,char4,Psalms,5,3.46245582582927,10.497289705685885
KJV,1 Kings_21,function_words,1 Kings,6,5.3796900214948815,17.334330490203463
KJV,1 Kings_21,pos3,Jeremiah,8,6.1859366895021175,18.362631614293182
KJV,1 Kings_21,word3,Psalms,5,4.112095130549817,12.384735405305806
KJV,1 Kings_22,char3,2 Kings,7,5.434762567652712,14.959572262350964
KJV,1 Kings_22,char4,2 Kings,6,4.282283335877238,10.979207708329968
KJV,1 Kings_22,function_words,2 Kings,8,6.358968822994299,19.800472210461113
KJV,1 Kings_22,pos3,2 Kings,3,2.1162934691494835,9.978139924499388
KJV,1 Kings_22,word3,Psalms,5,4.056456151670087,12.217150297712045
KJV,1 Kings_3,char3,1 Kings,4,2.911427272590434,9.649497565111972
