corpus_id,feature_set,metric,comparison,group1,group2,distance
KJV,char3,cosine,Isaiah_1_35 vs Isaiah_40_55,Isaiah_1_35,Isaiah_40_55,0.242748441446268
KJV,char3,cosine,Isaiah_40_55 vs Isaiah_56_66,Isaiah_40_55,Isaiah_56_66,0.23039056616392775
KJV,char3,cosine,Isaiah_40_55 vs Jeremiah,Isaiah_40_55,Jeremiah,0.23228357852730264
KJV,char3,cosine,Isaiah_40_55 vs Ezekiel,Isaiah_40_55,Ezekiel,0.24844418250426445
KJV,char3,cosine,Isaiah_1_35 vs Jeremiah,Isaiah_1_35,Jeremiah,0.23416604695309087
KJV,char3,cosine,Isaiah_36_39 vs 2 Kings,Isaiah_36_39,2 Kings,0.20839919310336488
KJV,char3,delta,Isaiah_1_35 vs Isaiah_40_55,Isaiah_1_35,Isaiah_40_55,0.49768302205130505
KJV,char3,delta,Isaiah_40_55 vs Isaiah_56_66,Isaiah_40_55,Isaiah_56_66,0.4784008843952402
KJV,char3,delta,Isaiah_40_55 vs Jeremiah,Isaiah_40_55,Jeremiah,0.4794915115268674
KJV,char3,delta,Isaiah_40_55 vs Ezekiel,Isaiah_40_55,Ezekiel,0.4793682306676688
KJV,char3,delta,Isaiah_1_35 vs Jeremiah,Isaiah_1_35,Jeremiah,0.49176103089909073
KJV,char3,delta,Isaiah_36_39 vs 2 Kings,Isaiah_36_39,2 Kings,0.4680039656257923
KJV,char4,cosine,Isaiah_1_35 vs Isaiah_40_55,Isaiah_1_35,Isaiah_40_55,0.5208268813283495
KJV,char4,cosine,Isaiah_40_55 vs Isaiah_56_66,Isaiah_40_55,Isaiah_56_66,0.5084170252252083
KJV,char4,cosine,Isaiah_40_55 vs Jeremiah,Isaiah_40_55,Jeremiah,0.5181632542228621
KJV,char4,cosine,Isaiah_40_55 vs Ezekiel,Isaiah_40_55,Ezekiel,0.5339139580116994
KJV,char4,cosine,Isaiah_1_35 vs Jeremiah,Isaiah_1_35,Jeremiah,0.5250040952785718
