corpus_id,doc_id,doc_section,neighbor_section,top5_count,rank_weight_sum,similarity_sum,weighted_similarity_sum,mean_distance,feature_sets,metrics,ensemble_rank,max_score,margin_from_winner
KJV,1 Kings_1,1 Kings,1 Kings,15,54,9.908882431132565,36.8233675934359,0.33940783792449575,char3;char4;function_words;pos3;word3,cosine;delta,1,36.8233675934359,0
KJV,1 Kings_1,1 Kings,2 Samuel,19,50,13.478181020752087,35.451458536592675,0.2906220515393638,char3;char4;function_words;pos3;word3,cosine;delta,2,36.8233675934359,1.3719090568432222
KJV,1 Kings_1,1 Kings,Psalms,8,26,6.219593484370021,20.197355890393894,0.2225508144537473,char4;word3,delta,3,36.8233675934359,16.626011703042003
KJV,1 Kings_1,1 Kings,1 Samuel,5,13,3.9242598814356597,10.316102462663602,0.21514802371286804,char3;function_words;pos3,cosine;delta,4,36.8233675934359,26.507265130772296
KJV,1 Kings_1,1 Kings,2 Kings,2,6,1.121558082034288,3.490681162059155,0.43922095898285596,function_words;pos3,delta,5,36.8233675934359,33.33268643137674
KJV,1 Kings_1,1 Kings,Jeremiah,1,1,0.5723358848468796,0.5723358848468796,0.4276641151531204,pos3,delta,6,36.8233675934359,36.25103170858902
KJV,1 Kings_10,1 Kings,1 Kings,15,48,10.804688043870046,35.106983390203084,0.279687463741997,char3;char4;function_words;pos3;word3,cosine;delta,1,35.106983390203084,0
KJV,1 Kings_10,1 Kings,2 Kings,16,47,9.80025758571587,26.625787816221813,0.3874839008927581,char3;char4;function_words;pos3;word3,cosine;delta,2,35.106983390203084,8.481195573981271
KJV,1 Kings_10,1 Kings,Psalms,11,31,7.844538112678099,23.07797043462473,0.28686017157471827,char4;word3,cosine;delta,3,35.106983390203084,12.029012955578352
KJV,1 Kings_10,1 Kings,1 Samuel,2,10,1.5447614530687612,7.723807265343806,0.22761927346561936,pos3,cosine;delta,4,35.106983390203084,27.383176124859276
KJV,1 Kings_10,1 Kings,2 Samuel,3,8,2.4160951430190156,7.2352767214014575,0.19463495232699476,function_words,cosine;delta,5,35.106983390203084,27.871706668801625
KJV,1 Kings_10,1 Kings,Jeremiah,3,6,1.653444240362262,3.2206789798891258,0.44885191987924594,char3;function_words;pos3,delta,6,35.106983390203084,31.886304410313958
KJV,1 Kings_11,1 Kings,1 Kings,25,84,17.18944239626108,57.720001973138125,0.31242230414955685,char3;char4;function_words;pos3;word3,cosine;delta,1,57.720001973138125,0
KJV,1 Kings_11,1 Kings,2 Kings,13,34,8.380063846809614,23.03326956397107,0.3553797040915681,char3;char4;function_words;pos3;word3,cosine;delta,2,57.720001973138125,34.68673240916705
KJV,1 Kings_11,1 Kings,Psalms,8,25,6.109679262121531,19.153413382056673,0.23629009223480868,char4;word3,delta,3,57.720001973138125,38.566588591081455
KJV,1 Kings_11,1 Kings,Ezekiel,2,5,1.2518015748451543,3.151618812966785,0.37409921257742285,pos3,delta,4,57.720001973138125,54.56838316017134
KJV,1 Kings_11,1 Kings,1 Samuel,1,1,0.8921701883269287,0.8921701883269287,0.10782981167307126,pos3,cosine,5,57.720001973138125,56.827831784811195
KJV,1 Kings_11,1 Kings,2 Samuel,1,1,0.8513808905920156,0.8513808905920156,0.1486191094079844,char3,cosine,6,57.720001973138125,56.868621082546106
KJV,1 Kings_12,1 Kings,1 Kings,15,48,10.197864175796912,33.40912305515622,0.3201423882802059,char3;char4;function_words;pos3;word3,cosine;delta,1,33.40912305515622,0
KJV,1 Kings_12,1 Kings,2 Kings,15,46,10.135013421591616,31.67739965716222,0.324332438560559,char3;char4;function_words;pos3;word3,cosine;delta,2,33.40912305515622,1.7317233979940028
KJV,1 Kings_12,1 Kings,Psalms,8,25,6.176603454423713,19.378749218638156,0.22792456819703583,char4;word3,delta,3,33.40912305515622,14.030373836518066
KJV,1 Kings_12,1 Kings,Jeremiah,9,25,6.343176559461721,18.218333683375,0.2952026045042532,char3;char4;function_words;pos3,cosine;delta,4,33.40912305515622,15.190789371781221
KJV,1 Kings_12,1 Kings,Hosea,1,4,0.3383999420106856,1.3535997680427423,0.6616000579893144,word3,cosine,5,33.40912305515622,32.05552328711348
KJV,1 Kings_12,1 Kings,2 Samuel,1,1,0.9571008340962904,0.9571008340962904,0.04289916590370957,function_words,cosine,6,33.40912305515622,32.452022221059934
