corpus_id,doc_id,neighbor_section,agreement,ensemble_rank
KJV,1 Kings_1,1 Kings,2,1
KJV,1 Kings_10,2 Kings,2,1
KJV,1 Kings_11,1 Kings,3,1
KJV,1 Kings_12,1 Kings,2,1
KJV,1 Kings_13,2 Kings,2,1
KJV,1 Kings_14,1 Kings,3,1
KJV,1 Kings_15,2 Kings,3,1
KJV,1 Kings_16,2 Kings,3,1
KJV,1 Kings_17,1 Kings,2,1
KJV,1 Kings_18,1 Kings,2,1
KJV,1 Kings_19,1 Kings,2,1
KJV,1 Kings_2,1 Kings,4,1
KJV,1 Kings_20,2 Kings,2,1
KJV,1 Kings_21,Psalms,2,1
KJV,1 Kings_22,2 Kings,4,1
KJV,1 Kings_3,1 Kings,2,1
KJV,1 Kings_4,2 Kings,2,1
KJV,1 Kings_5,1 Kings,2,1
KJV,1 Kings_6,Ezekiel,2,1
KJV,1 Kings_7,Ezekiel,3,1
KJV,1 Kings_8,2 Kings,2,1
KJV,1 Kings_9,1 Kings,3,1
KJV,1 Samuel_1,1 Kings,2,1
KJV,1 Samuel_10,1 Samuel,2,1
KJV,1 Samuel_11,1 Samuel,2,1
KJV,1 Samuel_12,Jeremiah,3,1
KJV,1 Samuel_13,1 Samuel,3,1
KJV,1 Samuel_14,1 Samuel,3,1
KJV,1 Samuel_15,Psalms,2,1
KJV,1 Samuel_16,Psalms,2,1
KJV,1 Samuel_17,1 Samuel,3,1
KJV,1 Samuel_18,1 Samuel,4,1
KJV,1 Samuel_19,1 Samuel,4,1
KJV,1 Samuel_2,Psalms,2,1
KJV,1 Samuel_20,Psalms,2,1
KJV,1 Samuel_21,1 Samuel,2,1
KJV,1 Samuel_22,Psalms,2,1
KJV,1 Samuel_23,1 Samuel,3,1
KJV,1 Samuel_24,1 Kings,2,1
KJV,1 Samuel_25,Psalms,2,1
KJV,1 Samuel_26,1 Samuel,2,1
KJV,1 Samuel_27,Psalms,2,1
KJV,1 Samuel_28,Psalms,2,1
KJV,1 Samuel_29,Psalms,2,1
KJV,1 Samuel_3,Psalms,2,1
KJV,1 Samuel_30,Psalms,2,1
KJV,1 Samuel_31,Psalms,2,1
KJV,1 Samuel_4,Psalms,2,1
KJV,1 Samuel_5,1 Samuel,2,1
KJV,1 Samuel_6,2 Kings,2,1
KJV,1 Samuel_7,1 Samuel,3,1
KJV,1 Samuel_8,Psalms,2,1
KJV,1 Samuel_9,Psalms,2,1
KJV,2 Kings_1,2 Kings,2,1
KJV,2 Kings_10,1 Kings,2,1
KJV,2 Kings_11,2 Kings,2,1
KJV,2 Kings_12,2 Kings,4,1
KJV,2 Kings_13,2 Kings,3,1
KJV,2 Kings_14,2 Kings,3,1
KJV,2 Kings_15,2 Kings,4,1
KJV,2 Kings_16,2 Kings,4,1
KJV,2 Kings_17,Psalms,2,1
KJV,2 Kings_18,Isaiah_36_39,3,1
KJV,2 Kings_19,Isaiah_36_39,4,1
KJV,2 Kings_2,1 Kings,2,1
KJV,2 Kings_20,Isaiah_36_39,2,1
KJV,2 Kings_21,2 Kings,4,1
KJV,2 Kings_22,2 Kings,3,1
KJV,2 Kings_23,2 Kings,3,1
KJV,2 Kings_24,2 Kings,4,1
KJV,2 Kings_25,Jeremiah,3,1
KJV,2 Kings_3,1 Kings,2,1
KJV,2 Kings_4,2 Kings,3,1
KJV,2 Kings_5,2 Kings,4,1
KJV,2 Kings_6,2 Kings,3,1
KJV,2 Kings_7,2 Kings,2,1
KJV,2 Kings_8,1 Kings,2,1
KJV,2 Kings_9,1 Kings,2,1
KJV,2 Samuel_1,1 Kings,2,1
KJV,2 Samuel_10,1 Samuel,2,1
KJV,2 Samuel_11,2 Samuel,2,1
