corpus_id,feature_set,metric,section,within_distance
KJV,char3,cosine,1 Kings,0.19873282553780006
KJV,char3,cosine,1 Samuel,0.2214211538647047
KJV,char3,cosine,2 Kings,0.17687911118319238
KJV,char3,cosine,2 Samuel,0.21840346645177947
KJV,char3,cosine,Amos,0.21248256935274168
KJV,char3,cosine,Ezekiel,0.2282555276262131
KJV,char3,cosine,Hosea,0.2818013219932596
KJV,char3,cosine,Isaiah_1_35,0.2262261950119634
KJV,char3,cosine,Isaiah_36_39,0.1915557989137239
KJV,char3,cosine,Isaiah_40_55,0.220595729568099
KJV,char3,cosine,Isaiah_56_66,0.2370855691543092
KJV,char3,cosine,Jeremiah,0.18529014350454093
KJV,char3,cosine,Job,0.32644101879083476
KJV,char3,cosine,Proverbs,0.2628700471395614
KJV,char3,cosine,Psalms,0.44155752541245635
KJV,char3,delta,1 Kings,0.4786211598033079
KJV,char3,delta,1 Samuel,0.45760220451241573
KJV,char3,delta,2 Kings,0.4553410624344378
KJV,char3,delta,2 Samuel,0.4788531103311348
KJV,char3,delta,Amos,0.4904938698850717
KJV,char3,delta,Ezekiel,0.4546253185623622
KJV,char3,delta,Hosea,0.5196288757297444
KJV,char3,delta,Isaiah_1_35,0.5003127103856085
KJV,char3,delta,Isaiah_36_39,0.4597378564034523
KJV,char3,delta,Isaiah_40_55,0.47122061214016453
KJV,char3,delta,Isaiah_56_66,0.4766295266827946
KJV,char3,delta,Jeremiah,0.453104986258417
KJV,char3,delta,Job,0.5328356464771408
KJV,char3,delta,Proverbs,0.4955424877762422
KJV,char3,delta,Psalms,0.527835270612827
KJV,char4,cosine,1 Kings,0.475090641123794
KJV,char4,cosine,1 Samuel,0.497185045406962
KJV,char4,cosine,2 Kings,0.4376593749490277
KJV,char4,cosine,2 Samuel,0.5035532533875179
KJV,char4,cosine,Amos,0.4754933044465989
KJV,char4,cosine,Ezekiel,0.5048601371211255
KJV,char4,cosine,Hosea,0.5710363297765384
KJV,char4,cosine,Isaiah_1_35,0.48800185162951387
KJV,char4,cosine,Isaiah_36_39,0.452619092927499
KJV,char4,cosine,Isaiah_40_55,0.486518137950655
KJV,char4,cosine,Isaiah_56_66,0.5204898206291755
KJV,char4,cosine,Jeremiah,0.4498952642516639
KJV,char4,cosine,Job,0.6410924611647877
KJV,char4,cosine,Proverbs,0.5610456373896624
KJV,char4,cosine,Psalms,0.7269210336492982
KJV,char4,delta,1 Kings,0.3494907829131264
KJV,char4,delta,1 Samuel,0.3373408666698227
KJV,char4,delta,2 Kings,0.3269570691909028
KJV,char4,delta,2 Samuel,0.3503010942907276
KJV,char4,delta,Amos,0.3308662512071335
KJV,char4,delta,Ezekiel,0.31786366034261115
KJV,char4,delta,Hosea,0.34417286645608014
KJV,char4,delta,Isaiah_1_35,0.34325040190302925
KJV,char4,delta,Isaiah_36_39,0.3327864180780882
KJV,char4,delta,Isaiah_40_55,0.33404204543253996
KJV,char4,delta,Isaiah_56_66,0.3408856393560345
KJV,char4,delta,Jeremiah,0.3223032986021632
